ABBOTT PRODUCTS SAS,Médecin,HAWAT TONY,11/03/2014,REPAS,€24,,
ASTRAZENECA,Médecin,ATTAL ELIE,27/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,ATTAL ELIE,20/11/2013,Repas,€57,,
CHIESI SA,Médecin,ATTAL ELIE,03/10/2013,Repas,€53,,
ICOMED,Médecin,MALOTAUX MICHEL,10/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PRADINES SYLVIE,26/05/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PRADINES SYLVIE,15/05/2012,Hospitalité,€50,,
LES LABORATOIRES SERVIER,Médecin,ATTAL ELIE,12/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,ATTAL ELIE,13/03/2014,Repas,€55,,
Lilly France SAS,Médecin,ATTAL ELIE,25/03/2014,REPAS,€59,,
MENARINI FRANCE,Médecin,ATTAL ELIE,26/04/2014,Autre : [Forfait],€300,,
MERCK SERONO,Médecin,ATTAL ELIE,25/06/2014,REPAS,€47,,
NOVARTIS PHARMA SAS,Médecin,ATTAL ELIE,17/04/2014,Autre : [Participation Evenement Scientifique],€39,,
NOVARTIS PHARMA SAS,Médecin,ATTAL ELIE,05/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ATTAL ELIE,19/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ATTAL ELIE,05/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,ATTAL ELIE,26/04/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,ATTAL ELIE,27/03/2012,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,ATTAL ELIE,06/03/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,ATTAL ELIE,23/06/2014,RESTAURATION,€43,,
PIERRE FABRE MEDICAMENT,Médecin,DUCASSE FRANCOISE,27/03/2012,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,MALOTAUX MICHEL,27/03/2012,Restauration,€48,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ARNAUDO SARAH,12/12/2013,CADEAU,€17,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUE ALINE,12/12/2013,CADEAU,€17,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SALACAMP NICOLE,12/12/2013,CADEAU,€17,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SID AGATHE,12/12/2013,CADEAU,€17,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STRASBACH MARION,12/12/2013,CADEAU,€17,,
