ABBOTT FRANCE,Médecin,OSTYN Pierre,28/11/2013,REPAS,€42,,
ABBOTT PRODUCTS SAS,Médecin,BOURGEOIS Bernard,14/11/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,HONORE Benoit,14/11/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,SACRE Guy,14/11/2013,REPAS,€40,,
AMGEN SAS,Médecin,HUE CLAUDINE,02/07/2013,REPAS IMPROMPTU,€19,,
ASTRAZENECA,Médecin,BOURGEOIS BERNARD,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CORNET JEROME,12/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,CORNET JEROME,04/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,HONORE BENOIT,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HONORE BENOIT,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,HUE CLAUDINE,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,HUE CLAUDINE,27/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,HUE CLAUDINE,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUE CLAUDINE,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,SACRE GUY,23/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,SACRE GUY,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,SACRE GUY,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SACRE GUY,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SACRE GUY,03/10/2013,Repas,€57,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HONORE BENOIT,16/01/2014,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HUE CLAUDINE,23/11/2013,HOSPITALITE,€249,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SACRE GUY,16/01/2014,HOSPITALITE,€48,,
BOIRON,Pharmacien,MEURILLON VERONIQUE,22/05/2014,[REPAS],€21,,
BOIRON,Pharmacien,MEURILLON VERONIQUE,22/05/2014,[REPAS],€21,,
BOIRON,Pharmacien,VANHUYSE PHILIPPE,22/05/2014,[AUTRE],€30,,
BOIRON,Pharmacien,VANHUYSE PHILIPPE,22/05/2014,[AUTRE],€30,,
BRISTOL-MYERS SQUIBB,Médecin,CORNET JEROME,03/04/2014,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,CORNET JEROME,07/11/2013,Repas,€43,,
colgate palmolive,Chirurgien-dentiste,BISERTE MARIE,15/04/2014,Dons de materiel,€16,,
Essilor,Opticien-lunetier,Fournier Benedicte,23/05/2013,Invitation a dejeuner ou diner,€16,,
Essilor,Opticien-lunetier,Fournier B�n�dicte,13/02/2012,Bouteilles (s) de champagne,€19,,
ICOMED,Chirurgien-dentiste,PICHOL DELESPIERRE EDITH,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,OSTYN PIERRE,26/02/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,OSTYN PIERRE,07/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,SACRE GUY,27/06/2013,Autre: [Enquête],€25,,
IPSEN PHARMA,Médecin,CORNET JEROME,17/04/2014,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGEOIS BERNARD,16/05/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HONORE BENOIT,16/05/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HONORE BENOIT,12/12/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUE CLAUDINE,27/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SACRE GUY,16/05/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,BAYART MARIE JOELLE,09/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,CARLIER MARIE-PIERRE,09/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,DUVILLIER LAURENCE,09/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,HIRCHI ISABELLE,09/05/2012,Hospitalité,€45,,
LABORATOIRE JALDES,Médecin,Delforge-Delebois Joelle,08/11/2013,Autre : [ECHANTILLON],€15,,
Laboratoires ARKOPHARMA,Médecin,DELFORGE DELEBOIS JOELLE,17/04/2014,REPAS,€17,,
