APTALIS PHARMA SAS,Médecin,DELRIEUX FREDERIC,10/12/2013,FRAIS D'HOSPITALITÉ,€55,,
ASTRAZENECA,Pharmacien,BERAUD DAVID,06/03/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,CORRE JULIE,18/09/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,BERNADAC ALEXANDRA,18/10/2013,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,BERNADAC ALEXANDRA,06/06/2014,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,DELRIEUX FRÉDÉRIC,18/10/2013,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,DISTINGUIN CHASSAINT SOPHIE,18/10/2013,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,DISTINGUIN CHASSAINT SOPHIE,06/06/2014,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,LERIC STEPHANIE,18/10/2013,Hospitalité,€22,,
BIOCODEX,Médecin,BERNADAC ALEXANDRA,07/02/2014,REPAS,€23,,
BIOCODEX,Médecin,DISTINGUIN CHASSAINT SOPHIE,07/02/2014,REPAS,€23,,
BIOCODEX,Médecin,LERIC STEPHANIE,07/02/2014,REPAS,€23,,
BIOCODEX,Médecin,MICOINE CARINE,07/02/2014,REPAS,€23,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DELRIEUX FREDERIC,08/03/2014,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,BERNADAC ALEXANDRA,13/09/2013,Repas,€24,,
DAIICHI SANKYO FRANCE SAS,Médecin,DISTINGUIN CHASSAINT SOPHIE,13/09/2013,Repas,€24,,
GLOBAL D,Chirurgien-dentiste,LEGLISE MOULINIER HELENE,06/06/2013,REPAS,€35,,
ICOMED,Chirurgien-dentiste,LEGLISE MOULINIER HELENE,18/04/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,BERNADAC ALEXANDRA,15/04/2013,Autre: [Enquête],€28,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,HOLLIER FRANCK,23/07/2013,Autre,€10,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,LEGLISE-MOULINIER HELENE,23/07/2013,Autre,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELRIEUX FREDERIC,20/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DISTINGUIN CHASSAINT SOPHIE,20/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LERIC STEPHANIE,20/03/2014,REPAS,€60,,
LABORATOIRES CONVATEC,Infirmier,FARGEOT PEGUY,20/03/2014,REPAS,€23,,
LABORATOIRES CONVATEC,Infirmier,POUGEAU SOPHIE,20/03/2014,REPAS,€23,,
LABORATOIRES CONVATEC,Infirmier,PRADAUX HUGUETTE,20/03/2014,REPAS,€23,,
LABORATOIRES GENEVRIER,Infirmier,AUJOUX MARTINE,19/01/2014,AUTRE [INSCRIPTION],€235,,
LABORATOIRES GENEVRIER,Infirmier,AUJOUX MARTINE,19/01/2014,TRANSPORT,€142,,
LABORATOIRES GENEVRIER,Infirmier,AUJOUX MARTINE,20/01/2014,HEBERGEMENT,€194,,
LABORATOIRES GENEVRIER,Infirmier,AUJOUX MARTINE,19/01/2014,HEBERGEMENT,€194,,
LES LABORATOIRES SERVIER,Médecin,DELRIEUX FREDERIC,16/07/2013,Repas,€60,,
NOVARTIS PHARMA SAS,Médecin,BERNADAC ALEXANDRA,20/09/2013,Repas,€22,,
NOVARTIS PHARMA SAS,Médecin,BERNADAC ALEXANDRA,02/06/2014,Repas,€13,,
NOVARTIS PHARMA SAS,Médecin,DISTINGUIN CHASSAINT SOPHIE,20/09/2013,Repas,€22,,
NOVARTIS PHARMA SAS,Médecin,DISTINGUIN CHASSAINT SOPHIE,02/06/2014,Repas,€13,,
NOVARTIS PHARMA SAS,Médecin,DISTINGUIN CHASSAINT SOPHIE,30/01/2014,Repas,€13,,
NOVARTIS PHARMA SAS,Médecin,LERIC STEPHANIE,02/06/2014,Repas,€13,,
PIERRE FABRE MEDICAMENT,Médecin,BERNADAC ALEXANDRA,29/06/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,BERNADAC ALEXANDRA,01/03/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,BERNADAC ALEXANDRA,29/06/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,DISTINGUIN CHASSAINT SOPHIE,29/06/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,DISTINGUIN CHASSAINT SOPHIE,04/06/2013,Restauration,€58,,
PIERRE FABRE MEDICAMENT,Médecin,DISTINGUIN CHASSAINT SOPHIE,01/03/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,DISTINGUIN CHASSAINT SOPHIE,04/05/2012,Restauration,€17,,
PIERRE FABRE MEDICAMENT,Médecin,LERIC STEPHANIE,01/03/2013,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,MAUNAC LIONEL,04/05/2012,Restauration,€17,,
SANOFI AVENTIS FRANCE,Médecin,BERNADAC ALEXANDRA,27/01/2014,Repas,€13,,
SANOFI AVENTIS FRANCE,Médecin,DISTINGUIN CHASSAINT SOPHIE,24/10/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,DISTINGUIN CHASSAINT SOPHIE,27/01/2014,Repas,€13,,
SANOFI AVENTIS FRANCE,Médecin,MICOINE CARINE,04/09/2013,Restauration,€20,,
SANOFI AVENTIS FRANCE,Médecin,MICOINE CARINE,06/08/2013,Restauration,€24,,
SIGVARIS,Pharmacien,GRUBER SYLVIE,20/12/2013,REPAS,€28,,
SIGVARIS,Pharmacien,GRÜBER SYLVIE,19/07/2013,REPAS,€19,,
TEVA SANTE SAS,Pharmacien,CORRE JULIE,19/12/2013,REPAS,€34,,
TEVA SANTE SAS,Pharmacien,CORRE JULIE,15/05/2014,REPAS,€36,,
TEVA SANTE SAS,Pharmacien,GRUBER SYLVIE,15/05/2014,REPAS,€36,,
TEVA SANTE SAS,Pharmacien,GRUBER SYLVIE,19/12/2013,REPAS,€34,,
Zambon France,Médecin,BERNADAC ALEXANDRA,20/05/2014,Repas,€22,,
Zambon France,Médecin,DISTINGUIN CHASSAINT SOPHIE,20/05/2014,Repas,€22,,
Zambon France,Médecin,LERIC STEPHANIE,20/05/2014,Repas,€22,,
Zambon France,Médecin,MICOINE CARINE,20/05/2014,Repas,€22,,
