3M France,Chirurgien-dentiste,SAMPER JACQMART VERONIQUE,17/10/2013,REPAS,€39,,
ABBOTT PRODUCTS SAS,Médecin,PY Jean,20/11/2013,REPAS,€55,,
ABBOTT PRODUCTS SAS,Médecin,PY Jean,03/07/2013,REPAS,€39,,
ABBOTT PRODUCTS SAS,Médecin,PY Josiane,03/07/2013,REPAS,€39,,
ABBOTT PRODUCTS SAS,Médecin,PY Josiane,20/11/2013,REPAS,€55,,
ASTRAZENECA,Médecin,PY JEAN,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,PY JOSIANE,20/02/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,PY JEAN,27/03/2014,Hospitalité,€16,,
Bayer HealthCare SAS,Médecin,PY JOSIANE,27/03/2014,Hospitalité,€16,,
BIOCODEX,Médecin,PY JEAN,17/04/2014,REPAS,€38,,
BIOCODEX,Médecin,PY JOSIANE,17/04/2014,REPAS,€38,,
BOIRON,Médecin,DESPOIX VERONIQUE,27/05/2014,[REPAS],€35,,
BOIRON,Médecin,DESPOIX VERONIQUE,24/09/2013,[REPAS],€17,,
BOIRON,Médecin,DESPOIX VERONIQUE,04/02/2014,[REPAS],€47,,
CHIESI SA,Médecin,REY FREDERIC,02/07/2013,Repas,€31,,
CONGRES COLLOQUES CONVENTIONS,Médecin,ANCEY MARYLENE,30/11/2013,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,EUVRARD GHISLAINE,30/11/2013,REPAS,€30,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,ARAMA DJOUADI FARIDA,16/10/2013,REPAS,€70,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,COMBES FRUITET ELSA,25/06/2014,REPAS,€18,,
ICOMED,Chirurgien-dentiste,ARAMA DJOUADI FARIDA,23/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,COMBES FRUITET ELSA,29/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,COMBES FRUITET ELSA,27/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,LADUGUIE MARYLENE,03/06/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,EUVRARD GHISLAINE,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,PY JEAN,20/02/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,PY JEAN,27/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PY JOSIANE,20/02/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,PY JOSIANE,23/01/2014,Autre: [Enquête],€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANCEY MARYLENE,17/12/2013,REPAS,€55,,
