ASTRAZENECA,Etudiant,HECQ BEATRICE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GOGUE MEUNIER CECILE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GOGUE MEUNIER CECILE,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GOGUE MEUNIER CECILE,12/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GOGUE MEUNIER CECILE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GOGUE MEUNIER CECILE,27/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GOGUE MEUNIER CECILE,10/10/2013,Repas,€57,,
BOIRON,Médecin,GOGUE MEUNIER CECILE,09/10/2013,[REPAS],€35,,
BOIRON,Médecin,GOGUE MEUNIER CECILE,16/04/2014,[REPAS],€30,,
BOIRON,Médecin,GOGUE MEUNIER CECILE,18/06/2014,[REPAS],€30,,
BOIRON,Médecin,GOGUE MEUNIER CECILE,20/11/2013,[REPAS],€28,,
BOIRON,Médecin,GOGUE-MEUNIER CECILE,16/04/2014,[REPAS],€96,,
ICOMED,Médecin,GOGUE MEUNIER CECILE,07/04/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,GOGUE MEUNIER CECILE,30/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,SAVITCHI SERGHEI,25/11/2013,Autre: [Enquête],€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,GOGUE MEUNIER CECILE,11/06/2014,HOSPITALITE,€18,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,KEISER CHRISTINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES URGO,Médecin,GOGUE-MEUNIER CECILE,11/09/2013,REPAS,€25,,
SANOFI AVENTIS FRANCE,Médecin,SAVITCHI SERGHEI,10/06/2014,Repas,€34,,
