AbbVie,Médecin,LECOMTE DENIS,12/04/2014,REPAS,€52,,
ASTRAZENECA,Médecin,COTILLON DUPOUX DOMINIQUE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,JUSSIAUX PHILIPPE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,RAMIARANTSOA Emma,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,RAMIARANTSOA Emma,29/11/2013,Hébergement,€215,,
ASTRAZENECA,Médecin,RAMIARANTSOA Emma,29/11/2013,Transport,€124,,
ASTRAZENECA,Médecin,VISAN DUMITRU,04/06/2014,Repas,€43,,
BOIRON,Médecin,AUBERT MARIE CHRISTINE,08/04/2014,[REPAS],€68,,
BOIRON,Médecin,AUBERT MARIE CHRISTINE,08/04/2014,[REPAS],€68,,
BRISTOL-MYERS SQUIBB,Médecin,AUBERT MARIE CHRISTINE,18/02/2014,Repas,€23,,
colgate palmolive,Chirurgien-dentiste,LEFEBVRE FLORENCE,15/04/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,BOUCLY GUY,23/11/2013,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,AUBERT MARIE CHRISTINE,28/09/2013,Hospitalité,€250,,
ICOMED,Médecin,COTILLON DUPOUX DOMINIQUE,06/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,GERMAIN CLAUDINE,08/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VISAN DUMITRU,22/05/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,COCHEREAU JEAN MARC,28/03/2013,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COCHEREAU JEAN MARC,09/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COCHEREAU JEAN MARC,30/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COCHEREAU JEAN MARC,12/06/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTILLON DUPOUX DOMINIQUE,19/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTILLON DUPOUX DOMINIQUE,15/01/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTILLON DUPOUX DOMINIQUE,25/06/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COTILLON DUPOUX DOMINIQUE,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETRIMONT PAUL,09/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JUSSIAUX PHILIPPE,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JUSSIAUX PHILIPPE,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JUSSIAUX PHILIPPE,27/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JUSSIAUX PHILIPPE,12/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VISAN DIMITRU,12/06/2013,Hospitalite,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,JUSSIAUX PHILIPPE,12/06/2014,Repas,€60,,
LABORATOIRES CONVATEC,Infirmier,GINGAND STEPHANIE,15/04/2014,REPAS,€20,,
LABORATOIRES URGO,Pharmacien,RABIER Sophie,14/04/2014,Repas,€22,,
LABORATOIRES URGO,Pharmacien,SABIN Estelle,14/04/2014,Repas,€22,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,NADAU Géraldine,14/04/2014,Repas,€22,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROY Alexandre,14/04/2014,Repas,€22,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VIGNEAU Pascale,14/04/2014,Repas,€22,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE RABIER PHARMACIE RABIER,06/11/2013,REPAS,€14,,
LES LABORATOIRES SERVIER,Médecin,AUBERT MARIE-CHRISTINE,04/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,AUBERT MARIE-CHRISTINE,22/05/2014,Repas,€55,,
MENARINI FRANCE,Médecin,AUBERT MARIE CHRISTINE,12/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,AUBERT MARIE CHRISTINE,17/05/2014,Autre : [Restauration],€212,,
MENARINI FRANCE,Médecin,AUBERT MARIE CHRISTINE,21/11/2013,AUTRE : RNT,€58,,
MSD France,Médecin,AUBERT MARIE CHRISTINE,03/04/2014,REPAS,€45,,
MSD France,Médecin,COCHEREAU JEAN MARC,10/07/2013,REPAS,€60,,
MSD France,Médecin,JUSSIAUX PHILIPPE,14/11/2013,REPAS,€57,,
MSD France,Pharmacien,BRE CATHERINE,12/03/2014,REPAS,€39,,
NOVARTIS PHARMA SAS,Médecin,AUBERT MARIE CHRISTINE,03/06/2014,Repas,€34,,
PIERRE FABRE MEDICAMENT,Médecin,AUBERT MARIE CHRISTINE,22/02/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,AUBERT MARIE CHRISTINE,15/11/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,AUBERT MARIE CHRISTINE,20/05/2014,RESTAURATION,€34,,
SANOFI AVENTIS FRANCE,Pharmacien,RABIER SOPHIE,26/03/2014,Repas,€22,,
SANOFI AVENTIS FRANCE,Pharmacien,SABIN ESTELLE,26/03/2014,Repas,€22,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,NADAUD GERALDINE,26/03/2014,Repas,€22,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROY ALEXANDRE,26/03/2014,Repas,€22,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VIGNAU PASCALE,26/03/2014,Repas,€22,,
Smith & Nephew S.A.S.,Infirmier,BELLET FABIENNE,05/02/2014,REPAS,€21,,
Smith & Nephew S.A.S.,Infirmier,HOCHARD-ROUILLON MURIEL,05/02/2014,REPAS,€21,,
Smith & Nephew S.A.S.,Infirmier,ZOUGHBI ISABELLE,05/02/2014,REPAS,€21,,
Zimmer Dental SAS,Chirurgien-dentiste,RENARD NICOLAS,21/04/2014,repas,€26,,
