3M France,Chirurgien-dentiste,PERRIAT OLIVIER,10/04/2014,REPAS,€68,,
AIR LIQUIDE SANTE FRANCE,Médecin,GILIBERT PIERRE,22/05/2014,Repas,€10,,
ASTELLAS PHARMA,Médecin,GILIBERT PIERRE,28/06/2013,REPAS,€75,,
ASTRAZENECA,Médecin,BARRAL CADIERE PIERRE,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GILIBERT PIERRE,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,GILIBERT PIERRE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,RAMON PATRICK,04/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,RAMON PATRICK,06/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,RAMON PATRICK,17/03/2014,Repas,€20,,
Bayer HealthCare SAS,Pharmacien,CHARLON FRANCK,06/02/2014,REPAS,€19,,
Bayer HealthCare SAS,Pharmacien,CHARLON FRANCK,06/02/2014,REPAS,€19,,
Bayer HealthCare SAS,Pharmacien,ROCHE JEAN CLAUDE,06/02/2014,REPAS,€19,,
Bayer HealthCare SAS,Pharmacien,ROCHE JEAN CLAUDE,06/02/2014,REPAS,€19,,
BOIRON,Sage-femme,HAIRAYE PIVOTSKY MADELEINE,07/02/2014,[REPAS],€31,,
BRISTOL-MYERS SQUIBB,Pharmacien,CHARLON FRANCK,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Pharmacien,GERVY MARYSE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Pharmacien,GUITTON SYLVIE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Pharmacien,ROCHE JEAN CLAUDE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENBAKIR FREDERIQUE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GANET BRIGITTE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LUC PUPAT MAGALIE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROBIN CENDRINE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROSTAING NADEGE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUZIER MELANIE,03/06/2014,Repas,€47,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,THORAL VERONIQUE,03/06/2014,Repas,€47,,
CONGRES COLLOQUES CONVENTIONS,Médecin,BARRAL CADIERE PIERRE,22/02/2014,REPAS,€30,,
GIBAUD,Pharmacien,LEFEBVRE-GUERAUD PINET SEVERINE,25/03/2014,Repas,€44,,
GIBAUD,Pharmacien,MIRAMOND FABIEN,25/03/2014,Repas,€47,,
GIBAUD,Pharmacien,QUILON PASCAL,25/03/2014,Repas,€46,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRENEAU ANNIE,25/03/2014,Repas,€48,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,QUILON BENOIT,25/03/2014,Repas,€45,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Pharmacien,LA ROCHE QUILLON PASCAL,25/01/2013,Hospitalite,€18,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Pharmacien,ROCHE JEAN CLAUDE,25/01/2013,Hospitalite,€38,,
ICOMED,Médecin,BARRAL CADIERE PIERRE,25/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BARRAL CADIERE PIERRE,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BARRAL CADIERE PIERRE,06/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,CHATENAY NATHALIE,27/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GILIBERT PIERRE,13/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,GILIBERT PIERRE,07/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,MALLORY BRUNO,02/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,MALLORY BRUNO,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,RAMON PATRICK,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,RAMON PATRICK,07/01/2013,Autre: [Enquête],€25,,
Laboratoires ARKOPHARMA,Pharmacien,CHARLON FRANCK,03/04/2014,REPAS,€13,,
Laboratoires ARKOPHARMA,Pharmacien,ROCH JEAN-CLAUDE,03/04/2014,REPAS,€13,,
Laboratoires AUVEX,Pharmacien,CHARLON Franck,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Pharmacien,GERVY Maryse,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Pharmacien,GUITTON Sylvie,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Pharmacien,ROCHE Jean Claude,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENBAKIR Frederique,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GANET Brigitte,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LUC-PUPAT Magalie,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROBIN Sandrine,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROSTAING Nadege,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TARNAUD Michelle,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,THORAL Véronique,01/04/2014,Repas,€18,,
Laboratoires AUVEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TRACOL Elisabeth,01/04/2014,Repas,€18,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,ROCHE JEAN CLAUDE,28/05/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUX STEPHANIE,28/05/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SERVE FLORENCE,28/05/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,THORAL VERONIQUE,28/05/2014,Repas,€25,,
LABORATOIRES LEHNING SAS,Pharmacien,ROCHE CHARLON JEAN-CLAUDE,13/03/2013,RESTAURATION,€404,,
LES LABORATOIRES SERVIER,Médecin,GILIBERT PIERRE,27/05/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GILIBERT PIERRE,24/09/2013,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,HADJI FOUDIL,09/07/2013,Repas,€60,,
MEDEXACT,Médecin,RAMON PATRICK,29/05/2013,Autre: [Enquête],€19,,
MENARINI FRANCE,Médecin,MALLORY BRUNO,24/05/2014,Hébergement,€127,,
MENARINI FRANCE,Médecin,MALLORY BRUNO,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,MALLORY BRUNO,24/05/2014,Transport,€171,,
MENARINI FRANCE,Médecin,RAMON PATRICK,24/05/2014,Transport,€171,,
MENARINI FRANCE,Médecin,RAMON PATRICK,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,RAMON PATRICK,24/05/2014,Hébergement,€127,,
MSD France,Médecin,RAMON PATRICK,26/04/2012,HOSPITALITE,€55,,
NOVARTIS PHARMA SAS,Médecin,RAMON PATRICK,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,RAMON PATRICK,23/01/2014,Hébergement,€176,,
NOVARTIS PHARMA SAS,Médecin,RAMON PATRICK,23/01/2014,Transport,€656,,
PIERRE FABRE MEDICAMENT,Médecin,BARRAL CADIERE PIERRE,05/12/2013,HOSPITALITE SITES PIERRE FABRE,€57,,
PIERRE FABRE MEDICAMENT,Médecin,BARRAL CADIERE PIERRE,05/12/2013,HOSPITALITE SITES PIERRE FABRE,€219,,
PIERRE FABRE MEDICAMENT,Médecin,BARRAL CADIERE PIERRE,05/12/2013,HOSPITALITE SITES PIERRE FABRE,€80,,
PIERRE FABRE MEDICAMENT,Médecin,BARRAL CADIERE PIERRE,05/12/2013,HOSPITALITE SITES PIERRE FABRE,€141,,
PIERRE FABRE MEDICAMENT,Médecin,GILIBERT PIERRE,01/06/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,GILIBERT PIERRE,10/10/2013,RESTAURATION,€13,,
PIERRE FABRE MEDICAMENT,Médecin,MALLORY BRUNO,01/06/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,RAMON PATRICK,01/06/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,RAMON PATRICK,10/10/2013,RESTAURATION,€13,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,QUILLON BENOIT,05/02/2014,REPAS,€40,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,QUILLON PASCAL,05/02/2014,REPAS,€40,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUILLOUX IRENE,05/02/2014,REPAS,€40,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LHORME LUCIE,05/02/2014,REPAS,€40,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PIZZERA AUDREY,05/02/2014,REPAS,€40,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRENEAU ANNE,05/02/2014,REPAS,€40,,
SANOFI AVENTIS FRANCE,Médecin,HADJI FOUDIL,11/02/2014,Repas,€38,,
SANOFI AVENTIS FRANCE,Médecin,HADJI FOUDIL,17/06/2014,Repas,€26,,
SANOFI AVENTIS FRANCE,Pharmacien,ROBIN BRIGITTE,20/03/2014,Repas,€35,,
STARKEY FRANCE,Audioprothésiste,SERRET HUBERT,24/09/2013,REPAS,€33,,
