ASTELLAS PHARMA,Médecin,GAUDICHON ROBERT,19/02/2013,REPAS,€57,,
ASTRAZENECA,Médecin,HALLIGON JEAN,04/10/2013,Repas,€20,,
ASTRAZENECA,Médecin,HALLIGON JEAN,06/12/2013,Repas,€20,,
Bayer HealthCare SAS,Médecin,TRELOHAN CHARLES,03/06/2014,Hospitalité,€55,,
ICOMED,Médecin,BOURGET MICHEL,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GALLARD GABRIEL,09/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GALLARD GABRIEL,29/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TRELOHAN CHARLES,21/01/2014,Autre: [Enquête],€25,,
ICOMED,Pharmacien,BRESSON NADINE,03/06/2014,Autre: [Enquête],€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGET MICHEL,31/01/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGET MICHEL,20/09/2012,Hospitalité,€37,,
LABORATOIRES MAYOLY SPINDLER,Médecin,NALIN LAURENCE,26/11/2013,HOSPITALITE,€22,,
LEO Pharma,Pharmacien,JAMALI BOUTEINA,21/01/2014,REPAS,€18,,
Lilly France SAS,Médecin,HALLIGON JEAN,16/09/2013,REPAS,€55,,
Lilly France SAS,Médecin,HALLIGON JEAN,31/03/2014,REPAS,€55,,
MSD France,Médecin,BOURGET MICHEL,05/07/2012,REPAS,€64,,
MSD France,Médecin,BOURGET MICHEL,14/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,BOURGET MICHEL,21/06/2012,REPAS,€40,,
MSD France,Médecin,ZABE MARIE LAURE,27/11/2013,REPAS,€55,,
MSD France,Médecin,ZABE MARIE LAURE,29/05/2013,HOSPITALITÉ,€60,,
MSD France,Pharmacien,HERMABESSIERE MARIE LOUISE,14/03/2013,HOSPITALITÉ,€54,,
PIERRE FABRE MEDICAMENT,Médecin,BOURGET MICHEL,29/11/2012,Restauration,€24,,
SANOFI AVENTIS FRANCE,Médecin,HALLIGON JEAN,07/02/2014,Repas,€12,,
SANOFI AVENTIS FRANCE,Médecin,TRELOHAN CHARLES,06/09/2013,Restauration,€18,,
SANOFI AVENTIS FRANCE,Médecin,TRELOHAN CHARLES,21/03/2014,Repas,€19,,
