ABBOTT PRODUCTS SAS,Médecin,NGUYEN Van an,15/10/2013,REPAS,€55,,
ASTELLAS PHARMA,Médecin,DAMPHOUSSE MIREILLE,13/02/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DAMPHOUSSE MIREILLE,23/06/2012,HEBERGEMENT,€254,,
ASTELLAS PHARMA,Médecin,DAMPHOUSSE MIREILLE,23/06/2012,INVITATIONS,€120,,
ASTELLAS PHARMA,Médecin,DAMPHOUSSE MIREILLE,23/06/2012,TRANSPORT,€559,,
ASTRAZENECA,Médecin,NGUYEN VAN AN,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,NGUYEN VAN AN,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,NGUYEN VAN AN,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,NGUYEN VAN AN,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,NGUYEN VAN AN,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TAPIN GILLES,02/07/2013,Repas,€43,,
Bayer HealthCare SAS,Médecin,PAVY ANNE LAURE,17/04/2014,Hospitalité,€20,,
BIOCODEX,Médecin,MAYEN DOMINIQUE,14/11/2013,REPAS,€55,,
BIOCODEX,Médecin,MAYEN DOMINIQUE,24/06/2014,REPAS,€55,,
BIOCODEX,Médecin,NGUYEN VAN AN,24/06/2014,REPAS,€55,,
BIOCODEX,Médecin,NGUYEN VAN AN,14/11/2013,REPAS,€55,,
BOIRON,Pharmacien,DE LUCA ISABELLE,03/04/2014,[REPAS],€40,,
BOIRON,Pharmacien,GICQUEL MICHEL,20/03/2014,[REPAS],€26,,
BOIRON,Pharmacien,GICQUEL MICHEL,20/03/2014,[AUTRE],€15,,
BOIRON,Pharmacien,GICQUEL MICHEL,03/04/2014,[REPAS],€40,,
BOIRON,Pharmacien,GICQUEL MICHEL,20/03/2014,[REPAS],€26,,
BOIRON,Pharmacien,GICQUEL MICHEL,20/03/2014,[AUTRE],€15,,
BOIRON,Pharmacien,PAYEN AUDE,03/04/2014,[REPAS],€40,,
