APTALIS PHARMA SAS,Chirurgien-dentiste,CORPECHOT MARIE CAROLINE,24/09/2013,FRAIS D'HOSPITALITÉ,€27,,
ASTRAZENECA,Médecin,BERNARD JEAN CLAUDE,27/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,NAUZYCIEL RICHARD,27/09/2013,Repas,€57,,
ICOMED,Chirurgien-dentiste,ROFFE STEVE,14/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,ROFFE STEVE,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,NAUZYCIEL RICHARD,28/11/2013,Autre: [Enquête],€30,,
MSD France,Médecin,BERNARD JEAN CLAUDE,10/04/2014,REPAS,€47,,
MSD France,Médecin,BOUDON DAMIEN,29/03/2012,HOSPITALITE,€52,,
MSD France,Médecin,NAUZYCIEL RICHARD,10/04/2014,REPAS,€47,,
MSD France,Médecin,NAUZYCIEL RICHARD,29/03/2012,HOSPITALITE,€52,,
Zimmer GmbH,Médecin,DELAUNAY CHRISTIAN,10/10/2013,Forfait comprenant les frais de la salle de la conférence ainsi que les collations,€120,,
Zimmer GmbH,Médecin,DELAUNAY CHRISTIAN,10/10/2013,Repas,€66,,
Zimmer GmbH,Médecin,DELAUNAY CHRISTIAN,10/10/2013,Hébergement,€250,,
Zimmer GmbH,Médecin,DELAUNAY CHRISTIAN,10/10/2013,Forfait comprenant les frais de la salle de la conférence ainsi que les collations,€120,,
