ASTRAZENECA,Médecin,ARHAN JOEL,27/09/2013,Repas,€57,,
ICOMED,Médecin,ARHAN JOEL,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,ARHAN JOEL,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,D HUMIERES BERTRAND,21/03/2014,Autre: [Enquête],€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,D HUMIERES BERTRAND,27/11/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,D HUMIERES BERTRAND,19/02/2013,Hospitalite,€42,,
MSD France,Médecin,ARHAN JOEL,10/04/2014,REPAS,€47,,
MSD France,Médecin,ARHAN JOEL,29/03/2012,HOSPITALITE,€52,,
MSD France,Pharmacien,CARAVATI CHARLES JEAN,10/04/2014,REPAS,€47,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,REPAS,€235,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,TRANSPORT,€238,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,TRANSPORT,€238,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,TRANSPORT,€48,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,HEBERGEMENT,€117,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,HEBERGEMENT,€117,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,TRANSPORT,€48,,
NOVO NORDISK,Médecin,D HUMIERES BERTRAND,11/01/2014,REPAS,€235,,
