BAUERFEIND FRANCE,Pharmacien,RENAUD Jean,13/01/2014,INVITATION,€27,,
Bayer HealthCare SAS,Médecin,DURIEZ PASCAL,19/09/2013,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,GARY CHRISTINE,19/09/2013,Hospitalité,€50,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DURIEZ PASCAL,03/04/2014,HOSPITALITE,€55,,
BOIRON,Médecin,GARY CHRISTINE,17/06/2014,[REPAS],€49,,
BOIRON,Médecin,GARY CHRISTINE,15/10/2013,[REPAS],€27,,
ICOMED,Médecin,GARY CHRISTINE,18/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GONZALEZ JOSEPH,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LECLERCQ CECILE,21/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LECLERCQ CECILE,17/02/2014,Autre: [Enquête],€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DURIEZ PASCAL,18/06/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DURIEZ PASCAL,07/02/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DURIEZ PASCAL,20/06/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GARY CHRISTINE,07/02/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECLERCQ CECILE,19/04/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAWLOWSKI RICHARD,19/04/2012,Hospitalité,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BERCEZ PASCAL,16/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DURIEZ PASCAL,06/02/2014,Repas,€56,,
NOVARTIS PHARMA SAS,Médecin,DURIEZ PASCAL,17/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
ROCHE DIAGNOSTICS FRANCE,Infirmier,VERMOERE VIRGINIE,13/06/2014,REPAS,€15,,
SEPTODONT SAS,Etudiant,DELAPORTE PERRINE,19/12/2013,Cadeaux,€19,,
