alliance healthcare repartition,Pharmacien,ROYER Joêl,25/06/2014,Repas,€39,,
ASTRAZENECA,Médecin,PULICANI DOMINIQUE,30/01/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,MOZZICONACCI JOSE PIERRE,30/01/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Pharmacien,ROYER JOEL,19/11/2013,Repas,€20,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROYER CATHERINE,19/11/2013,Repas,€20,,
DAIICHI SANKYO FRANCE SAS,Médecin,LUCIANI JACQUES,20/05/2014,Repas,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,PULICANI DOMINIQUE,20/05/2014,Repas,€58,,
DAIICHI SANKYO FRANCE SAS,Médecin,QUILICHINI FRANCOIS,20/05/2014,Repas,€58,,
Dexter,Chirurgien-dentiste,CANAZZI FOLLACCI FRANCOISE,31/07/2013,Invitations,€34,,
DJO France SAS,Pharmacien,ROYER JOEL,24/03/2014,Repas,€28,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROYER CATHERINE,24/03/2014,Repas,€28,,
ICOMED,Chirurgien-dentiste,MUSCARDINI CECILE,12/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MUSCARDINI CECILE,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,LUCIANI JACQUES,17/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PULICANI DOMINIQUE,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PULICANI DOMINIQUE,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,QUILICHINI FRANCOIS,03/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,QUILICHINI FRANCOIS,07/01/2013,Autre: [Enquête],€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PULICANI DOMINIQUE,18/06/2013,Hospitalite,€60,,
LABORATOIRES ALCON,Médecin,JOFFRE JEROME,26/09/2013,REPAS,€32,,
LABORATOIRES ALCON,Médecin,JOFFRE JEROME,26/09/2013,REPAS,€32,,
LABORATOIRES ALCON,Médecin,JOFFRE JEROME,06/02/2014,REPAS,€47,,
MEDEXACT,Médecin,QUILICHINI FRANCOIS,03/06/2013,Autre: [Enquête],€19,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,MUSCARDINI CECILE,09/12/2013,REPAS,€23,,
NOVARTIS PHARMA SAS,Médecin,JOFFRE JEROME,07/03/2014,Autre : [Participation Evenement Scientifique],€202,,
NOVARTIS PHARMA SAS,Médecin,LUCIANI JACQUES,29/10/2013,Repas,€32,,
NOVARTIS PHARMA SAS,Médecin,LUCIANI JACQUES,12/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PULICANI DOMINIQUE,12/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Pharmacien,ROYER JOEL,12/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,LUCIANI JACQUES,16/01/2014,RESTAURATION,€24,,
PIERRE FABRE MEDICAMENT,Médecin,LUCIANI JACQUES,29/05/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,LUCIANI JACQUES,14/03/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,LUCIANI JACQUES,13/02/2013,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,LUCIANI JACQUES,10/10/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,PULICANI DOMINIQUE,10/10/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,PULICANI DOMINIQUE,14/03/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,PULICANI DOMINIQUE,29/05/2013,Restauration,€48,,
PIERRE FABRE MEDICAMENT,Médecin,PULICANI DOMINIQUE,09/10/2013,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Pharmacien,MOZZICONACCI JOSE PIERRE,03/04/2012,Restauration,€17,,
PIERRE FABRE MEDICAMENT,Pharmacien,ROYER JOEL,18/02/2014,RESTAURATION,€21,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,MANUEL NATACHA,14/11/2013,REPAS,€25,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,MANUEL NATACHA,13/11/2013,TRANSPORT,€259,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,MANUEL NATACHA,14/11/2013,REPAS,€41,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,MANUEL NATACHA,13/11/2013,TRANSPORT,€17,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,MANUEL NATACHA,14/11/2013,HEBERGEMENT,€137,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,MANUEL NATACHA,13/11/2013,HEBERGEMENT,€137,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,MANUEL NATACHA,15/11/2013,REPAS,€25,,
SANOTEK,Médecin,JOFFRE JEROME,23/06/2014,RESTAURANT,€21,,
SANOTEK,Médecin,JOFFRE JEROME,25/06/2014,RESTAURATION,€22,,
