BIOCODEX,Pharmacien,CAPDEPUY VARGUES DANIELLE,03/12/2013,REPAS,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LARRANAGA CARMELO,06/11/2013,HOSPITALITE,€35,,
CHIESI SA,Médecin,MERLIN PATRICK,17/12/2013,Repas,€24,,
colgate palmolive,Chirurgien-dentiste,BARRERE CALIOT MARIE HELENE,04/02/2014,Dons de materiel,€16,,
GIBAUD,Pharmacien,TIPHAINE FLORENT,17/04/2014,Repas,€17,,
ICOMED,Médecin,GARNOTEL MARC,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MERLIN PATRICK,28/11/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGNEAU ANNE,10/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGNEAU ANNE,27/06/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIGNEAU ANNE,19/01/2012,Hospitalité,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LARRANAGA CARMELO,13/02/2014,Repas,€54,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LARRANAGA CARMELO,17/10/2013,Repas,€26,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,VIGNEAU ANNE,20/06/2014,Repas,€21,,
LABORATOIRES CONVATEC,Infirmier,MICHAUX MATTHIEU,11/03/2014,HOSPITALITE,€23,,
LABORATOIRES CONVATEC,Infirmier,MICHAUX MATTHIEU,12/03/2014,HOSPITALITE,€23,,
MSD France,Médecin,VIGNEAU ANNE,22/03/2014,AUTRE,€128,,
MSD France,Médecin,VIGNEAU ANNE,22/03/2014,TRANSPORT,€331,,
MSD France,Médecin,VIGNEAU ANNE,16/11/2013,TRANSPORT,€451,,
MSD France,Médecin,VIGNEAU ANNE,16/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,VIGNEAU ANNE,16/11/2013,REPAS,€135,,
MSD France,Médecin,VIGNEAU ANNE,16/11/2013,REPAS,€135,,
MSD France,Médecin,VIGNEAU ANNE,16/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,VIGNEAU ANNE,22/03/2014,REPAS,€174,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,MESPLEDE ANNE,04/04/2014,RESTAURATION,€12,,
PIERRE FABRE MEDICAMENT,Médecin,VIGNEAU ANNE,21/06/2012,Restauration,€15,,
SANOFI AVENTIS FRANCE,Infirmier,CLERIN SYLVIE,19/06/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,LARRANAGA CARMELO,10/06/2014,Repas,€41,,
SANOFI AVENTIS FRANCE,Médecin,MERLIN PATRICK,10/06/2014,Repas,€41,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENARD LEA,19/06/2014,Repas,€54,,
SEPTODONT SAS,Chirurgien-dentiste,CALIOT-BARRERE Hélène,20/11/2012,Autre,€250,,
TEVA SANTE SAS,Pharmacien,LABARRERE MAYLIS,26/06/2014,REPAS,€57,,
TEVA SANTE SAS,Pharmacien,TIPHAINE FLORENT,26/06/2014,REPAS,€57,,
