AMO FRANCE SAS,Médecin,CONRAD HERVE,16/09/2013,REPAS DE TRAVAIL,€39,,
ARROW GENERIQUES SAS,Pharmacien,COTTENCEAU DANIELE,09/12/2013,CADEAUX,€22,,
ASPEN FRANCE,Médecin,NOEL Isabelle,19/06/2014,Repas,€27,,
ASTRAZENECA,Médecin,BEN KEMOUN GERARD,14/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,BEN KEMOUN GERARD,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,BEN KEMOUN GERARD,04/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,BEN KEMOUN GERARD,10/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,JORROT PHILIPPE,10/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,JORROT PHILIPPE,04/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,JORROT PHILIPPE,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,JORROT PHILIPPE,14/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,LE FLOCH MARC,14/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,MAMANE MAURICE,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MAMANE MAURICE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,NOEL ISABELLE,10/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,NOEL ISABELLE,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,SZTAL CLAUDE,27/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,SZTAL CLAUDE,10/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,SZTAL CLAUDE,14/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,SZTAL CLAUDE,04/03/2014,Repas,€20,,
AUDITION SANTE,Médecin,POLONOVSKI JEAN MICHEL,01/12/2013,CADEAUX,€41,,
BARD FRANCE SAS,Médecin,VAISLIC CLAUDE,28/04/2014,HEBERGEMENT,"€1,096",,
BARD FRANCE SAS,Médecin,VAISLIC CLAUDE,28/04/2014,INSCRIPTION,€600,,
BARD FRANCE SAS,Médecin,VAISLIC CLAUDE,28/04/2014,TRANSPORT,"€1,094",,
Bayer HealthCare SAS,Médecin,BEN KEMOUN GERARD,16/01/2014,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,BEN KEMOUN GERARD,12/09/2013,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,JORROT PHILIPPE,12/09/2013,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,JORROT PHILIPPE,16/01/2014,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,NOEL ISABELLE,16/01/2014,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,SZTAL CLAUDE,16/01/2014,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,SZTAL CLAUDE,12/09/2013,Hospitalité,€34,,
BRISTOL-MYERS SQUIBB,Médecin,BEN KEMOUN GERARD,06/02/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,JORROT PHILIPPE,06/02/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,SZTAL CLAUDE,06/02/2014,Repas,€42,,
CHIESI SA,Médecin,BEN KEMOUN GERARD,03/10/2013,Repas,€30,,
CHIESI SA,Médecin,JORROT PHILIPPE,03/10/2013,Repas,€30,,
CHIESI SA,Médecin,SZTAL CLAUDE,03/10/2013,Repas,€30,,
colgate palmolive,Chirurgien-dentiste,ALLOUN ALBERT,05/03/2014,Dons de materiel,€16,,
DAIICHI SANKYO FRANCE SAS,Médecin,BEN KEMOUN GERARD,23/01/2014,Repas,€33,,
DAIICHI SANKYO FRANCE SAS,Médecin,BEN KEMOUN GERARD,21/11/2013,Repas,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,BEN KEMOUN GERARD,04/07/2013,Repas,€34,,
DAIICHI SANKYO FRANCE SAS,Médecin,JORROT PHILIPPE,21/11/2013,Repas,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,JORROT PHILIPPE,23/01/2014,Repas,€33,,
DAIICHI SANKYO FRANCE SAS,Médecin,JORROT PHILIPPE,04/07/2013,Repas,€34,,
DAIICHI SANKYO FRANCE SAS,Médecin,SZTAL CLAUDE,21/11/2013,Repas,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,SZTAL CLAUDE,04/07/2013,Repas,€34,,
DAIICHI SANKYO FRANCE SAS,Médecin,SZTAL CLAUDE,23/01/2014,Repas,€33,,
DJO France SAS,Masseur-kinésithérapeute,PELCA POIVRE Christine,21/11/2013,Repas,€24,,
GILEAD SCIENCES,Autres types de personne morale,HF PREVENTION,05/08/2013,DONS DE FONCTIONNEMENT,"€20,900",,
GILEAD SCIENCES,Autres types de personne morale,HF PREVENTION,15/01/2014,DONS DE FONCTIONNEMENT,"€30,000",,
GILEAD SCIENCES,Autres types de personne morale,HF PREVENTION,12/03/2014,DONS DE FONCTIONNEMENT,"€28,000",,
GUERBET France,Médecin,ENGERAND SANDRINE,28/11/2013,AUTRE : ASSURANCE,€10,,
GUERBET France,Médecin,ENGERAND SANDRINE,28/11/2013,AUTRE : PACKAGE,"€2,795",,
ICOMED,Chirurgien-dentiste,ALLOUN ALBERT,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,HANNOUCHE CATHERINE,28/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JORROT PHILIPPE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JORROT PHILIPPE,18/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LE FLOCH MARC,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE FLOCH MARC,07/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAMANE MAURICE,19/09/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,COTTENCEAU DANIELE,03/06/2014,Autre: [Enquête],€27,,
IPSEN PHARMA,Médecin,GURY BRUNO,29/11/2013,REPAS,€17,,
IXAIR ASSISTANCE,Médecin,MAMANE MAURICE,02/04/2014,REPAS,€56,,
JANSSEN-CILAG,Médecin,BEN KEMOUN GERARD,13/06/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEN KEMOUN GERARD,29/03/2013,Hospitalite,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEN KEMOUN GERARD,16/03/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEN KEMOUN GERARD,07/11/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEN KEMOUN GERARD,19/06/2014,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEN KEMOUN GERARD,18/07/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JORROT PHILIPPE,19/06/2014,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JORROT PHILIPPE,18/07/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JORROT PHILIPPE,07/11/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JORROT PHILIPPE,16/03/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAMANE MAURICE,16/03/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAMANE MAURICE,29/03/2013,Hospitalite,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAMANE MAURICE,20/10/2012,Hospitalité,€70,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOEL ISABELLE,16/03/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOEL ISABELLE,18/07/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SZTAL CLAUDE,18/07/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SZTAL CLAUDE,06/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SZTAL CLAUDE,18/07/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SZTAL CLAUDE,07/11/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SZTAL CLAUDE,06/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SZTAL CLAUDE,19/06/2014,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TENAILLEAU VERONIQUE,10/04/2014,HEBERGEMENT,€146,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TENAILLEAU VERONIQUE,11/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TENAILLEAU VERONIQUE,10/04/2014,TRANSPORT,€49,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TENAILLEAU VERONIQUE,10/04/2014,TRANSPORT,€427,,
