ARCHIMEDES PHARMA France,Infirmier,MERLET LAETITIA,20/06/2014,Repas,€42,,
Bayer HealthCare SAS,Médecin,ROUESSE CHARLES,24/06/2014,Hospitalité,€52,,
BIOCODEX,Médecin,CHLALA MERWAN,06/12/2013,REPAS,€18,,
BIOCODEX,Médecin,GUILLON DAMIEN,06/12/2013,REPAS,€18,,
BIOCODEX,Médecin,ROUESSE CHARLES,06/12/2013,REPAS,€18,,
BIOGARAN,Pharmacien,DENIAUD VIRGINIE,21/03/2014,REPAS,€14,,
BIOGARAN,Pharmacien,PARDIAC MAYLIS,21/03/2014,REPAS,€14,,
BOIRON,Pharmacien,GAULTIER FLORENCE,08/11/2013,[REPAS],€28,,
BOIRON,Pharmacien,GAUTHIER FLORENCE,08/04/2014,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BARRE NELLY,08/04/2014,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEROY P,08/11/2013,[REPAS],€28,,
BRISTOL-MYERS SQUIBB,Médecin,ROYAL JEAN MARIE,10/06/2014,Repas,€50,,
Essilor,Opticien-lunetier,Faure Luc,18/10/2013,Invitation à déjeuner / dîner,€20,,
Essilor,Opticien-lunetier,SOULIER Paul,19/02/2013,Invitation a dejeuner ou diner,€96,,
Essilor,Opticien-lunetier,SOULIER Paul,18/10/2013,Invitation à déjeuner / dîner,€20,,
ETHICON,Opticien-lunetier,FAURE LUC,10/04/2014,REPAS,€19,,
ETHICON,Opticien-lunetier,LEDU GERALDINE,10/04/2014,REPAS,€19,,
ETHICON,Opticien-lunetier,SOULIER PAUL,10/04/2014,REPAS,€19,,
ETHICON,Opticien-lunetier,TUGOURDEAU ANAIS,10/04/2014,REPAS,€19,,
GC FRANCE SAS,Chirurgien-dentiste,NEVEUX JACQUES,10/07/2012,REPAS,€53,,
GLOBAL D,Chirurgien-dentiste,MAINDRU CAROLE,15/03/2013,REPAS,€16,,
GLOBAL D,Chirurgien-dentiste,MAINDRU CAROLE,10/12/2013,REPAS,€44,,
GLOBAL D,Chirurgien-dentiste,MAINDRU CAROLE,31/05/2013,REPAS,€15,,
GLOBAL D,Chirurgien-dentiste,MAINDRU CAROLE,15/04/2014,REPAS,€19,,
GLOBAL D,Chirurgien-dentiste,MAINDRU CAROLE,15/04/2014,REPAS,€19,,
GLOBAL D,Chirurgien-dentiste,NEVEUX JACQUES,31/05/2013,REPAS,€15,,
GLOBAL D,Chirurgien-dentiste,NEVEUX JACQUES,10/12/2013,REPAS,€44,,
GLOBAL D,Chirurgien-dentiste,NEVEUX JACQUES,15/04/2014,REPAS,€19,,
GLOBAL D,Chirurgien-dentiste,NEVEUX JACQUES,16/05/2014,REPAS,€16,,
GLOBAL D,Chirurgien-dentiste,NEVEUX JACQUES,26/02/2014,REPAS,€18,,
GLOBAL D,Chirurgien-dentiste,Neveux JACQUES,18/07/2013,REPAS,€15,,
GLOBAL D,Chirurgien-dentiste,NEVEUX JACQUES,21/10/2013,REPAS,€13,,
GLOBAL D,Chirurgien-dentiste,NEVEUX JACQUES,15/03/2013,REPAS,€16,,
ICOMED,Chirurgien-dentiste,MAINDRU DENIS CAROLE,21/06/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,NEVEUX JACQUES,18/04/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,NEVEUX JACQUES,17/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,NGUYEN LUCIE,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,TRIVELLATO VINCENT,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,DUSENNE LUC,02/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DUSENNE LUC,11/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROUESSE CHARLES,07/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,ROUESSE CHARLES,29/11/2013,Autre: [Enquête],€30,,
Laboratoire CCD,Sage-femme,COUSSEAU FRANCOISE,18/10/2013,REPAS,€19,,
Laboratoire CCD,Sage-femme,HEMON VERONIQUE,18/10/2013,REPAS,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,21/11/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,18/06/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,06/06/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,11/04/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,03/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,19/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,20/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,17/06/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLON DAMIEN,12/06/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUESSE CHARLES,19/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUESSE CHARLES,18/06/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUESSE CHARLES,12/06/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUESSE CHARLES,17/06/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUESSE CHARLES,20/09/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUESSE CHARLES,21/11/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYAL JEAN MARIE,20/09/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYAL JEAN MARIE,20/09/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TIAN MAROT Yanan,11/09/2013,TRANSPORT,€242,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TIAN MAROT Yanan,11/09/2013,HEBERGEMENT,€201,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GUILLON DAMIEN,28/01/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GUILLON DAMIEN,15/04/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GUILLON DAMIEN,31/01/2014,Repas,€18,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GUILLON DAMIEN,12/07/2013,Repas,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROUESSE CHARLES,15/04/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROUESSE CHARLES,28/01/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROUESSE CHARLES,31/01/2014,Repas,€18,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROUESSE CHARLES,12/07/2013,Repas,€28,,
MSD France,Médecin,CREZE DOMINIQUE,12/04/2013,REPAS,€40,,
MSD France,Médecin,GUILLON DAMIEN,06/06/2014,REPAS,€30,,
MSD France,Médecin,GUILLON DAMIEN,12/04/2013,REPAS,€40,,
MSD France,Médecin,GUILLON DAMIEN,19/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,GUILLON DAMIEN,20/04/2012,REPAS,€38,,
MSD France,Médecin,GUILLON DAMIEN,25/10/2012,HOSPITALITE,€55,,
MSD France,Médecin,GUILLON DAMIEN,27/03/2014,REPAS,€60,,
MSD France,Médecin,GUILLON DAMIEN,05/07/2013,REPAS,€30,,
MSD France,Médecin,GUILLON DAMIEN,23/08/2013,REPAS,€30,,
