alliance healthcare repartition,Pharmacien,MERY Agnès,08/01/2014,Repas,€38,,
ASTRAZENECA,Médecin,CHAMBRIER JEAN FRANCOIS,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHAMBRIER JEAN FRANCOIS,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUCHEZ PAUL,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARQUET PATRICK,15/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARQUET PATRICK,19/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,MARQUET PATRICK,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARQUET PATRICK,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,RINUCCINI FLORENT,22/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,RINUCCINI FLORENT,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,RINUCCINI FLORENT,21/01/2014,Repas,€57,,
BAYER SANTE FAMILIALE,Médecin,CHAMBRIER JEAN FRANCOIS,08/10/2013,REPAS,€60,,
BAYER SANTE FAMILIALE,Médecin,RINUCCINI FLORENT,08/10/2013,REPAS,€60,,
BIOGARAN,Pharmacien,MERY AGNES,14/11/2013,REPAS,€35,,
BIOGARAN,Pharmacien,MERY AGNÈS,11/10/2013,AUTRE : FORMATION CURSUS ESSEC,€547,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RINUCCINI FLORENT,27/03/2013,HOSPITALITE,€46,,
ICOMED,Médecin,DUCHEZ PAUL,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MARQUET PATRICK,01/02/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,MARQUET PATRICK,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,RINUCCINI FLORENT,09/07/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,MERY AGNES,18/06/2014,Autre: [Enquête],€16,,
LABORATOIRE ATO-ZIZINE,Association professionnel de santé,SCM ADELINE,22/07/2013,Autre,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAMBRIER JEAN FRANCOIS,17/06/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAMBRIER JEAN FRANCOIS,19/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCHEZ PAUL,18/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RINUCCINI FLORENT,18/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RINUCCINI FLORENT,17/06/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RINUCCINI FLORENT,19/06/2012,Hospitalité,€50,,
Laboratoires Lohmann & Rauscher,Pharmacien,CLOT SANDRINE,19/11/2013,REPAS,€11,,
Laboratoires Lohmann & Rauscher,Pharmacien,MERY AGNÈS,19/11/2013,REPAS,€11,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FAURE LAURE,19/11/2013,REPAS,€10,,
Laboratoires Lohmann & Rauscher,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JONQUET VANESSA,19/11/2013,REPAS,€11,,
LABORATOIRES MAYOLY SPINDLER,Médecin,CHAMBRIER JEAN FRANCOIS,20/05/2014,HOSPITALITE,€50,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DUCHEZ PAUL,20/05/2014,HOSPITALITE,€50,,
LABORATOIRES MAYOLY SPINDLER,Médecin,MARQUET PATRICK,01/07/2013,HOSPITALITE,€34,,
LABORATOIRES MAYOLY SPINDLER,Médecin,RINUCCINI FLORENT,20/05/2014,HOSPITALITE,€50,,
LUNDBECK SAS,Médecin,DUCHEZ PAUL,19/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,MARQUET PATRICK,05/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€42,,
LUNDBECK SAS,Médecin,RINUCCINI FLORENT,19/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
NOVARTIS PHARMA SAS,Médecin,MARQUET PATRICK,03/10/2013,Repas,€44,,
PIERRE FABRE MEDICAMENT,Médecin,MARQUET PATRICK,25/04/2013,Restauration,€38,,
SANOFI AVENTIS FRANCE,Etudiant,COSTE SANDRA,31/01/2014,Repas,€15,,
SANOFI AVENTIS FRANCE,Infirmier,CORNU ISABELLE,11/04/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Infirmier,MASSE MARIE,11/04/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Médecin,DUCHEZ PAUL,11/04/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Médecin,RINUCCINI FLORENT,11/04/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Pharmacien,DAVID PATRICK,11/04/2014,Repas,€44,,
SANOFI AVENTIS FRANCE,Pharmacien,PANTEIX VINCENT,11/04/2014,Repas,€44,,
THERABEL LUCIEN PHARMA,Médecin,MARQUET PATRICK,10/04/2014,REPAS,€49,,
