ABBOTT PRODUCTS SAS,Médecin,NEHRING Charles,26/09/2013,REPAS,€12,,
ALMIRALL SAS,Médecin,NEHRING CHARLES,21/11/2013,REPAS,€12,,
ASTELLAS PHARMA,Médecin,AUGIER PATRICK,17/04/2014,REPAS,€54,,
ASTELLAS PHARMA,Médecin,CASTELLI PASCALE,15/02/2013,REPAS,€66,,
ASTELLAS PHARMA,Médecin,NEHRING CHARLES,17/04/2014,REPAS,€54,,
ASTRAZENECA,Médecin,AUGIER PATRICK,05/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,AUGIER PATRICK,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,AUGIER PATRICK,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,NEHRING CHARLES,05/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,PHILIPPE DUBOIS MARTINE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,VINAY LAURENT,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,VINAY LAURENT,05/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,VINAY LAURENT,23/01/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,CASTELLI PASCALE,05/07/2013,Hospitalité,€44,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GUEZENGAR CLAUDE,26/09/2013,HOSPITALITE,€60,,
BRISTOL-MYERS SQUIBB,Médecin,VINAY LAURENT,29/08/2013,Repas,€60,,
Cook France SARL,Médecin,GUEZENGAR CLAUDE,17/04/2014,REPAS,€16,,
ICOMED,Médecin,ALZIARY BLEIN MARIE PIERRE,28/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,ALZIARY BLEIN MARIE PIERRE,06/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,AUGIER PATRICK,11/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,AUGIER PATRICK,11/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,CASTELLI PASCALE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NEHRING CHARLES,07/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NEHRING CHARLES,14/04/2014,Autre: [Enquête],€27,,
