ANTHOGYR,Médecin,VIAUD Alain,28/11/2013,Repas ou Hébèrgement,€46,,
ASTRAZENECA,Médecin,LANGARD FRANCOIS,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE NOZACH BEGUERET ISABELLE,04/07/2013,Repas,€57,,
BOIRON,Pharmacien,LEMERCIER VALERIE,26/11/2013,[REPAS],€24,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HOREL LUDIVINE,26/11/2013,[REPAS],€24,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEMOINE MARINE,26/11/2013,[REPAS],€24,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE PADELLEC AURELIE,26/11/2013,[REPAS],€24,,
BRISTOL-MYERS SQUIBB,Médecin,LE NOZACH BEGUERET ISABELLE,23/04/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,SALIE LUCIEN,23/04/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Pharmacien,BOUVIER NICOLAS,23/04/2014,Repas,€46,,
CONGRES COLLOQUES CONVENTIONS,Médecin,DANIEL THIERRY,28/09/2013,REPAS,€30,,
FERRING SAS,Infirmier,BEAUVERGER PAULE,23/04/2014,Repas,€20,,
ICOMED,Chirurgien-dentiste,FORMAGNE ANNE,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,FORMAGNE ANNE,29/04/2014,Autre: [Enquête],€12,,
ICOMED,Médecin,DANIEL THIERRY,16/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DANIEL THIERRY,06/05/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,LANGARD FRANCOIS,27/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PLAISIR CELINE,17/01/2013,Autre: [Enquête],€29,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,PREDEVAL BRIGITTE,08/11/2012,Cadeaux,€144,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,PREDEVAL BRIGITTE,08/11/2012,Autre,"€1,000",,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISARD ALFRED,20/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISARD ALFRED,30/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOISARD ALFRED,13/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL THIERRY,20/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL THIERRY,27/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL THIERRY,20/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL THIERRY,13/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL THIERRY,19/06/2014,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANIEL THIERRY,19/06/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EPAILLARD JEAN MICHEL,13/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EPAILLARD JEAN MICHEL,30/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANGARD FRANCOIS,30/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANGARD FRANCOIS,13/12/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANGARD FRANCOIS,20/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANGARD FRANCOIS,19/06/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANGARD FRANCOIS,11/07/2013,REPAS,€60,,
