ASTRAZENECA,Masseur-kinésithérapeute,FAYET MICHEL,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,AMAT GUY MAURICE,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,AMAT GUY MAURICE,20/11/2013,Repas,€57,,
CONGRES COLLOQUES CONVENTIONS,Médecin,LESAGE GERARD,06/04/2014,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,AMAT GUY MAURICE,11/06/2014,Repas,€45,,
DENTSPLY Implants,Chirurgien-dentiste,BIGEY J-FRANCOIS,12/11/2013,REPAS,€45,,
ICOMED,Médecin,HUBE JEAN PIERRE,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Pharmacien,BECK DIDIER,23/04/2013,Autre: [Enquête],€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,21/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,19/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,21/03/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,14/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,20/06/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,07/02/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,09/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,18/01/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,15/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY MAURICE,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AMAT GUY-MAURICE,23/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN PIERRE,15/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN PIERRE,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN PIERRE,20/06/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN PIERRE,07/02/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN PIERRE,14/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN PIERRE,15/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN PIERRE,19/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUBE JEAN-PIERRE,23/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESAGE GERARD,23/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESAGE GERARD,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESAGE GERARD,15/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESAGE GERARD,19/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESAGE GERARD,20/06/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESAGE GERARD,07/02/2013,Hospitalite,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LACHAT DAMIEN,25/04/2014,Repas,€26,,
LABORATOIRE TETRA MEDICAL,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CONNEN SANDY,11/12/2013,REPAS,€38,,
MENARINI FRANCE,Médecin,AMAT GUY MAURICE,14/06/2014,Autre : [Forfait],€294,,
NOVARTIS PHARMA SAS,Médecin,AMAT GUY MAURICE,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LESAGE GERARD,05/11/2013,Repas,€32,,
PFIZER SAS,Médecin,HUBE JEAN PIERRE,25/06/2013,Repas,€30,,
PFIZER SAS,Médecin,HUBE JEAN PIERRE,19/11/2013,Repas,€58,,
PFIZER SAS,Médecin,HUBE JEAN PIERRE,19/11/2013,Repas,€58,,
PFIZER SAS,Médecin,KLINGLER JEAN MARIE,05/06/2014,REPAS,€48,,
PFIZER SAS,Médecin,KLINGLER JEAN MARIE,25/06/2013,Repas,€30,,
PFIZER SAS,Médecin,KLINGLER JEAN MARIE,19/11/2013,Repas,€58,,
PFIZER SAS,Pharmacien,FRIDBLATT KARINE,25/06/2013,Repas,€30,,
PFIZER SAS,Pharmacien,FRIDBLATT KARINE,05/06/2014,REPAS,€48,,
PFIZER SAS,Pharmacien,LACHAT DAMIEN,25/06/2013,Repas,€30,,
PFIZER SAS,Pharmacien,LACHAT DAMIEN,05/06/2014,REPAS,€48,,
PFIZER SAS,Sage-femme,GAUTHIER CELIA,27/03/2014,REPAS,€11,,
RESEARCH NOW SAS,Médecin,LESAGE gerard,26/01/2013,enquête,€11,,
SANOFI AVENTIS FRANCE,Infirmier,STAINACRE LUDOVIC,13/02/2014,Repas,€26,,
