ABBOTT PRODUCTS SAS,Médecin,MICHEL Jean patrick,08/07/2013,REPAS,€26,,
ASTRAZENECA,Médecin,MICHEL JEAN PATRICK,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MICHEL JEAN PATRICK,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,POUDRET PHILIPPE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SOBCZAK JEAN PIERRE,14/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,MICHEL JEAN PATRICK,28/11/2013,Hospitalité,€46,,
BOIRON,Médecin,POUDRET PHILIPPE,01/07/2013,[AUTRE],€69,,
BSN-RADIANTE SAS,Pharmacien,GROS-CABANEL Agnès,20/06/2014,Repas,€12,,
ICOMED,Médecin,JAMROT DANIEL,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JAMROT DANIEL,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,MICHEL JEAN PATRICK,09/04/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,SAGUER PHILIPPE,23/04/2013,Autre: [Enquête],€16,,
LABCATAL,Médecin,MICHEL JEAN PATRICK,15/05/2014,REPAS,€50,,
LABCATAL,Médecin,POUDRET PHILIPPE,15/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHEL JEAN PATRICK,15/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHEL JEAN PATRICK,27/06/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHEL JEAN PATRICK,30/01/2014,REPAS,€54,,
Laboratoires Leurquin Mediolanum,Médecin,MICHEL JEAN PATRICK,06/02/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,MICHEL JEAN PATRICK,19/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,MICHEL JEAN PATRICK,05/06/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,MICHEL JEAN PATRICK,12/09/2013,AUTRE,€30,,
LEO Pharma,Pharmacien,GRANIER ALEXANDRA,03/07/2013,REPAS,€38,,
LES LABORATOIRES SERVIER,Médecin,MICHEL JEAN PATRICK,04/03/2014,Repas,€53,,
Lilly France SAS,Médecin,MICHEL JEAN PATRICK,06/02/2014,REPAS,€50,,
Lilly France SAS,Médecin,MICHEL JEAN PATRICK,03/10/2013,REPAS,€55,,
MSD France,Médecin,MICHEL JEAN PATRICK,07/09/2012,REPAS,€15,,
MSD France,Médecin,MICHEL JEAN PATRICK,04/05/2012,REPAS,€30,,
MSD France,Médecin,POUDRET PHILIPPE,07/09/2012,REPAS,€15,,
MSD France,Médecin,POUDRET PHILIPPE,04/05/2012,REPAS,€30,,
MUNDIPHARMA,Médecin,MICHEL JEAN PATRICK,29/04/2014,HOSPITALITE REUNION PROFESSIONNELLE,€62,,
NOVARTIS PHARMA SAS,Médecin,MICHEL JEAN PATRICK,24/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MICHEL JEAN PATRICK,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,GROS AGNES,11/12/2013,RP,€48,,
RESEARCH NOW SAS,Médecin,Assadourian Sylvie,25/09/2013,enquête,€19,,
SIGVARIS,Pharmacien,LE COSTOEC DELPHINE,28/03/2014,REPAS,€17,,
