ARROW GENERIQUES SAS,Pharmacien,POINOT PASCAL,16/12/2013,CADEAUX,€30,,
ASTRAZENECA,Médecin,HORAT MARIE PAULE,23/10/2013,Repas,€57,,
BIOGARAN,Pharmacien,BAUDIN Blandine,10/04/2014,TRANSPORT,€217,,
BIOGARAN,Pharmacien,BAUDIN Blandine,10/04/2014,REPAS,€46,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,05/12/2013,REPAS,€60,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,05/12/2013,TRANSPORT,€221,,
BIOGARAN,Pharmacien,BAUDIN Blandine,14/02/2014,AUTRE : FORMATION CURSUS ESSEC,€547,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,05/12/2013,REPAS,€10,,
BIOGARAN,Pharmacien,BAUDIN Blandine,10/04/2014,REPAS,€22,,
BIOGARAN,Pharmacien,BAUDIN Blandine,10/04/2014,REPAS,€60,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,20/09/2013,AUTRE : FORMATION CURSUS ESSEC,€547,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,05/12/2013,HEBERGEMENT,€200,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,05/12/2013,REPAS,€40,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,05/12/2013,REPAS,€10,,
BIOGARAN,Pharmacien,BAUDIN Blandine,10/04/2014,HEBERGEMENT,€315,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,06/12/2013,REPAS,€44,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,06/12/2013,REPAS,€10,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,06/12/2013,REPAS,€10,,
BIOGARAN,Pharmacien,BAUDIN Blandine,10/04/2014,REPAS,€46,,
BIOGARAN,Pharmacien,BAUDIN Blandine,10/04/2014,REPAS,€22,,
BIOGARAN,Pharmacien,CHANTIER MARIE,18/02/2014,REPAS,€18,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUMONTET CORALIE,18/02/2014,REPAS,€18,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PORNET CAROLE,18/02/2014,REPAS,€18,,
BOIRON,Médecin,PARISOT JOEL,03/07/2013,[REPAS],€29,,
BOIRON,Médecin,PARISOT JOEL,11/06/2014,[REPAS],€57,,
BOIRON,Médecin,PARISOT JOEL,23/05/2014,[REPAS],€26,,
BOIRON,Pharmacien,REGEAS ANNE-CLAIRE,28/11/2013,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BALLIGAND NADEGE,28/11/2013,[REPAS],€26,,
BRISTOL-MYERS SQUIBB,Pharmacien,BAUDIN BLANDINE,24/04/2014,Repas,€21,,
COSMETIQUE ACTIVE FRANCE,Etudiant,BAUDIN AGATHE,27/01/2014,REPAS,€34,,
COSMETIQUE ACTIVE FRANCE,Etudiant,BAUDIN AGATHE,11/02/2014,REPAS,€41,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,REGEASE ANNE CLAIRE,20/01/2014,REPAS,€35,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,METROP DIDER,18/02/2014,REPAS,€45,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,METROP DIDIER,17/06/2014,REPAS,€40,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,METROP DIDIER,14/01/2014,REPAS,€43,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,METROP DIDIER,13/05/2014,REPAS,€49,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,METROP DIDIER,19/11/2013,REPAS,€40,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,METROP DIDIER,15/10/2013,REPAS,€30,,
ICOMED,Médecin,COLOMBIER PIERRE,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HORAT MARIE PAULE,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JACQUET BAH AISSATOU,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,JACQUET BAH AISSATOU,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MARTIN STEPHANE,31/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,PARISOT JOEL,28/11/2013,Autre: [Enquête],€30,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,METROP DIDIER,11/12/2012,Cadeaux,€144,,
MEDEXACT,Médecin,HORAT MARIE PAULE,10/06/2013,Autre: [Enquête],€19,,
MENARINI FRANCE,Médecin,VITTORI ERIC,08/10/2013,AUTRE : RNT,€50,,
MENARINI FRANCE,Médecin,VITTORI ERIC,07/02/2014,Autre : [Restauration],€35,,
NOVARTIS PHARMA SAS,Médecin,VITTORI ERIC,11/02/2014,Repas,€30,,
PIERRE FABRE MEDICAMENT,Médecin,GOURDON NATHALIE,21/01/2013,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Médecin,VITTORI ERIC,20/03/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,VITTORI ERIC,05/04/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,VOUILLON MICHELLE,21/01/2013,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Pharmacien,POINOT PASCAL,18/10/2013,RESTAURATION,€14,,
PIERRE FABRE MEDICAMENT,Pharmacien,POINOT PASCAL,26/06/2013,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Pharmacien,POINOT PASCAL,02/07/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Pharmacien,POINOT PASCAL,13/05/2014,RESTAURATION,€14,,
PIERRE FABRE MEDICAMENT,Pharmacien,POINOT PASCAL,07/02/2014,RESTAURATION,€17,,
SANOFI AVENTIS FRANCE,Médecin,HORAT MARIE PAULE,22/05/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Médecin,HORAT MARIE PAULE,07/11/2013,Restauration,€34,,
