3M France,Chirurgien-dentiste,PERIER NICOLAS,10/04/2014,REPAS,€68,,
ASTELLAS PHARMA,Médecin,LIMOUSIN PAUL,13/02/2014,REPAS,€38,,
ASTRAZENECA,Médecin,BELIN SEBASTIEN,20/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,BONNARD THOMAS,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LIMOUSIN PAUL,18/02/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BELIN SEBASTIEN,13/12/2013,Hospitalité,€15,,
Bayer HealthCare SAS,Médecin,BELIN SEBASTIEN,01/10/2013,Hospitalité,€26,,
BRISTOL-MYERS SQUIBB,Médecin,LIMOUSIN PAUL,01/04/2014,Repas,€15,,
BRISTOL-MYERS SQUIBB,Médecin,VICERIAT CHARLES,01/04/2014,Repas,€15,,
BRISTOL-MYERS SQUIBB,Pharmacien,RIEG DIDIER,01/04/2014,Repas,€15,,
BRISTOL-MYERS SQUIBB,Pharmacien,RIEG PASCALE,01/04/2014,Repas,€15,,
BRISTOL-MYERS SQUIBB,Pharmacien,ROSSERO FRANCK,01/04/2014,Repas,€15,,
DAIICHI SANKYO FRANCE SAS,Médecin,VICERIAT CHARLES,12/03/2014,Repas,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LIMOUSIN PAUL,20/03/2014,REPAS,€60,,
LABORATOIRES COLOPLAST,Infirmier,CHARRAS REAL CATHERINE,05/12/2013,Repas,€30,,
LABORATOIRES COLOPLAST,Infirmier,GRACI CATHY,05/12/2013,Repas,€30,,
LABORATOIRES COLOPLAST,Infirmier,UBERTINI SYLVIE,05/12/2013,Repas,€30,,
Laboratoires Grünenthal SAS,Médecin,BELIN SEBASTIEN,20/02/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,BELIN SEBASTIEN,01/07/2013,REPAS,€24,,
Laboratoires Grünenthal SAS,Médecin,BELIN SEBASTIEN,06/12/2013,REPAS,€19,,
LES LABORATOIRES SERVIER,Médecin,LIMOUSIN PAUL,05/06/2014,Repas,€55,,
MUNDIPHARMA,Médecin,LIMOUSIN PAUL,21/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€50,,
MUNDIPHARMA,Médecin,LIMOUSIN PAUL,05/12/2013,HOSPITALITE,€52,,
PROCTER & GAMBLE FRANCE,Chirurgien-dentiste,PERIER Nicolas,14/11/2013,REPAS,€42,,
