ICOMED,Médecin,GUEDON JEAN BAPTISTE,11/12/2013,Autre: [Enquête],€30,,
Laboratoires Grünenthal SAS,Médecin,LECONTE SIDONIE,03/06/2014,REPAS,€16,,
MSD France,Médecin,RABETALIANA JOCELYNE,13/03/2012,REPAS,€28,,
MSD France,Médecin,RABETALIANA JOCELYNE,09/04/2013,REPAS,€40,,
MSD France,Médecin,RABETALIANA JOCELYNE,12/02/2013,REPAS,€30,,
MSD France,Médecin,RABETALIANA JOCELYNE,28/05/2013,REPAS,€35,,
MSD France,Médecin,RABETALIANA JOCELYNE,23/10/2012,REPAS,€37,,
MUNDIPHARMA,Médecin,LE TROUIT CYRIELLE,26/11/2013,HOSPITALITE,€55,,
MUNDIPHARMA,Médecin,LE TROUIT CYRIELLE,13/03/2014,HOSPITALITE REUNION PROFESSIONNELLE,€89,,
NOVO NORDISK,Médecin,RABETALIANA JOCELYNE,12/09/2013,REPAS,€10,,
PIERRE FABRE MEDICAMENT,Médecin,SIMONET NADIA,20/11/2012,Restauration,€25,,
ProStrakan Pharma,Médecin,LECONTE SIDONIE,24/06/2014,Repas,€30,,
