ALLERGAN FRANCE,Médecin,NAVARRE CAROLINE,06/02/2014,REPAS,€32,,
ASTRAZENECA,Etudiant,RENAULT PIERRE OLIVIER,18/04/2014,Repas,€20,,
ASTRAZENECA,Etudiant,RENAULT PIERRE OLIVIER,21/02/2014,Repas,€20,,
ASTRAZENECA,Etudiant,RENAULT PIERRE OLIVIER,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROGER JEAN JACQUES,22/05/2014,Repas,€57,,
BIOCODEX,Médecin,ROGER JEAN JACQUES,12/02/2014,REPAS,€37,,
BIOCODEX,Médecin,ROGER JEAN-JACQUES,19/06/2014,REPAS,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BEIZDADEA SIMONA,17/10/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAVIGNE MARIE CATHERINE,17/10/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PARASCHIV IULIAN,17/10/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROGER JEAN JACQUES,17/10/2013,HOSPITALITE,€48,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROGER JEAN JACQUES,26/03/2014,HOSPITALITE,€28,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROGER JEAN JACQUES,27/08/2013,HOSPITALITE,€14,,
BRISTOL-MYERS SQUIBB,Etudiant,MESSON THOMAS,28/08/2013,Repas,€17,,
BRISTOL-MYERS SQUIBB,Etudiant,RENAULT PIERRE OLIVIER,04/04/2014,Repas,€15,,
BRISTOL-MYERS SQUIBB,Médecin,ROGER JEAN JACQUES,28/08/2013,Repas,€17,,
BSN-RADIANTE SAS,Pharmacien,GAVEAU Frédéric,10/09/2013,Repas,€15,,
BSN-RADIANTE SAS,Pharmacien,GAVEAU Frédéric,04/12/2013,Repas,€31,,
CRISTALENS SA,Médecin,MIR Francis,26/11/2013,Repas,€46,,
DAIICHI SANKYO FRANCE SAS,Médecin,CASEDEVANT PIERRE,10/04/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROGER JEAN JACQUES,10/04/2014,Repas,€60,,
ICOMED,Chirurgien-dentiste,MOURA BAILLET FRANCOISE,17/04/2013,Autre: [Enquête],€14,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVIGNE MARIE CATHERINE,26/01/2012,Hospitalité,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVIGNE MARIE CATHERINE,23/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROGER JEAN JACQUES,26/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,YOH FRANK,12/12/2012,Hospitalité,€16,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE ENOUS,24/02/2014,CADEAUX,€12,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ROGER JEAN JACQUES,21/11/2013,Repas,€45,,
LABORATOIRES CONVATEC,Infirmier,MORALES AUDREY,12/03/2014,HOSPITALITE,€23,,
LABORATOIRES CONVATEC,Infirmier,MORALES AUDREY,11/03/2014,HOSPITALITE,€23,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GAVEAU FREDERIC,18/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,DE LA FORGE MARIA,01/12/2013,CADEAUX,€15,,
LES LABORATOIRES SERVIER,Médecin,ROGER JEAN-JACQUES,19/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,ROGER JEAN-JACQUES,13/03/2014,Repas,€60,,
LUNDBECK SAS,Sage-femme,DE LA FORGE MARIA,19/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€11,,
MEDA PHARMA,Médecin,ROGER JEAN JACQUES,03/12/2013,REPAS,€15,,
MENARINI FRANCE,Médecin,ROGER JEAN JACQUES,10/10/2013,AUTRE : RNT,€56,,
MSD France,Médecin,BEIZDADEA SIMONA,03/12/2013,REPAS,€40,,
MSD France,Médecin,BEIZDADEA SIMONA,16/11/2013,REPAS,€135,,
MSD France,Médecin,BEIZDADEA SIMONA,16/01/2014,REPAS,€50,,
MSD France,Médecin,BEIZDADEA SIMONA,16/01/2014,REPAS,€50,,
MSD France,Médecin,BEIZDADEA SIMONA,16/11/2013,TRANSPORT,€320,,
MSD France,Médecin,BEIZDADEA SIMONA,16/11/2013,HÉBERGEMENT,€161,,
MSD France,Médecin,CARCEDO FRANCK,27/03/2014,REPAS,€60,,
MSD France,Médecin,CARCEDO FRANCK,20/03/2014,REPAS,€50,,
MSD France,Médecin,CASEDEVANT BRUNO,27/09/2012,HOSPITALITE,€55,,
MSD France,Médecin,CASEDEVANT BRUNO,03/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,CASEDEVANT BRUNO,31/05/2012,HOSPITALITE,€51,,
