AbbVie,Pharmacien,LORANS ANNIE,29/01/2014,REPAS,€21,,
ASTELLAS PHARMA,Médecin,LORETTE THIERRY,27/03/2014,REPAS,€45,,
ASTRAZENECA,Médecin,LORETTE THIERRY,26/09/2013,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,LORETTE THIERRY,21/11/2013,Repas,€50,,
ICOMED,Chirurgien-dentiste,LE ROUZIC RAYMOND,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,LORETTE THIERRY,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MANET PIERRE,13/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,MANET PIERRE,07/01/2013,Autre: [Enquête],€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,15/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,13/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,12/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,19/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,18/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,11/09/2012,Hospitalité,€60,,
MSD France,Médecin,LORETTE THIERRY,03/05/2012,REPAS,€60,,
MUNDIPHARMA,Médecin,LORETTE THIERRY,12/06/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,LORETTE THIERRY,30/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€60,,
SANOFI AVENTIS FRANCE,Médecin,LORETTE THIERRY,16/11/2013,Restauration,€105,,
SANOFI AVENTIS FRANCE,Médecin,LORETTE THIERRY,16/11/2013,Hébergement,€132,,
SANOFI AVENTIS FRANCE,Médecin,LORETTE THIERRY,16/11/2013,Restauration,€18,,
SANOFI AVENTIS FRANCE,Pharmacien,LE POTIER MARIE ANNE,27/06/2014,Repas,€40,,
Takeda France,Médecin,LORETTE Thierry,16/01/2014,REPAS,€120,,
Takeda France,Pharmacien,DELORME Emmanuel,16/01/2014,REPAS,€120,,
