ARROW GENERIQUES SAS,Pharmacien,MASSEBEUF HELENE,16/12/2013,CADEAUX,€30,,
ASTRAZENECA,Médecin,PROST DENIS,18/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PROST DENIS,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,VIRELY MICHEL,18/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,VIRELY MICHEL,27/11/2013,Repas,€57,,
BOIRON,Pharmacien,FROMONT CATHERINE,15/04/2014,[REPAS],€21,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,CAASTELLANI STEPHANE,08/04/2014,REPAS,€90,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,CASTELLANI STEPHANE,03/12/2013,REPAS,€85,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,SCM CASTELLANI STEPHANE,22/10/2013,REPAS,€90,,
ICOMED,Médecin,GENTY VERONIQUE,24/12/2013,Autre: [Enquête],€32,,
JANSSEN-CILAG,Médecin,FAUCHER BRUNO,28/01/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIRELY MICHEL,02/04/2014,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIRELY MICHEL,23/01/2013,Hospitalite,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIRELY MICHEL,07/11/2013,REPAS,€56,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DE L HOTEL DE VILLE,15/01/2014,CADEAUX,€12,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GENTY VERONIQUE,10/10/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PROST DENIS,10/10/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,VIRELY MICHEL,10/10/2013,Repas,€60,,
Laboratoires Grünenthal SAS,Médecin,VIRELY MICHEL,08/04/2014,REPAS,€55,,
LABORATOIRES MAYOLY SPINDLER,Médecin,GENTY Veronique,16/01/2014,HOSPITALITE,€36,,
LABORATOIRES MAYOLY SPINDLER,Médecin,LECOMTE Marcel,16/01/2014,HOSPITALITE,€36,,
LABORATOIRES MAYOLY SPINDLER,Médecin,VIRELY Michel,16/01/2014,HOSPITALITE,€36,,
LES LABORATOIRES SERVIER,Médecin,VIRELY MICHEL,15/10/2013,Repas,€60,,
LFB BIOMEDICAMENTS,Médecin,GENTY VERONIQUE,05/09/2013,Repas,€28,,
LFB BIOMEDICAMENTS,Médecin,VIRELY MICHEL,05/09/2013,Repas,€28,,
MSD France,Infirmier,DECHAVANNE MELANIE,12/12/2013,REPAS,€55,,
MSD France,Infirmier,DECHAVANNE MELANIE,02/04/2014,REPAS,€60,,
MSD France,Infirmier,DECHAVANNE MELANIE,02/04/2014,HÉBERGEMENT,€150,,
MSD France,Infirmier,DECHAVANNE MELANIE,02/04/2014,REPAS,€47,,
MSD France,Infirmier,DECHAVANNE MELANIE,02/04/2014,TRANSPORT,€258,,
MSD France,Infirmier,DECHAVANNE MELANIE,15/04/2014,REPAS,€20,,
MSD France,Infirmier,DECHAVANNE MELANIE,27/06/2012,REPAS,€46,,
MSD France,Infirmier,DECHAVANNE MELANIE,14/11/2012,REPAS,€29,,
MSD France,Médecin,LECOMTE MARCEL,07/06/2012,HOSPITALITE,€57,,
MSD France,Médecin,PROST DENIS,07/06/2012,HOSPITALITE,€57,,
MSD France,Médecin,VIRELY MICHEL,07/06/2012,HOSPITALITE,€57,,
NOVARTIS PHARMA SAS,Médecin,VIRELY MICHEL,23/04/2014,Autre : [Participation Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,VIZIER PATRICIA,07/06/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,VIZIER PATRICIA,12/01/2012,Restauration,€22,,
PIERRE FABRE MEDICAMENT,Pharmacien,BESSE BERGIER FRANCOIS,20/04/2012,Restauration,€33,,
THE BINDING SITE GROUP LTD,Médecin,AUGOYARD AURELIE,17/04/2014,RESTAURATION,€16,,
THE BINDING SITE GROUP LTD,Médecin,FICHOT DOMINIQUE,17/04/2014,RESTAURATION,€16,,
THE BINDING SITE GROUP LTD,Médecin,GASNIER CYRIL,17/04/2014,RESTAURATION,€16,,
THE BINDING SITE GROUP LTD,Médecin,GOUX ALAIN,17/04/2014,RESTAURATION,€16,,
THE BINDING SITE GROUP LTD,Médecin,OUDET CLAIRE,17/04/2014,RESTAURATION,€16,,
THE BINDING SITE GROUP LTD,Médecin,PODAC BIANCA-MARIA,17/04/2014,RESTAURATION,€16,,
THE BINDING SITE GROUP LTD,Médecin,SARRET BENOIT,17/04/2014,RESTAURATION,€16,,
THE BINDING SITE GROUP LTD,Médecin,TRIBOULET MARIE-PAULE,17/04/2014,RESTAURATION,€16,,
THERABEL LUCIEN PHARMA,Médecin,VIRELY MICHEL,05/06/2014,REPAS,€50,,
