3M France,Infirmier,BAZIRE MARIE LAURE,20/06/2014,REPAS,€26,,
ABBOTT FRANCE,Médecin,CHOBY MICHAEL,20/05/2014,TRANSPORT,€255,,
ABBOTT FRANCE,Médecin,CHOBY MICHAEL,20/05/2014,INSCRIPTION,"€1,150",,
ABBOTT FRANCE,Médecin,CHOBY MICHAEL,22/05/2014,REPAS,€45,,
ABBOTT FRANCE,Médecin,CROCHEMORE ELISE,11/03/2014,TRANSPORT,€163,,
ABBOTT FRANCE,Médecin,CROCHEMORE ELISE,12/03/2014,HEBERGEMENT,€220,,
ABBOTT FRANCE,Médecin,CROCHEMORE ELISE,22/01/2014,REPAS,€21,,
ABBOTT FRANCE,Médecin,CROCHEMORE ELISE,11/03/2014,INSCRIPTION,€310,,
ABBOTT FRANCE,Médecin,CROCHEMORE ELISE,11/03/2014,HEBERGEMENT,€220,,
ABBOTT FRANCE,Médecin,LESAULT PIERRE FRANCOIS,11/06/2014,TRANSPORT,"€1,385",,
ABBOTT FRANCE,Médecin,LESAULT Pierre-Franois,24/07/2013,TRANSPORT,€261,,
ABBOTT FRANCE,Médecin,LESAULT Pierre-Franois,24/07/2013,TRANSPORT,€20,,
ABBOTT FRANCE,Médecin,LESAULT Pierre-Franois,24/07/2013,REPAS,€56,,
ABBOTT FRANCE,Médecin,ROSSI ANTOINE,12/03/2014,REPAS,€13,,
ABBOTT FRANCE,Pharmacien,QUEDINEL VINCENT,01/04/2014,REPAS,€23,,
ABBOTT PRODUCTS SAS,Médecin,LE LUYER Bernard ,16/05/2014,HEBERGEMENT,€215,,
ABBOTT PRODUCTS SAS,Médecin,LE LUYER Bernard ,16/05/2014,TRANSPORT,€363,,
ABBOTT PRODUCTS SAS,Médecin,LE LUYER Bernard ,16/05/2014,REPAS,€65,,
ABBOTT PRODUCTS SAS,Médecin,LE LUYER Bernard ,16/05/2014,REPAS,€54,,
ABBOTT PRODUCTS SAS,Médecin,LE LUYER Bernard ,17/05/2014,REPAS,€65,,
AbbVie,Médecin,CAUJOLLE BERNARD,22/11/2013,Repas,€28,,
AbbVie,Médecin,CAUJOLLE BERNARD,10/12/2013,Repas,€45,,
AbbVie,Médecin,CAUJOLLE BERNARD,10/06/2014,REPAS,€43,,
AbbVie,Médecin,CAUJOLLE BERNARD,17/09/2013,Repas,€52,,
AbbVie,Médecin,CAUJOLLE BERNARD,08/04/2014,REPAS,€58,,
AbbVie,Médecin,ELIE LEGRAND MARIE CLAIRE,17/09/2013,Repas,€52,,
AbbVie,Médecin,ELIE LEGRAND MARIE CLAIRE,08/04/2014,REPAS,€58,,
AbbVie,Médecin,ELIE LEGRAND MARIE CLAIRE,19/02/2014,REPAS,€25,,
AbbVie,Médecin,ELIE LEGRAND MARIE CLAIRE,10/06/2014,REPAS,€43,,
AbbVie,Médecin,ELIE LEGRAND MARIE CLAIRE,10/12/2013,Repas,€45,,
AbbVie,Médecin,FIRMIN LEFEBVRE DELPHINE,28/11/2013,REPAS,€14,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,22/03/2014,HEBERGEMENT,€220,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,20/03/2014,INSCRIPTION,€460,,
AbbVie,Médecin,IVANOVIC ALEKSANDAR,23/03/2014,TRANSPORT,€31,,
