ABBOTT PRODUCTS SAS,Médecin,PERUZZI Dominique,12/12/2013,REPAS,€51,,
APTALIS PHARMA SAS,Médecin,PERUZZI DOMINIQUE,10/12/2013,FRAIS D'HOSPITALITÉ,€55,,
ASTELLAS PHARMA,Médecin,ASTANIERE BOUDY FRANCOISE,17/01/2013,REPAS,€68,,
ASTELLAS PHARMA,Médecin,CHEMALY PIERRE EMILE,17/01/2013,REPAS,€68,,
ASTELLAS PHARMA,Médecin,PERUZZI DOMINIQUE,17/01/2013,REPAS,€68,,
ASTRAZENECA,Médecin,ALLAIRE SAUQUET SANDRINE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,ASTANIERE BOUDY FRANCOISE,14/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,ABBASSI KAWTAR,08/07/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,LAFARGE ISABELLE,08/07/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,ASTANIERE BOUDY FRANCOISE,06/06/2014,Hospitalité,€33,,
BIOCODEX,Médecin,ASTANIERE BOUDY FRANCOISE,07/02/2014,REPAS,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PERUZZI DOMINIQUE,07/11/2013,HOSPITALITE,€35,,
BOIRON,Pharmacien,BAZIADOLY SARAH,14/11/2013,[REPAS],€18,,
BRISTOL-MYERS SQUIBB,Médecin,PERUZZI DOMINIQUE,30/01/2014,Repas,€56,,
BSN-RADIANTE SAS,Pharmacien,DAUDRIX Caroline,18/12/2013,Repas,€16,,
BSN-RADIANTE SAS,Pharmacien,VERGNOLLE Jean-Luc,18/12/2013,Repas,€16,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LINARES Isabelle,18/12/2013,Repas,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,CHEMALY PIERRE EMILE,08/03/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,VESCHEMBES VINCENT,08/03/2014,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,ASTANIERE BOUDY FRANCOISE,13/09/2013,Repas,€24,,
DENTSPLY FRANCE,Chirurgien-dentiste,AUSSEL AUDREY,29/11/2013,REPAS,€112,,
ICOMED,Chirurgien-dentiste,BERILLON AGNES,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,BERILLON AGNES,06/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,BERILLON J MICHEL,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,BERILLON J MICHEL,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MARCHAT CATHERINE,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MARCHAT CATHERINE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,ALLAIRE SAUQUET SANDRINE,27/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,ALLAIRE SAUQUET SANDRINE,18/06/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,ASTANIERE BOUDY FRANCOISE,16/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHEMALY PIERRE EMILE,08/01/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,BAZIADOLY SARAH,02/06/2014,Autre: [Enquête],€25,,
ICOMED,Pharmacien,BERNARDI SUDRIE EVELYNE,03/06/2014,Autre: [Enquête],€27,,
ICOMED,Pharmacien,BERNARDI SUDRIE EVELYNE,18/02/2014,Autre: [Enquête],€12,,
IPSEN PHARMA,Pharmacien,ABBASSI KAWTAR,03/04/2014,REPAS,€60,,
IPSEN PHARMA,Pharmacien,DAUDRIX CAROLINE,03/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALLAIRE SAUQUET SANDRINE,20/03/2014,REPAS,€60,,
