Becton Dickinson France SAS,Infirmier,BERTHET FRANCOISE,18/03/2014,REPAS,€23,,
ICOMED,Médecin,CASTEX BERTRAND,20/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,GONZALES PHILIPPE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GONZALES PHILIPPE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PAGES FRANCIS,13/12/2013,Autre: [Enquête],€32,,
MEDEXACT,Médecin,CASTEX BERTRAND,17/06/2013,Autre: [Enquête],€16,,
Molnlycke Health Care,Infirmier,RAYSSIGUIE NICOLAS,15/01/2014,CADEAUX,€40,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,BARDY FRANCIS,18/06/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,BARDY FRANCIS,23/09/2013,HOSPITALITE SITES PIERRE FABRE,€49,,
PIERRE FABRE MEDICAMENT,Médecin,CASTEX BERTRAND,04/12/2013,HOSPITALITE SITES PIERRE FABRE,€41,,
PIERRE FABRE MEDICAMENT,Médecin,CASTEX BERTRAND,12/12/2012,Restauration,€46,,
