Bayer HealthCare SAS,Médecin,FOURNIER MICHEL,06/11/2013,Hospitalité,€63,,
DAIICHI SANKYO FRANCE SAS,Médecin,ALECSANDRESCU MARIUS,17/10/2013,Repas,€49,,
DAIICHI SANKYO FRANCE SAS,Médecin,FOURNIER MICHEL,15/04/2014,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,PULY ANDRE,17/10/2013,Repas,€49,,
DAIICHI SANKYO FRANCE SAS,Médecin,PULY ANDRE,15/04/2014,Repas,€40,,
ICOMED,Médecin,FOURNIER MICHEL,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FOURNIER MICHEL,06/01/2014,Autre: [Enquête],€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PULY ANDRE,27/06/2013,Hospitalite,€45,,
MSD France,Médecin,FOURNIER MICHEL,21/03/2013,HOSPITALITE,€50,,
MSD France,Médecin,PULY ANDRE,21/03/2013,HOSPITALITE,€50,,
PIERRE FABRE MEDICAMENT,Médecin,ALECSANDRESCU MARIUS,20/03/2014,RESTAURATION,€60,,
