alliance healthcare repartition,Pharmacien,CASSAGNOL Bruno,24/01/2014,Repas,€40,,
APARD,Etablissement de santé,EHPAD LOS AINATS,30/03/2014,HOSPITALITE,€667,,
ASTRAZENECA,Médecin,FRANCISCO JEAN JOSE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,FRANCISCO JEAN JOSE,03/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,FRANCISCO JEAN JOSE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FRANCISCO JEAN JOSE,24/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PUEL JEAN LUC,24/04/2014,Repas,€57,,
BIOCODEX,Médecin,FRANCISCO JEAN JOSE,27/09/2013,REPAS,€47,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FRANCISCO JEAN JOSE,13/12/2013,HOSPITALITE,€45,,
BRISTOL-MYERS SQUIBB,Médecin,CORNUS PRATX MARIE HELENE,05/09/2013,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,FRANCISCO JEAN JOSE,25/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,FRANCISCO JEAN JOSE,13/03/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,FRANCISCO JEAN JOSE,23/01/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,FRANCISCO JEAN JOSE,26/09/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,PUEL JEAN LUC,05/09/2013,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,SIMON MICHEL,05/09/2013,Repas,€40,,
CONGRES COLLOQUES CONVENTIONS,Médecin,PUEL JEAN LUC,16/11/2013,REPAS,€30,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,PIQUEMAL HELENE,14/11/2013,REPAS,€15,,
ICOMED,Médecin,CORNUS PRATX MARIE HELENE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CORNUS PRATX MARIE HELENE,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FRANCISCO JACQUES,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,FRANCISCO JACQUES,10/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FRANCISCO JEAN JOSE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FRANCISCO JEAN JOSE,28/11/2013,Autre: [Enquête],€30,,
