3M France,Chirurgien-dentiste,PONS MARC,09/10/2013,REPAS,€35,,
ABBOTT PRODUCTS SAS,Médecin,FABERES GILLES,01/04/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,HAMMOUD Jamal,13/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,ITURRALDE MARTINE,01/04/2014,REPAS,€40,,
AbbVie,Médecin,BARONNET CABANTOUS LAURENCE,17/01/2014,REPAS,€51,,
AbbVie,Médecin,BARONNET CABANTOUS LAURENCE,18/01/2014,REPAS,€60,,
AbbVie,Médecin,BARONNET CABANTOUS LAURENCE,06/02/2014,REPAS,€50,,
AbbVie,Médecin,BERTHELOT CALMELS VALERIE,24/09/2013,REPAS,€50,,
AbbVie,Médecin,COMBY VIALLARD MARIE,24/09/2013,REPAS,€50,,
AbbVie,Médecin,DUMOULIN RICHEZ CHANTAL,06/02/2014,REPAS,€50,,
AbbVie,Médecin,LARRAN MOULIES MICHELE,14/11/2013,Repas,€55,,
AbbVie,Pharmacien,VERDIER FRANCIS,11/07/2013,Repas,€55,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RICHEZ CHRISTOPHE,06/02/2014,REPAS,€50,,
Actelion Pharmaceuticals France,Médecin,GENCEL LAURENT,06/03/2014,REPAS,€57,,
Alexion Pharma France,Médecin,DELMAS YAHSOU,15/05/2014,HEBERGEMENT,€161,,
ALFA WASSERMANN PHARMA,Médecin,DRILLAUD DENIS,18/12/2013,REPAS,€48,,
ALK-Abelló,Médecin,BRUN JACQUES,06/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,BRUN JACQUES,17/10/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,GRAUZAM FRANCOIS,20/03/2013,AUTRE : [RESTAURATION],€55,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,06/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,06/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,23/01/2014,Autre : [Restauration],€42,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,08/06/2012,AUTRE : [RESTAURATION],€34,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,17/10/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,22/09/2012,AUTRE : [RESTAURATION],€167,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,22/09/2012,HEBERGEMENT,€200,,
ALK-Abelló,Médecin,GRECIET SASSOUST MONIQUE,28/11/2013,AUTRE : [RESTAURATION],€55,,
ALK-Abelló,Médecin,HAMMOUD JAMAL,20/03/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,HIVERT KASSAB STEPHANIE,10/01/2013,AUTRE : [RESTAURATION],€14,,
ALK-Abelló,Médecin,HIVERT KASSAB STEPHANIE,16/04/2013,TRANSPORT,€189,,
ALK-Abelló,Médecin,LOVATO BERTRAND,06/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,LOVATO BERTRAND,05/10/2013,AUTRE : [RESTAURATION],€138,,
ALK-Abelló,Médecin,LOVATO BERTRAND,05/10/2013,HEBERGEMENT,€162,,
ALK-Abelló,Médecin,LOVATO BERTRAND,23/01/2014,Autre : [Restauration],€42,,
ALK-Abelló,Médecin,RIGAL EMILIE,15/04/2014,Transport,€217,,
ALK-Abelló,Médecin,RIGAL EMILIE,22/09/2012,AUTRE : [RESTAURATION],€167,,
ALK-Abelló,Médecin,RIGAL EMILIE,22/09/2012,HEBERGEMENT,€200,,
ALK-Abelló,Médecin,RIGAL EMILIE,14/11/2012,TRANSPORT,€156,,
ALK-Abelló,Médecin,RIGAL EMILIE,15/04/2014,Autre : [Restauration],€57,,
ALK-Abelló,Médecin,RIGAL EMILIE,06/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,RIGAL EMILIE,22/09/2012,AUTRE : [RESTAURATION],€167,,
ALK-Abelló,Médecin,RIGAL EMILIE,05/12/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,RIGAL EMILIE,22/09/2012,HEBERGEMENT,€200,,
ALK-Abelló,Médecin,RIGAL EMILIE,14/11/2012,TRANSPORT,€156,,
ALK-Abelló,Médecin,RIGAL EMILIE,14/11/2012,AUTRE : [INSCRIPTION],€150,,
ALK-Abelló,Médecin,THILLAY ALAIN,24/04/2012,TRANSPORT,€174,,
ALK-Abelló,Médecin,THILLAY ALAIN,13/04/2012,AUTRE : [RESTAURATION],€160,,
ALK-Abelló,Médecin,THILLAY ALAIN,24/04/2012,AUTRE : [INSCRIPTION],€287,,
ALK-Abelló,Médecin,THILLAY ALAIN,02/03/2012,AUTRE : [RESTAURATION],€258,,
ALK-Abelló,Médecin,THILLAY ALAIN,02/03/2012,TRANSPORT,"€1,134",,
ALK-Abelló,Médecin,THILLAY ALAIN,02/03/2012,HEBERGEMENT,"€1,150",,
ALK-Abelló,Médecin,THILLAY ALAIN,13/04/2012,TRANSPORT,€347,,
ALK-Abelló,Médecin,THILLAY ALAIN,16/10/2012,TRANSPORT,€185,,
ALK-Abelló,Médecin,THILLAY ALAIN,10/01/2012,AUTRE : [RESTAURATION],€80,,
ALK-Abelló,Médecin,THILLAY ALAIN,02/03/2012,AUTRE : [INSCRIPTION],€656,,
ALK-Abelló,Médecin,THILLAY ALAIN,05/12/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,THILLAY ALAIN,16/06/2012,HEBERGEMENT,€780,,
ALK-Abelló,Médecin,THILLAY ALAIN,13/11/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,THILLAY ALAIN,27/09/2012,TRANSPORT,€496,,
ALK-Abelló,Médecin,THILLAY ALAIN,16/06/2012,AUTRE : [RESTAURATION],€255,,
ALK-Abelló,Médecin,THILLAY ALAIN,13/11/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,THILLAY ALAIN,02/03/2012,HEBERGEMENT,"€1,150",,
ALK-Abelló,Médecin,THILLAY ALAIN,24/04/2012,TRANSPORT,€174,,
ALK-Abelló,Médecin,THILLAY ALAIN,16/06/2012,HEBERGEMENT,€780,,
ALLERGAN FRANCE,Médecin,CAZANAVE HENRI,13/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,CAZANAVE HENRY,04/07/2013,TRANSPORT,€552,,
ALLERGAN FRANCE,Médecin,CIPRIANO GERARD,10/07/2013,REPAS,€49,,
ALLERGAN FRANCE,Médecin,CIPRIANO GERARD,11/09/2013,REPAS,€24,,
ALLERGAN FRANCE,Médecin,LARRAN MOULIES MICHELE,10/07/2013,REPAS,€49,,
ALLERGAN FRANCE,Médecin,LARRAN-MOULIES MICHELE,22/04/2014,REPAS,€26,,
ALLERGAN FRANCE,Médecin,LEMIERRE GUILLAUME,31/01/2014,HEBERGEMENT,€209,,
ALLERGAN FRANCE,Médecin,LEMIERRE GUILLAUME,13/05/2014,REPAS,€27,,
ALLERGAN FRANCE,Médecin,LEMIERRE GUILLAUME,03/04/2014,REPAS,€28,,
ALLERGAN FRANCE,Médecin,LEMIERRE GUILLAUME,31/01/2014,REPAS,€38,,
ALLERGAN FRANCE,Médecin,LEMIERRE GUILLAUME,01/02/2014,HEBERGEMENT,€209,,
ALLERGAN FRANCE,Médecin,MALAVAL PHILIPPE,13/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,PON ALAIN,13/11/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,PON ALAIN,10/12/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VIGNAUX LAMARQUE COLETTE,11/10/2013,REPAS,€60,,
AMGEN SAS,Médecin,NGUYEN VALERIE,22/07/2013,REPAS IMPROMPTU,€20,,
Amplifon Groupe France,Médecin,CINA GERARD,31/03/2014,REPAS,€20,,
AMPLITUDE,Médecin,COLOMBET PHILIPPE,13/09/2013,REPAS,€35,,
AMPLITUDE,Médecin,COLOMBET PHILIPPE,13/12/2013,REPAS,€35,,
AMPLITUDE,Médecin,COLOMBET PHILIPPE,13/12/2013,TRANSPORT,€150,,
AMPLITUDE,Médecin,colombet PHILIPPE,13/06/2014,repas,€25,,
AMPLITUDE,Médecin,colombet PHILIPPE,13/06/2014,transport,€183,,
AMPLITUDE,Médecin,COLOMBET PHILIPPE,08/11/2013,TRANSPORT,€450,,
