ICOMED,Pharmacien,DISCOURS MOMBELLI SARA,03/06/2014,Autre: [Enquête],€27,,
Laboratoires Lohmann & Rauscher,Pharmacien,DISCOURS MOMBELLI SARA,22/04/2014,REPAS,€24,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,VIENNOT FLORENCE,06/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,VIENNOT FLORENCE,06/05/2014,INVITATIONS,€20,,
MENARINI FRANCE,Médecin,CASTAGNINI ANDRE,05/11/2013,REPAS,€35,,
MYLAN SAS,Pharmacien,DISCOURS SARA,27/05/2014,REPAS,€29,,
MYLAN SAS,Pharmacien,DISCOURS SARA,19/12/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,VIENNOT FLORENCE,27/05/2014,REPAS,€29,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERTRAND LIONEL,19/12/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FARNET LAURE,27/05/2014,REPAS,€29,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SOUQUET AUDREY,27/05/2014,REPAS,€29,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VIN VALERIE,27/05/2014,REPAS,€29,,
ORTHO CLINICAL DIAGNOSTICS France,Pharmacien,VIENNOT FLORENCE,13/06/2013,REPAS,€46,,
TEVA SANTE SAS,Médecin,POMMEL JEROME,06/06/2014,REPAS,€37,,
TEVA SANTE SAS,Médecin,VADON JACQUES ANTHONY,06/06/2014,REPAS,€37,,
