ASTRAZENECA,Etudiant,MOCHEL MURIEL,24/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,VALETTE ALAIN,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,VALETTE ALAIN,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,VALETTE ALAIN,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,VALETTE ALAIN,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,VALETTE ALAIN,24/10/2013,Repas,€57,,
ICOMED,Chirurgien-dentiste,ROUSSEL ELISABETH,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,ROUSSEL ELISABETH,06/05/2014,Autre: [Enquête],€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VALETTE ALAIN,05/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VALETTE ALAIN,28/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VALETTE ALAIN,03/04/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VALETTE ALAIN,20/12/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VALETTE ALAIN,30/08/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VALETTE ALAIN,24/05/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,CHAUVET GILLES,28/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,CHAUVET GILLES,05/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,CHAUVET GILLES,30/08/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,HUBNER ELISABETH,30/08/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,MARCHAND JEAN LUC,05/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,MARCHAND JEAN LUC,28/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,MARCHAND SANDRINE,24/05/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,MARCHAND SANDRINE,28/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,MARCHAND SANDRINE,03/04/2012,Hospitalité,€32,,
MSD France,Médecin,VALETTE ALAIN,22/11/2012,REPAS,€54,,
MSD France,Médecin,VALETTE ALAIN,26/04/2012,REPAS,€60,,
MSD France,Médecin,VALETTE ALAIN,26/09/2013,REPAS,€60,,
MSD France,Médecin,VALETTE ALAIN,16/10/2012,REPAS,€53,,
MSD France,Médecin,VALETTE ALAIN,28/03/2013,HOSPITALITÉ,€60,,
MSD France,Pharmacien,CHAUVET GILLES,26/04/2012,REPAS,€60,,
MSD France,Pharmacien,HUBNER ELISABETH,22/11/2012,REPAS,€54,,
MSD France,Pharmacien,HUBNER ELISABETH,26/04/2012,REPAS,€60,,
MSD France,Pharmacien,MARCHAND JEAN LUC,26/04/2012,REPAS,€60,,
MSD France,Pharmacien,MARCHAND SANDRINE,26/04/2012,REPAS,€60,,
NOVO NORDISK,Médecin,VALETTE ALAIN,24/04/2014,REPAS,€50,,
PIERRE FABRE MEDICAMENT,Médecin,VALETTE ALAIN,13/11/2013,HOSPITALITE SITES PIERRE FABRE,€38,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,ROQUE VALETTE PASCALE,18/04/2014,RESTAURATION,€70,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,ROQUE VALETTE PASCALE,18/04/2014,HOSPITALITE SITES PIERRE FABRE,€104,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,ROQUE VALETTE PASCALE,18/04/2014,HOSPITALITE SITES PIERRE FABRE,€16,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,ROQUE VALETTE PASCALE,18/04/2014,HOSPITALITE SITES PIERRE FABRE,€24,,
