ASTRAZENECA,Médecin,KIERS JEAN PAUL,10/09/2013,Repas,€57,,
ICOMED,Médecin,GODON PATRICK,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GODON PATRICK,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,KIERS JEAN PAUL,17/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,KIERS JEAN PAUL,22/05/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GODON PATRICK,30/01/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GODON PATRICK,04/02/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIERS JEAN PAUL,04/02/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIERS JEAN PAUL,30/01/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIERS JEAN PAUL,25/01/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIX FRANCOISE,04/02/2014,REPAS,€40,,
MYLAN SAS,Pharmacien,LANDREA LAURENT,17/09/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,PARESYS FABIEN,17/09/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BEHAEGHEL BERNARD,17/09/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BIERVLIET CHRISTINE,17/09/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DHESSE CHRISTINE,17/09/2013,REPAS,€50,,
PHADIA SAS,Médecin,GODON PATRICK,12/12/2013,FRAIS DE REPAS,€54,,
