Amplifon Groupe France,Médecin,SCHWEIGHOFFER PHILIPPE,27/03/2014,REPAS,€36,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,BOUAZZA DJAMEL,16/12/2013,REPAS,€11,,
ASTRAZENECA,Médecin,FONTAINE PATRICK,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FONTAINE PATRICK,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,FONTAINE PATRICK,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MONGOUACHON JEAN CLAUDE,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MONGOUACHON JEAN CLAUDE,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MONGOUACHON JEAN CLAUDE,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MONGOUACHON FROMONT MARION,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MONGOUACHON FROMONT MARION,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MONGOUACHON FROMONT MARION,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,VERDREAU PIERRE,02/10/2013,Repas,€57,,
BIOGARAN,Pharmacien,LABBE HUGUES,12/12/2013,REPAS,€22,,
BIOGARAN,Pharmacien,LABBE Hugues,12/06/2014,AUTRE : FORMATION ESSEC,€656,,
BIOGARAN,Pharmacien,LABBE MARIE NATHALIE,12/12/2013,REPAS,€22,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUYARD THOMAS,12/12/2013,REPAS,€22,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROGER EMILIE,12/12/2013,REPAS,€22,,
BIOTRONIK FRANCE SAS,Médecin,JOLAK MOHAMED,03/04/2014,HEBERGEMENT,€210,,
BIOTRONIK FRANCE SAS,Médecin,JOLAK MOHAMED,03/04/2014,REPAS,€60,,
BIOTRONIK FRANCE SAS,Médecin,JOLAK MOHAMED,03/04/2014,TRANSPORT,€219,,
BIOTRONIK FRANCE SAS,Médecin,JOLAK MOHAMED,03/04/2014,HEBERGEMENT,€210,,
BIOTRONIK FRANCE SAS,Médecin,JOLAK MOHAMED,03/04/2014,AUTRE:[PAUSE],€10,,
BIOTRONIK FRANCE SAS,Médecin,JOLAK MOHAMED,03/04/2014,AUTRE:[PAUSE],€10,,
BIOTRONIK FRANCE SAS,Médecin,JOLAK MOHAMED,04/04/2014,REPAS,€61,,
BRISTOL-MYERS SQUIBB,Médecin,FONTAINE PATRICK,26/06/2014,Repas,€44,,
BRISTOL-MYERS SQUIBB,Médecin,MONGOUACHON JEAN CLAUDE,26/06/2014,Repas,€44,,
BRISTOL-MYERS SQUIBB,Médecin,MONGOUACHON JEAN CLAUDE,19/06/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,MONGOUACHON JEAN CLAUDE,21/11/2013,Repas,€29,,
BRISTOL-MYERS SQUIBB,Médecin,MONGOUACHON JEAN CLAUDE,28/10/2013,Repas,€21,,
BRISTOL-MYERS SQUIBB,Médecin,MONGOUACHON FROMONT MARION,19/06/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,MONGOUACHON FROMONT MARION,21/11/2013,Repas,€29,,
BRISTOL-MYERS SQUIBB,Médecin,MONGOUACHON FROMONT MARION,26/06/2014,Repas,€44,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LAMY AU ROUSSEAU LAURENT,26/09/2013,Repas,€14,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,LAMY-AU-ROUSSEAU LAURENT,19/06/2014,Repas,€14,,
HOLLISTER FRANCE Incorporated,Infirmier,CLERGEOT ANNICK,27/03/2014,REPAS,€43,,
HOLLISTER FRANCE Incorporated,Infirmier,CLERGEOT ANNICK,27/03/2014,REPAS,€22,,
HOLLISTER FRANCE Incorporated,Infirmier,CLERGEOT ANNICK,27/03/2014,REPAS,€43,,
HOLLISTER FRANCE Incorporated,Infirmier,LUCOTTE MAGALI,27/03/2014,REPAS,€43,,
HOLLISTER FRANCE Incorporated,Infirmier,LUCOTTE MAGALI,27/03/2014,REPAS,€22,,
HOLLISTER FRANCE Incorporated,Infirmier,LUCOTTE MAGALI,27/03/2014,REPAS,€43,,
HOLLISTER FRANCE Incorporated,Infirmier,MEUNIER VALERIE,27/03/2014,REPAS,€43,,
HOLLISTER FRANCE Incorporated,Infirmier,MEUNIER VALERIE,27/03/2014,REPAS,€22,,
HOLLISTER FRANCE Incorporated,Infirmier,MEUNIER VALERIE,27/03/2014,REPAS,€43,,
HOLOGIC,Médecin,Lallemant Bernard,31/01/2014,Réunion-déjeuner organisé par le Cercle des gynécologues hospitaliers de Bourgogne,€50,,
ICOMED,Chirurgien-dentiste,BERGER LIDWINE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,NGUYEN VAN LONG CAMILLE,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,FONTAINE PATRICK,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRAS FLORENCE,08/02/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,GRAS FLORENCE,07/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MONGOUACHON FROMONT MARION,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PRIEUR DENIS,20/02/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,PRIEUR DENIS,02/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,VERDREAU PIERRE,03/04/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,VERDREAU PIERRE,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,LABBE HUGUES,23/04/2013,Autre: [Enquête],€19,,
IPSEN PHARMA,Médecin,MONGOUACHON JEAN CLAUDE,03/04/2014,REPAS,€42,,
IPSEN PHARMA,Médecin,MONGOUACHON JEAN CLAUDE,05/06/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,MONGOUACHON JEAN CLAUDE,03/04/2014,REPAS,€10,,
IPSEN PHARMA,Médecin,MONGOUACHON FROMONT MARION,05/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BATTA ANNICK,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BOCCARD Annie,12/09/2013,HEBERGEMENT,€196,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BOCCARD ANNIE,05/06/2013,Transport,€179,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BOCCARD Annie,12/09/2013,TRANSPORT,€179,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BOCCARD ANNIE,05/06/2013,Hospitalite,€571,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BOURCIER MARIE LINE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,CIRIEZ VERONIQUE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GERBET CHRISTINE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,MARIOT VALERIE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Masseur-kinésithérapeute,JOLY BRICE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROCARD LAURENT,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON JEAN CLAUDE,21/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON JEAN CLAUDE,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON JEAN CLAUDE,28/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONGOUACHON FROMONT MARION,21/03/2013,Hospitalite,€60,,
