ABBOTT PRODUCTS SAS,Médecin,ARNOULD Jean luc,06/09/2013,REPAS,€30,,
ASTRAZENECA,Etudiant,BURES JULIE,17/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,ARNOULD JEAN LUC,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ARNOULD JEAN LUC,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BENARD CARINE,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BIDAULT TOUZARD SOPHIE,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BIDAULT TOUZARD SOPHIE,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,CASTELOT VINCENT,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,FONLUPT VIRGINIE,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,TIEURSIN ANNE,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,TIEURSIN ANNE,04/12/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,DECEUNINCK HERVE,11/02/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,DECEUNINCK HERVE,04/12/2013,Repas,€57,,
BIOCODEX,Etudiant,BURES JULIE,26/05/2014,REPAS,€28,,
BIOCODEX,Médecin,FONLUPT VIRGINIE,26/05/2014,REPAS,€28,,
BIOCODEX,Médecin,LAVAL LAURENT,26/05/2014,REPAS,€28,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ARNOULD JEAN LUC,15/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BIDAULT TOUZARD SOPHIE,15/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CASTELOT VINCENT,15/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CASTELOT VINCENT,10/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FONLUPT VIRGINIE,10/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TIEURSIN ANNE,15/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,BONNAVIA CAROLINE,10/07/2013,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,DECEUNINCK HERVE,15/10/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,VANNIER ANNE,10/07/2013,HOSPITALITE,€36,,
BRISTOL-MYERS SQUIBB,Médecin,ARNOULD JEAN LUC,16/01/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,BIDAULT TOUZARD SOPHIE,27/03/2014,Repas,€20,,
BRISTOL-MYERS SQUIBB,Médecin,BIDAULT TOUZARD SOPHIE,16/01/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,BIDAULT TOUZARD SOPHIE,22/05/2014,Repas,€26,,
BRISTOL-MYERS SQUIBB,Médecin,CASTELOT VINCENT,16/01/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,FONLUPT VIRGINIE,16/01/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,TIEURSIN ANNE,16/01/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Pharmacien,DECEUNINCK HERVE,16/01/2014,Repas,€54,,
CHIESI SA,Médecin,ARNOULD JEAN LUC,24/09/2013,Repas,€50,,
CHIESI SA,Médecin,BIDAULT TOUZARD SOPHIE,24/09/2013,Repas,€50,,
CHIESI SA,Médecin,FILLEUL CHARRON XAVIER,24/09/2013,Repas,€50,,
CHIESI SA,Médecin,FONLUPT VIRGINIE,24/09/2013,Repas,€50,,
CHIESI SA,Médecin,TIEURSIN ANNE,24/09/2013,Repas,€50,,
CHIESI SA,Pharmacien,DECEUNINCK HERVE,24/09/2013,Repas,€50,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DUBOIS CAMILLE,17/02/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DUBOIS CAMILLE,17/02/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,JEANNE HELENE,22/04/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,JEANNE HELENE,17/02/2014,REPAS,€20,,
ICOMED,Médecin,FONLUPT VIRGINIE,19/02/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,FONLUPT VIRGINIE,21/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,GLAIZOT THIERRY,18/02/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,GLAIZOT THIERRY,03/02/2014,Autre: [Enquête],€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BIDAULT TOUZARD SOPHIE,05/12/2013,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASTELOT VINCENT,27/03/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASTELOT VINCENT,05/12/2013,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONLUPT VIRGINIE,27/03/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONLUPT VIRGINIE,05/12/2013,REPAS,€20,,
LEO Pharma,Médecin,BENARD CARINE,22/05/2014,REPAS,€39,,
LEO Pharma,Médecin,BIDAULT TOUZARD SOPHIE,06/02/2014,REPAS,€20,,
LES LABORATOIRES SERVIER,Médecin,BENARD CARINE,13/02/2014,Repas,€29,,
LES LABORATOIRES SERVIER,Médecin,BIDAULT TOUZARD SOPHIE,13/02/2014,Repas,€29,,
LES LABORATOIRES SERVIER,Médecin,FONLUPT VIRGINIE,13/02/2014,Repas,€29,,
MENARINI FRANCE,Médecin,TIEURSIN ANNE,27/09/2013,AUTRE : RNT,€22,,
Molnlycke Health Care,Infirmier,BODE EMILIE,06/02/2014,REPAS,€23,,
Molnlycke Health Care,Infirmier,DISDIER PRISCILLA,06/02/2014,REPAS,€23,,
Molnlycke Health Care,Infirmier,DISDIER PRISCILLA,28/11/2013,REPAS,€28,,
Molnlycke Health Care,Infirmier,DUHAMEL STEPHANE,06/02/2014,REPAS,€23,,
Molnlycke Health Care,Infirmier,HUE ALEXANDRA,28/11/2013,REPAS,€28,,
Molnlycke Health Care,Infirmier,MARCHI ANNE,28/11/2013,REPAS,€28,,
MSD France,Médecin,BIDAULT TOUZARD SOPHIE,10/10/2013,REPAS,€18,,
MSD France,Médecin,BIDAULT TOUZARD SOPHIE,23/01/2014,REPAS,€18,,
