AbbVie,Infirmier,DEVOS CHRISTELLE,04/07/2013,Repas,€30,,
ALK-Abelló,Médecin,HASSAINI ZAYA,15/04/2014,Autre [Inscription],€312,,
ALK-Abelló,Médecin,HASSAINI ZAYA,15/04/2014,Transport,€158,,
ALK-Abelló,Médecin,HASSAINI ZAYA,15/04/2014,HÃ©bergement,€690,,
ALLERGAN FRANCE,Médecin,IDO GHASSAN,26/05/2014,AUTRE-INSCRIPTION,€760,,
ALLERGAN FRANCE,Médecin,IDO GHASSAN,26/05/2014,HOSPITALITE,"€1,220",,
AMPLITUDE,Médecin,delobelle JEAN MICHEL,23/05/2014,transport,€184,,
AMPLITUDE,Médecin,delobelle JEAN MICHEL,23/05/2014,repas,€39,,
AMPLITUDE,Médecin,ELHAGE RICHARD,18/10/2013,REPAS,€37,,
AMPLITUDE,Médecin,ELHAGE RICHARD,18/10/2013,TRANSPORT,€126,,
ARCOS,Médecin,GADEYNE SYLVAIN,30/07/2013,REPAS,€67,,
ARCOS,Médecin,GADEYNE SYLVAIN,13/11/2013,REPAS,€76,,
ARCOS,Médecin,GADEYNE SYLVAIN,08/04/2014,REPAS,€77,,
ARCOS,Médecin,GADEYNE SYLVAIN,31/07/2013,HEBERGEMENT,€93,,
Arthrex SAS,Médecin,ELHAGE RACHID,05/12/2013,HOTEL,€381,,
Arthrex SAS,Médecin,MATHEI FREDERIC,23/04/2014,REPAS,€17,,
Arthrex SAS,Médecin,MULLIEZ ARNAUD,27/06/2014,REPAS,€55,,
Arthrex SAS,Médecin,MULLIEZ ARNAUD,27/06/2014,TRANSPORT,€247,,
Arthrex SAS,Médecin,MULLIEZ ARNAUD,27/06/2014,HEBERGEMENT,€440,,
ASTELLAS PHARMA,Médecin,COLIN JEROME,22/01/2013,REPAS,€33,,
ASTRAZENECA,Infirmier,ALGLAVE JUSTINE,22/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,CHEMINEL JEROME,22/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,COLEAU YOANN,23/05/2014,Repas,€20,,
ASTRAZENECA,Infirmier,FROISSART MARIE AGNES,22/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,HANQUEZ AMELIE,22/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,NICOLAS FABIEN,22/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,PRUDHOMME LYNDA,26/05/2014,Repas,€20,,
ASTRAZENECA,Infirmier,RICHEZ STEPHANE,22/04/2014,Repas,€20,,
ASTRAZENECA,Infirmier,SOKOL AMELIE,22/04/2014,Repas,€20,,
ASTRAZENECA,Médecin,BECAR PIERRE,02/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,BECAR PIERRE,27/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BECAR PIERRE,17/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,19/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,18/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,01/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,23/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR Mickael,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR Mickael,18/10/2013,Transport,€809,,
ASTRAZENECA,Médecin,DUFOUR Mickael,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,16/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,12/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR Mickael,18/10/2013,Hébergement,€186,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,19/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,DUFOUR MICKAEL,27/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,GARCETTE CLEMENT,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,GARCETTE CLEMENT,19/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,GUISLAIN BENOIT,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GUISLAIN BENOIT,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LECERF ERIC,09/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,12/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,26/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,30/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,23/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOPACINSKI VILAIN VIRGINIE,12/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,LORIDON FRANCOIS,13/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,LORIDON FRANCOIS,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,LORIDON FRANCOIS,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,LORIDON FRANCOIS,12/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARY MOLINIER SOLINE,27/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARY MOLINIER SOLINE,03/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,PARANT AMANDINE,22/04/2014,Repas,€20,,
ASTRAZENECA,Médecin,PENNEQUIN PHILIPPE,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PENNEQUIN PHILIPPE,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,PENNEQUIN PHILIPPE,09/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PENNEQUIN PHILIPPE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PENNEQUIN PHILIPPE,28/11/2013,Repas,€57,,
