3M France,Chirurgien-dentiste,GRATADOUR AGNES,06/02/2014,REPAS,€18,,
ABS-Bolton Medical,Médecin,BOUCULAT FRANCOIS,21/03/2013,REPAS,€43,,
ABS-Bolton Medical,Médecin,LUNAUD BERNARD,20/03/2013,REPAS,€21,,
Agfa HealthCare France SA,Manipulateur d’électroradiologie médicale,FAYE NICOLAS,22/05/2014,REPAS,€32,,
Agfa HealthCare France SA,Médecin,ISNARD ALAIN,22/05/2014,REPAS,€32,,
Agfa HealthCare France SA,Pharmacien,FORTE DOMINIQUE,19/09/2013,REPAS,€17,,
Agfa HealthCare France SA,Pharmacien,HUC XAVIER,19/09/2013,REPAS,€17,,
Agfa HealthCare France SA,Pharmacien,MARCHISET ERIC,19/09/2013,REPAS,€17,,
Alexion Pharma France,Pharmacien,BOYER ANNE,04/12/2013,REPAS,€18,,
Alexion Pharma France,Pharmacien,TALAVERA SARAH,04/12/2013,REPAS,€18,,
ALFA WASSERMANN PHARMA,Médecin,BONNEAU PATRICK,05/12/2013,REPAS,€55,,
ALFA WASSERMANN PHARMA,Médecin,CHARDON CLAUDE,18/06/2014,REPAS,€55,,
ALFA WASSERMANN PHARMA,Médecin,GILARD JEAN MARC,05/12/2013,REPAS,€55,,
ALFA WASSERMANN PHARMA,Médecin,HADDOU FABRICE,05/12/2013,REPAS,€55,,
ALFA WASSERMANN PHARMA,Médecin,TARTIERE DIDIER,18/06/2014,REPAS,€55,,
ALFA WASSERMANN PHARMA,Médecin,TARTIERE DIDIER,05/12/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,BUSSIERE MONIQUE,20/06/2014,REPAS,€53,,
ALLERGAN FRANCE,Médecin,BUSSIERE MONIQUE,19/06/2014,HEBERGEMENT,€140,,
ALLERGAN FRANCE,Médecin,BUSSIERE MONIQUE,20/06/2014,AUTRE-INSCRIPTION,€160,,
ALLERGAN FRANCE,Médecin,BUSSIERE MONIQUE,20/06/2014,REPAS,€57,,
ALLERGAN FRANCE,Médecin,BUSSIERE MONIQUE,19/06/2014,HEBERGEMENT,€140,,
ALLERGAN FRANCE,Médecin,BUSSIERE MONIQUE,27/02/2014,REPAS,€22,,
ALLERGAN FRANCE,Médecin,BUSSIERE MONIQUE,20/06/2014,HEBERGEMENT,€140,,
ALLERGAN FRANCE,Médecin,LOINTIER PATRICE,30/03/2012,REPAS,€26,,
ALLERGAN FRANCE,Médecin,LOTIRON PHILIPPE,07/11/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,SABADEL ANNE,07/11/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,SABADEL ANNE,26/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,20/06/2014,REPAS,€57,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,20/06/2014,HEBERGEMENT,€140,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,20/06/2014,AUTRE-INSCRIPTION,€160,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,20/06/2014,REPAS,€53,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,07/11/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,21/11/2013,REPAS,€47,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,24/06/2014,REPAS,€32,,
ALLERGAN FRANCE,Médecin,TRAPEAU FRANCOISE,19/06/2014,HEBERGEMENT,€140,,
ALLERGAN FRANCE,Médecin,VESCHAMBRE CAVAROC MARIE CLAUDE,07/11/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VESCHAMBRE-CAVAROC MARIE-CLAUDE,27/02/2014,REPAS,€22,,
ALLERGAN FRANCE,Médecin,VESCHAMBRE-CAVAROC MARIE-CLAUDE,24/06/2014,REPAS,€32,,
A.MENARINI diagnostics,Pharmacien,MARCHISET ERIC,01/06/2014,REPAS,€26,,
A.MENARINI diagnostics,Pharmacien,PIALES CLAIRE,01/06/2014,REPAS,€26,,
AMGEN SAS,Médecin,BAY JACQUES OLIVIER,25/10/2013,TRANSPORT,€157,,
AMGEN SAS,Médecin,BAY JACQUES OLIVIER,04/11/2013,TRANSPORT,€498,,
AMGEN SAS,Médecin,BAY JACQUES OLIVIER,04/11/2013,TRANSPORT,€157,,
AMGEN SAS,Médecin,BAY JACQUES OLIVIER,25/10/2013,TRANSPORT,€498,,
AMGEN SAS,Médecin,KLISNICK ARNAUD,23/08/2013,REPAS IMPROMPTU,€29,,
APTALIS PHARMA SAS,Médecin,MONIER PASCAL,25/01/2014,FRAIS D'HOSPITALIT,€53,,
ASTELLAS PHARMA,Médecin,ARVEUF GWENAELLE,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,BONNEAU PATRICK,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,CARLA HERVE,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,CHARDON CLAUDE,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,DOLY JEAN BAPTISTE,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,FANGET JEAN YVES,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,FENELON VANESSA,27/01/2012,HEBERGEMENT,€268,,
ASTELLAS PHARMA,Médecin,FENELON VANESSA,28/01/2012,REPAS,€25,,
ASTELLAS PHARMA,Médecin,GILARD JEAN MARC,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,HADDOU FABRICE,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,PONS PASCAL,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,TARTIERE DIDIER,19/03/2013,REPAS,€74,,
ASTELLAS PHARMA,Médecin,VORILHON PATRICK,19/03/2013,REPAS,€74,,
ASTRAZENECA,Etudiant,FARHAT Hicham,29/11/2013,Repas,€146,,
ASTRAZENECA,Etudiant,FARHAT Hicham,29/11/2013,Repas,€146,,
ASTRAZENECA,Etudiant,FARHAT Hicham,29/11/2013,Transport,€489,,
ASTRAZENECA,Etudiant,NAHLI Youssef,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Etudiant,NAHLI Youssef,29/11/2013,Repas,€146,,
ASTRAZENECA,Etudiant,NAHLI Youssef,29/11/2013,Transport,€489,,
ASTRAZENECA,Infirmier,BESSIERE MAX,14/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,QUAINON NATHALIE,14/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,ARVEUF GWENAELLE,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,28/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,BONNEAU PATRICK,14/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,BRUNEHAUT PETAUT MYRIAM,11/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRUNEHAUT PETAUT MYRIAM,11/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,CARLA HERVE,28/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,CARLA HERVE,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,CARLA HERVE,13/05/2014,Repas,€20,,
ASTRAZENECA,Médecin,CARLA HERVE,28/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,CARLA HERVE,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,CARLA HERVE,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHARDON CLAUDE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHARDON CLAUDE,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHARDON CLAUDE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHARDON CLAUDE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELVAL LAURENT,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DELVAL LAURENT,28/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,DOLY JEAN BAPTISTE,14/02/2014,Repas,€20,,
