ALK-Abelló,Médecin,MONEA ELENA,20/11/2012,AUTRE : [RESTAURATION],€60,,
ANTHOGYR,Médecin,TEISSEIRE Philippe,28/11/2013,Repas ou Hébèrgement,€46,,
Bayer HealthCare SAS,Infirmier,FORQUET DE DORNE ANNE,16/10/2013,Hospitalité,€23,,
Bayer HealthCare SAS,Médecin,ADAD DANIEL,17/10/2013,Hospitalité,€400,,
Bayer HealthCare SAS,Médecin,DIMITRIOU VIOREL,16/10/2013,Hospitalité,€23,,
Bayer HealthCare SAS,Médecin,PAOLUCCI RACHEL,18/10/2013,Hospitalité,€15,,
BIOCODEX,Médecin,FOREST HENRI,15/04/2014,REPAS,€31,,
BIOCODEX,Médecin,LEONARD MARTELLI VANESSA,15/04/2014,REPAS,€31,,
BIOTECH DENTAL,Chirurgien-dentiste,LAYET Michel,14/09/2013,Hébergement,€129,,
BIOTECH DENTAL,Chirurgien-dentiste,LAYET Michel,14/09/2013,Transport,€171,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JOHANN PHILIPPE,08/04/2014,HOSPITALITE,€40,,
BOIRON,Pharmacien,ALESSANDRA JEAN-CHRISTOPHE,01/04/2014,[REPAS],€25,,
BOIRON,Pharmacien,ALESSANDRA JEAN-CHRISTOPHE,01/04/2014,[REPAS],€25,,
BOIRON,Pharmacien,ALESSANDRA MONIQUE,01/04/2014,[REPAS],€25,,
BOIRON,Pharmacien,ALESSANDRA MONIQUE,01/04/2014,[REPAS],€25,,
BOIRON,Pharmacien,DORCIVAL HELENE,01/04/2014,[REPAS],€20,,
BOIRON,Pharmacien,DORCIVAL HELENE,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOVARI CATHERINE,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOVARI CATHERINE,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARRON CAMILLE,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARRON CAMILLE,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DETTORI CAMPUS JEAN-MICHEL,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DETTORI CAMPUS JEAN-MICHEL,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRENET CHRISTIANE,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRENET CHRISTIANE,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUTTIERES ORNELLA,01/04/2014,[REPAS],€20,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUTTIERES ORNELLA,01/04/2014,[REPAS],€20,,
