ABBOTT PRODUCTS SAS,Médecin,LASCAUD Andre,19/09/2013,REPAS,€45,,
ASTRAZENECA,Médecin,FEART ERIC,04/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,FEART ERIC,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LASCAUD ANDRE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LASCAUD ANDRE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LASCAUD ANDRE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MITAMONA Jean,29/11/2013,Transport,€337,,
ASTRAZENECA,Médecin,MITAMONA Jean,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,MITAMONA Jean,29/11/2013,Hébergement,€219,,
Bayer HealthCare SAS,Médecin,FEART ERIC,16/04/2014,Hospitalité,€61,,
Bayer HealthCare SAS,Médecin,FEART ERIC,25/06/2014,Hospitalité,€14,,
Bayer HealthCare SAS,Médecin,FEART ERIC,03/07/2013,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,FEART ÉRIC,09/10/2013,Hospitalité,€12,,
Bayer HealthCare SAS,Médecin,FEART ÉRIC,18/06/2014,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,FEART ÉRIC,04/04/2014,Hospitalité,€43,,
ICOMED,Médecin,FEART ERIC,13/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LASCAUD ANDRE,21/01/2014,Autre: [Enquête],€24,,
LES LABORATOIRES SERVIER,Médecin,FEART ERIC,16/10/2013,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,PAPALLARDO-MEZIERES FRANCOISE,16/10/2013,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,PAPPALARDO CYRIL,16/10/2013,Repas,€53,,
MENARINI FRANCE,Médecin,FEART ERIC,26/03/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,FEART ERIC,09/10/2013,REPAS,€53,,
MENARINI FRANCE,Médecin,FEART ERIC,27/11/2013,REPAS,€53,,
NOVARTIS PHARMA SAS,Médecin,FEART ERIC,20/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,FEART ERIC,25/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,FEART ERIC,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MEZIERES PAPPALARDO FRANCOISE,25/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MEZIERES PAPPALARDO FRANCOISE,20/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MEZIERES PAPPALARDO FRANCOISE,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PAPPALARDO CYRIL,25/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PAPPALARDO CYRIL,20/03/2014,Autre : [Participation Evenement Scientifique],€55,,
OCP REPARTITION,Pharmacien,BOUCHERIT MATTHIEU ,27/03/2014,REPAS,€22,,
SANDOZ,Pharmacien,ROUDIERE PIERRE,15/04/2014,REPAS,€43,,
SANDOZ,Pharmacien,ROUDIERE PIERRE,19/12/2013,REPAS,€48,,
SANDOZ,Pharmacien,ROUZEAU LIONEL,21/03/2014,REPAS,€15,,
SANDOZ,Pharmacien,ROUZEAU LIONEL,07/11/2013,REPAS,€30,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BELLAY STEPHANIE,15/04/2014,REPAS,€43,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CARBANET DELPHINE,15/04/2014,REPAS,€43,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUILLIN BRIGITTE,15/04/2014,REPAS,€43,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOUAIS FLAVIE,15/04/2014,REPAS,€43,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ONGEUR SYLVIE,15/04/2014,REPAS,€43,,
SANOFI AVENTIS FRANCE,Médecin,MEZIERES PAPPALARDO FRANCOISE,11/06/2014,Repas,€18,,
SANOFI AVENTIS FRANCE,Médecin,MEZIERES PAPPALARDO FRANCOISE,04/12/2013,Restauration,€17,,
SANOFI AVENTIS FRANCE,Médecin,PAPPALARDO CYRIL,04/12/2013,Restauration,€17,,
SANOFI AVENTIS FRANCE,Médecin,PAPPALARDO CYRIL,11/06/2014,Repas,€18,,
