ARROW GENERIQUES SAS,Pharmacien,DRAIN FRANCOIS,23/04/2014,REPAS,€26,,
ASTRAZENECA,Médecin,GAUDOUIN THIERRY,23/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENCE PATRICK,23/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENCE PATRICK,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,HAGUIER MICHEL,11/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEFEBVRE DIDIER,23/05/2014,Repas,€57,,
BOIRON,Pharmacien,BERETTA ANNIE,14/10/2013,[REPAS],€26,,
BOIRON,Pharmacien,CLAVIER HELENE,29/11/2013,[REPAS],€18,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELATRE STEPHANIE,29/11/2013,[REPAS],€18,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUVAL VIRGINIE,02/12/2013,[REPAS],€20,,
COSMETIQUE ACTIVE FRANCE,Etudiant,BULARD LUCIE,26/05/2014,REPAS,€16,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BANCE EVA,30/01/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,CLAVIER HÉLÈNE,20/02/2014,REPAS,€58,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,LEROUGE THOMAS,30/01/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELATRE STEPHANIE,05/11/2013,HOSPITALITE,€78,,
DJO France SAS,Pharmacien,BANCE EVE,11/03/2014,Repas,€19,,
DJO France SAS,Pharmacien,BESSOU VIRGINIE,05/12/2013,Repas,€29,,
DJO France SAS,Pharmacien,CLAVIER HELENE,05/12/2013,Repas,€29,,
DJO France SAS,Pharmacien,GUAY CHARLES,11/03/2014,Repas,€19,,
DJO France SAS,Pharmacien,GUAY SOPHIE,11/03/2014,Repas,€19,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAUDOUIN ANGELIQUE,11/03/2014,Repas,€19,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BELORD MEGAN,11/03/2014,Repas,€19,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COTTRY JULIEN,11/03/2014,Repas,€19,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUQUESNOY PRSICILLA,11/03/2014,Repas,€19,,
ICOMED,Médecin,FISSET BERTRAND,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,GENCE PATRICK,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,LEFEBVRE DIDIER,25/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,REMY JEAN CLAUDE,22/11/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,HAGUIER MICHEL,13/11/2013,REPAS,€52,,
IPSEN PHARMA,Médecin,HAGUIER MICHEL,20/02/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENCE PATRICK,01/10/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENCE PATRICK,01/10/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENCE PATRICK,01/10/2013,REPAS,€32,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GUAY SOPHIE,17/04/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GUAY-RIZO SOPHIE,24/09/2013,INVITATIONS,€20,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE DE CHARLEVAL PHARMACIE DE CHARLEVAL,15/11/2013,REPAS,€30,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE DE CHARLEVAL PHARMACIE DE CHARLEVAL,15/11/2013,REPAS,€30,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE DE CHARLEVAL PHARMACIE DE CHARLEVAL,15/11/2013,REPAS,€30,,
Labvoratoire CHAUVIN,Pharmacien,PHARMACIE DE CHARLEVAL PHARMACIE DE CHARLEVAL,15/11/2013,REPAS,€30,,
LES LABORATOIRES SERVIER,Médecin,HAGUIER MICHEL,15/05/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HAGUIER MICHEL,20/03/2014,Repas,€38,,
MSD France,Médecin,FISSET BERTRAND,16/10/2013,REPAS,€57,,
MSD France,Médecin,FISSET BERTRAND,26/10/2012,REPAS,€48,,
MSD France,Médecin,FISSET BERTRAND,31/01/2014,REPAS,€30,,
MSD France,Médecin,FRUIT FELICETTE,31/01/2014,REPAS,€30,,
MSD France,Médecin,GENCE PATRICK,26/10/2012,REPAS,€48,,
MSD France,Médecin,GENCE PATRICK,31/01/2014,REPAS,€30,,
MSD France,Médecin,GENCE PATRICK,16/10/2013,REPAS,€57,,
MSD France,Médecin,GENCE PATRICK,29/11/2013,REPAS,€38,,
MSD France,Médecin,HAGUIER MICHEL,16/10/2013,REPAS,€57,,
MSD France,Médecin,HAGUIER MICHEL,31/01/2014,REPAS,€30,,
MSD France,Médecin,HAGUIER MICHEL,29/11/2013,REPAS,€38,,
MSD France,Médecin,HAGUIER MICHEL,26/10/2012,REPAS,€48,,
MSD France,Médecin,LEFEBVRE DIDIER,26/10/2012,REPAS,€48,,
MSD France,Médecin,LEFEBVRE DIDIER,16/10/2013,REPAS,€57,,
MSD France,Médecin,LEFEBVRE DIDIER,31/01/2014,REPAS,€30,,
MSD France,Médecin,LEFEBVRE DIDIER,29/11/2013,REPAS,€38,,
MSD France,Médecin,REMY JEAN CLAUDE,31/01/2014,REPAS,€30,,
MSD France,Médecin,REMY JEAN CLAUDE,16/10/2013,REPAS,€57,,
MUNDIPHARMA,Médecin,FISSET BERTRAND,25/06/2014,REPAS,€54,,
MUNDIPHARMA,Médecin,GENCE PATRICK,26/11/2013,HOSPITALITE,€55,,
MUNDIPHARMA,Médecin,GENCE PATRICK,05/02/2013,HOSPITALITE REUNION PROFESSIONNELLE,€60,,
