AbbVie,Médecin,DORBON FRANÇOIS,26/09/2013,REPAS,€50,,
ASTRAZENECA,Médecin,DORBON FRANCOIS,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DORBON FRANCOIS,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DORBON FRANCOIS,15/05/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,FAUVIN DANIELLE,16/01/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,DORBON FRANCOIS,13/03/2014,Hospitalité,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DORBON FRANCOIS,18/12/2013,HOSPITALITE,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DORBON FRANCOIS,24/10/2013,Repas,€55,,
CHIESI SA,Médecin,DORBON FRANCOIS,11/03/2014,Repas,€53,,
IPSEN PHARMA,Médecin,DORBON FRANCOIS,24/06/2014,REPAS,€57,,
JANSSEN-CILAG,Médecin,DORBON FRANCOIS,03/04/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,12/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,05/02/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,25/02/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,25/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,14/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,06/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,08/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,24/04/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,02/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,20/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORBON FRANCOIS,06/12/2012,Hospitalité,€60,,
Laboratoires Expanscience,Médecin,DORBON FRANCOIS,14/01/2014,Repas,€37,,
Laboratoires Expanscience,Médecin,DORBON FRANCOIS,14/01/2014,Repas,€37,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DORBON Francois,27/02/2014,HOSPITALITE,€50,,
LEO Pharma,Médecin,DORBON FRANCOIS,25/06/2013,REPAS,€43,,
LES LABORATOIRES SERVIER,Médecin,DORBON FRANCOIS,21/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DORBON FRANCOIS,03/04/2014,Repas,€55,,
Lilly France SAS,Médecin,DORBON FRANCOIS,28/01/2014,REPAS,€57,,
Lilly France SAS,Médecin,DORBON FRANCOIS,25/09/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,DORBON FRANCOIS,03/10/2013,AUTRE : RNT,€35,,
MSD France,Médecin,DORBON FRANCOIS,12/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,DORBON FRANCOIS,29/08/2013,REPAS,€60,,
MSD France,Médecin,DORBON FRANCOIS,29/08/2013,REPAS,€60,,
MSD France,Médecin,DORBON FRANCOIS,30/08/2012,HOSPITALITE,€60,,
MSD France,Médecin,DORBON FRANCOIS,21/01/2014,REPAS,€60,,
MSD France,Médecin,REBELO ARIANE,05/07/2012,HOSPITALITE,€61,,
NOVO NORDISK,Médecin,DORBON FRANCOIS,24/04/2014,REPAS,€60,,
