AMGEN SAS,Médecin,EDIER JEAN,18/03/2014,REPAS REUNION,€27,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BERSOU MARSCHALL GENEVIEVE,24/09/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,EDIER JEAN MICHEL,24/09/2013,HOSPITALITE,€60,,
BOIRON,Médecin,EDIER JEAN MICHEL,22/05/2014,[REPAS],€33,,
BOIRON,Médecin,EDIER JEAN MICHEL,12/09/2013,[REPAS],€35,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTINEZ MARIE,19/11/2013,[REPAS],€12,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SAPRO ANNE-MARIE,19/11/2013,[REPAS],€12,,
BRISTOL-MYERS SQUIBB,Médecin,EDIER JEAN MICHEL,27/06/2014,Repas,€55,,
CELGENE,Médecin,EDIER JEAN MICHEL,19/09/2013,REPAS MANIFESTATION DE FORMATION,€44,,
ICOMED,Médecin,BERSOU MARSCHALL GENEVIEVE,19/03/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,EDIER JEAN MICHEL,12/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,EDIER JEAN MICHEL,31/01/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,LE GLOUAHEC JEAN MICHEL,06/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,THOMAS HERVE,04/12/2013,Autre: [Enquête],€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,19/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,19/09/2013,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,24/06/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,05/04/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,24/02/2012,Hospitalité,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,13/03/2014,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,19/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,28/06/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,24/06/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EDIER JEAN MICHEL,13/03/2014,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,THOMAS HERVE,23/08/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,THOMAS HERVE,17/06/2014,REPAS,€56,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,THOMAS HERVE,07/11/2013,Repas,€51,,
Laboratoires Grünenthal SAS,Médecin,EDIER JEAN MICHEL,08/04/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,EDIER JEAN MICHEL,03/07/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,EDIER JEAN MICHEL,05/12/2013,REPAS,€45,,
Lilly France SAS,Médecin,EDIER JEAN MICHEL,20/02/2014,REPAS,€50,,
MENARINI FRANCE,Médecin,THOMAS HERVE,08/01/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,THOMAS HERVÉ,03/10/2013,REPAS,€49,,
MSD France,Médecin,BERSOU MARSCHALL GENEVIEVE,10/07/2013,REPAS,€30,,
MSD France,Médecin,BERSOU MARSCHALL GENEVIEVE,15/10/2013,REPAS,€30,,
MSD France,Médecin,EDIER JEAN MICHEL,15/10/2013,REPAS,€30,,
PFIZER SAS,Médecin,BERSOU MARSCHALL GENEVIEVE,24/04/2014,REPAS,€23,,
PIERRE FABRE MEDICAMENT,Médecin,BERSOU MARSCHALL GENEVIEVE,31/05/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,EDIER JEAN MICHEL,13/12/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,EDIER JEAN MICHEL,31/05/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,EDIER JEAN MICHEL,03/05/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,EDIER JEAN MICHEL,31/05/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,THOMAS HERVE,18/04/2013,HÃƒÂ©bergement,€150,,
PIERRE FABRE MEDICAMENT,Médecin,THOMAS HERVE,18/04/2013,Frais de dÃƒÂ©placement,€76,,
PIERRE FABRE MEDICAMENT,Médecin,THOMAS HERVE,18/04/2013,HospitalitÃƒÂ©,€189,,
PIERRE FABRE MEDICAMENT,Pharmacien,LAMBERT CECILE,31/05/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Pharmacien,MONANY DINESH,31/05/2012,Restauration,€28,,
SANOFI AVENTIS FRANCE,Médecin,THOMAS HERVE,02/06/2014,Repas,€29,,
TEVA SANTE SAS,Pharmacien,PROVOT GUY,11/02/2014,REPAS,€48,,
VITALAIRE,Médecin,THOMAS HERVE,31/01/2013,RESTAURATION,€35,,
