ABBOTT PRODUCTS SAS,Médecin,GASNIER DESTOOP Virginie,06/09/2013,REPAS,€36,,
ASTELLAS PHARMA,Médecin,GASNIER DESTOOP VIRGINIE,11/01/2013,REPAS,€53,,
ASTELLAS PHARMA,Médecin,GASNIER DESTOOP VIRGINIE,20/06/2014,REPAS,€55,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,13/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,21/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,31/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GASNIER DESTOOP VIRGINIE,21/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,VIOSSAT EMMANUEL,12/03/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,GASNIER DESTOOP VIRGINIE,12/07/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,GASNIER DESTOOP VIRGINIE,29/11/2013,Hospitalité,€37,,
Bayer HealthCare SAS,Médecin,GASNIER DESTOOP VIRGINIE,16/05/2014,Hospitalité,€52,,
BOIRON,Médecin,KINDUELO AURORE,09/04/2014,[REPAS],€13,,
BRISTOL-MYERS SQUIBB,Médecin,GASNIER DESTOOP VIRGINIE,26/09/2013,Repas,€57,,
ICOMED,Médecin,GASNIER DESTOOP VIRGINIE,17/01/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,GASNIER DESTOOP VIRGINIE,13/06/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,GASNIER DESTOOP VIRGINIE,20/12/2013,REPAS,€44,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,SAVIGNAT Evelyne,11/09/2013,REPAS,€60,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,SAVIGNAT Evelyne,09/10/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,06/12/2013,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,15/02/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,21/06/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,23/05/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,05/07/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,15/11/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GASNIER DESTOOP VIRGINIE,27/01/2012,Hospitalité,€46,,
