ABBOTT PRODUCTS SAS,Médecin,DIDOUT Charles,06/09/2013,REPAS,€30,,
ARROW GENERIQUES SAS,Pharmacien,FRANC FRANÇOIS,11/12/2013,CADEAUX,€25,,
ASTELLAS PHARMA,Médecin,DIDOUT CHARLES,25/02/2014,REPAS,€45,,
ASTELLAS PHARMA,Médecin,DIDOUT CHARLES,18/04/2014,REPAS,€18,,
ASTELLAS PHARMA,Médecin,JOSEPH JEAN,18/04/2014,REPAS,€18,,
ASTRAZENECA,Etudiant,LEVEQUE STEPHANIE,05/11/2013,Repas,€43,,
ASTRAZENECA,Etudiant,LEVEQUE STEPHANIE,08/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,DELAPORTE CARINE,05/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,DELAPORTE CARINE,27/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,DIDOUT CHARLES,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DIDOUT CHARLES,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,JOSEPH JEAN,12/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,JULIEN LABRUYERE DELPHINE,05/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,JULIEN LABRUYERE DELPHINE,27/05/2014,Repas,€43,,
Bayer HealthCare SAS,Médecin,DELAPORTE CARINE,17/12/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,DIDOUT CHARLES,29/11/2013,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,DIDOUT CHARLES,13/03/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,JOSEPH JEAN,31/01/2014,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,JOSEPH JEAN,29/11/2013,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,JULIEN LABRUYERE DELPHINE,17/12/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,JULIEN LA BRUYERE DELPHINE,08/04/2014,Hospitalité,€28,,
BIOCODEX,Médecin,DELAPORTE CARINE,14/01/2014,REPAS,€36,,
BIOCODEX,Médecin,JULIEN LABRUYERE DELPHINE,14/01/2014,REPAS,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DIDOUT CHARLES,22/11/2013,HOSPITALITE,€28,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JOSEPH JEAN,12/11/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JOSEPH JEAN,22/11/2013,HOSPITALITE,€28,,
BOIRON,Médecin,DELAPORTE CARINE,13/05/2014,[REPAS],€27,,
BOIRON,Médecin,JULIEN LABRUYERE DELPHINE,13/05/2014,[REPAS],€27,,
BOIRON,Pharmacien,ADAM-DAVID HELENE,13/05/2014,[REPAS],€26,,
BOIRON,Pharmacien,BRUNEAU BEATRICE,13/05/2014,[REPAS],€26,,
BOIRON,Pharmacien,TIMSIT NATACHA,13/05/2014,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOZIC ALICIA,13/05/2014,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUTERTRE AUDREY,13/05/2014,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GASSER EMILIE,13/05/2014,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,YALGIN CELIA,13/05/2014,[REPAS],€26,,
BRISTOL-MYERS SQUIBB,Médecin,DIDOUT CHARLES,14/03/2014,Repas,€38,,
BRISTOL-MYERS SQUIBB,Médecin,DIDOUT CHARLES,10/10/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DIDOUT CHARLES,13/09/2013,Repas,€29,,
CHIESI SA,Médecin,DIDOUT CHARLES,22/10/2013,Repas,€53,,
CHIESI SA,Médecin,DIDOUT CHARLES,28/02/2014,Repas,€29,,
CHIESI SA,Médecin,DIDOUT CHARLES,15/11/2013,Repas,€42,,
CHIESI SA,Médecin,DIDOUT CHARLES,20/06/2014,Repas,€37,,
CHIESI SA,Médecin,JOSEPH JEAN,22/10/2013,Repas,€53,,
CHIESI SA,Médecin,JOSEPH JEAN,19/03/2014,Repas,€53,,
CHIESI SA,Médecin,JOSEPH JEAN,20/06/2014,Repas,€37,,
CHIESI SA,Médecin,JOSEPH JEAN,15/11/2013,Repas,€42,,
DAIICHI SANKYO FRANCE SAS,Médecin,DIDOUT CHARLES,18/10/2013,Repas,€37,,
DAIICHI SANKYO FRANCE SAS,Médecin,DIDOUT CHARLES,12/10/2013,Hospitalité,€132,,
DAIICHI SANKYO FRANCE SAS,Médecin,DIDOUT CHARLES,12/10/2013,Repas,€113,,
Essilor,Opticien-lunetier,Lepape Charlene,15/07/2013,Invitation à déjeuner / dîner,€12,,
GE Medical Systems SCS,Médecin,HAS HABIB,03/12/2013,REPAS PROFESSIONNEL,€22,,
GE Medical Systems SCS,Médecin,LECHANTEUX KIM,03/12/2013,REPAS PROFESSIONNEL,€22,,
ICOMED,Médecin,DELAPORTE CARINE,16/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DELAPORTE CARINE,06/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,DIDOUT CHARLES,05/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DIDOUT CHARLES,13/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,JULIEN LABRUYERE DELPHINE,22/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,JULIEN LABRUYERE DELPHINE,07/01/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,DIDOUT CHARLES,24/01/2014,REPAS,€25,,
IPSEN PHARMA,Médecin,DIDOUT CHARLES,25/03/2014,REPAS,€64,,
IPSEN PHARMA,Médecin,JOSEPH JEAN,25/03/2014,REPAS,€64,,
IPSEN PHARMA,Médecin,JOSEPH JEAN,24/01/2014,REPAS,€25,,
IPSEN PHARMA,Médecin,SAN JUAN PHILIPPE,24/05/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,SAN JUAN PHILIPPE,24/05/2014,REPAS,€34,,
IPSEN PHARMA,Médecin,SAN JUAN PHILIPPE,24/05/2014,HEBERGEMENT,€152,,
JANSSEN-CILAG,Médecin,DELAPORTE CARINE,26/03/2013,REPAS,€46,,
JANSSEN-CILAG,Médecin,JULIEN LABRUYERE DELPHINE,26/03/2013,REPAS,€46,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,BROCHU MARCEL,23/07/2013,Autre,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAPORTE CARINE,04/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAPORTE CARINE,03/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIDOUT CHARLES,03/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIDOUT CHARLES,25/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIDOUT CHARLES,23/03/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIDOUT CHARLES,13/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIDOUT CHARLES,24/05/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOSEPH JEAN,23/03/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOSEPH JEAN,24/05/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOSEPH JEAN,12/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIEN LABRUYERE DELPHINE,28/01/2014,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIEN LABRUYERE DELPHINE,03/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIEN LABRUYERE DELPHINE,15/03/2012,Inscription,€90,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIEN LABRUYERE DELPHINE,06/12/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIEN LABRUYERE DELPHINE,03/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIEN LABRUYERE DELPHINE,04/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIEN LABRUYERE DELPHINE,28/01/2014,REPAS,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,JOSEPH JEAN,17/10/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,JOSEPH JEAN,16/01/2014,Repas,€60,,
LEO Pharma,Médecin,DIDOUT CHARLES,20/12/2013,REPAS,€31,,
LEO Pharma,Médecin,JOSEPH JEAN,20/12/2013,REPAS,€31,,
LES LABORATOIRES SERVIER,Médecin,DELAPORTE CARINE,24/09/2013,Repas,€24,,
LES LABORATOIRES SERVIER,Médecin,DIDOUT CHARLES,04/04/2014,Repas,€35,,
LES LABORATOIRES SERVIER,Médecin,DIDOUT CHARLES,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,DIDOUT CHARLES,30/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DIDOUT CHARLES,06/06/2014,Repas,€37,,
LES LABORATOIRES SERVIER,Médecin,DIDOUT CHARLES,19/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DIDOUT CHARLES,19/07/2013,Repas,€29,,
LES LABORATOIRES SERVIER,Médecin,HENRY LAMOULLER ALEXANDRINE,08/10/2013,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,06/06/2014,Repas,€37,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,04/04/2014,Repas,€35,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,21/02/2014,Repas,€71,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,04/04/2014,Repas,€35,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,30/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,21/02/2014,Transport,€737,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,21/02/2014,Hébergement,€210,,
LES LABORATOIRES SERVIER,Médecin,JOSEPH JEAN,06/06/2014,Repas,€37,,
LES LABORATOIRES SERVIER,Médecin,JULIEN-LABRUYERE DELPHINE,19/11/2013,Repas,€30,,
LES LABORATOIRES SERVIER,Médecin,JULIEN-LABRUYERE DELPHINE,24/09/2013,Repas,€24,,
MENARINI FRANCE,Médecin,DELAPORTE CARINE,11/02/2014,Autre : [Restauration],€50,,
MENARINI FRANCE,Médecin,JULIEN LABRUYERE DELPHINE,11/02/2014,Autre : [Restauration],€50,,
MSD France,Médecin,DELAPORTE CARINE,05/06/2012,REPAS,€34,,
MSD France,Médecin,DELAPORTE CARINE,26/11/2013,REPAS,€35,,
MSD France,Médecin,DELAPORTE CARINE,03/06/2014,REPAS,€60,,
MSD France,Médecin,DELAPORTE CARINE,15/10/2013,REPAS,€50,,
MSD France,Médecin,DELAPORTE CARINE,15/10/2013,REPAS,€44,,
MSD France,Médecin,DIDOUT CHARLES,19/04/2012,REPAS,€55,,
MSD France,Médecin,DIDOUT CHARLES,29/11/2012,HOSPITALITE,€55,,
MSD France,Médecin,DIDOUT CHARLES,29/08/2013,REPAS,€55,,
MSD France,Médecin,DIDOUT CHARLES,09/03/2012,HOSPITALITE,€32,,
MSD France,Médecin,DIDOUT CHARLES,29/08/2013,REPAS,€55,,
MSD France,Médecin,DIDOUT CHARLES,03/06/2013,REPAS,€31,,
MSD France,Médecin,DIDOUT CHARLES,16/11/2012,REPAS,€31,,
MSD France,Médecin,DIDOUT CHARLES,12/07/2012,REPAS,€40,,
MSD France,Médecin,DIDOUT CHARLES,19/04/2012,REPAS,€55,,
MSD France,Médecin,DIDOUT CHARLES,09/03/2012,HOSPITALITE,€32,,
MSD France,Médecin,DIDOUT CHARLES,29/11/2012,HOSPITALITE,€55,,
MSD France,Médecin,DUMEIGE JEAN PIERRE,05/04/2012,HOSPITALITE,€50,,
