ALAIR & AVD,Etablissement de santé,H.A.D.,11/12/2013,CADEAUX,€28,,
ALLERGAN FRANCE,Médecin,BERNIKIER DAVID,17/10/2013,REPAS,€40,,
ASTELLAS PHARMA,Médecin,DEPRET BIXIO GERARD,06/03/2013,REPAS,€39,,
ASTRAZENECA,Infirmier,AUGUSTE CECILE,11/10/2013,Repas,€20,,
ASTRAZENECA,Médecin,BERNIKIER DAVID,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,COQUILLAUD BRUNO,31/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,DEPRET BIXIO GERARD,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAUDILLERE ERIC,31/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,GUEMARD JOUSSAIN ISABELLE,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GUEMARD JOUSSAIN ISABELLE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUEMARD JOUSSAIN ISABELLE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUEMARD JOUSSAIN ISABELLE,11/10/2013,Repas,€20,,
ASTRAZENECA,Médecin,HURON LE VEVE MYRIAM,11/10/2013,Repas,€20,,
ASTRAZENECA,Médecin,MEKHICHE FATEH,11/10/2013,Repas,€20,,
ASTRAZENECA,Médecin,PACAUD VINCENT,31/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,TRUCHASSOU MICHEL,26/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,VERGNENEGRE FRANCOISE,11/10/2013,Repas,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,COQUILLAUD BRUNO,01/06/2013,HOSPITALITE,€257,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GAUDILLERE ERIC,01/06/2013,HOSPITALITE,€257,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LABOURET EMILIE,27/03/2013,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Médecin,VERGNENEGRE FRANCOISE,19/12/2013,HOSPITALITE,€35,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GESLIN SYLVIE,18/11/2013,[REPAS],€16,,
BRISTOL-MYERS SQUIBB,Médecin,DEPRET BIXIO GERARD,26/06/2014,Repas,€54,,
BRISTOL-MYERS SQUIBB,Médecin,DEPRET BIXIO GERARD,11/12/2013,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,DEPRET BIXIO GERARD,19/06/2014,Repas,€60,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,GUIZIER DÉBORAH,10/02/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,MARIAUD NATHALIE,10/02/2014,REPAS,€25,,
ICOMED,Chirurgien-dentiste,DUBREUILH BERNARD,02/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,DUBREUILH BERNARD,18/04/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MAGNONNEAU GERARD,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MARTIN STEPHANE,18/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,MARTIN STEPHANE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BERNIKIER DAVID,16/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERNIKIER DAVID,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DEPRET BIXIO GERARD,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DEPRET BIXIO GERARD,03/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,GAUDILLERE ERIC,07/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,LAUXIRE NICOLE,04/12/2013,Autre: [Enquête],€28,,
JANSSEN-CILAG,Infirmier,DURAND JEAN LIONEL,17/10/2013,REPAS,€53,,
JANSSEN-CILAG,Infirmier,JONQUET JESSICA,17/10/2013,REPAS,€53,,
JANSSEN-CILAG,Infirmier,ROUX SOPHIE,17/10/2013,REPAS,€53,,
JANSSEN-CILAG,Infirmier,VALLAT KARINE,17/10/2013,REPAS,€53,,
JANSSEN-CILAG,Médecin,GIRONEAU JEAN YVES,20/05/2014,REPAS,€55,,
JANSSEN-CILAG,Médecin,TRUCHASSOU MICHEL,06/02/2014,REPAS,€54,,
