ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TATTU CHARLOTTE,10/04/2014,REPAS,€40,,
AbbVie,Médecin,STUDER JEAN MARIE,10/04/2014,REPAS,€58,,
AbbVie,Médecin,TURBERGUE HENRI,27/03/2014,REPAS,€42,,
ALFA WASSERMANN PHARMA,Médecin,PLUMEY ERIC,02/07/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,PLENEY MARTINE,17/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,PLENEY MARTINE,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,PLENEY MARTINE,01/04/2014,REPAS,€60,,
Amplifon Groupe France,Médecin,LOUVET GERARD,10/02/2014,REPAS,€22,,
ASTELLAS PHARMA,Médecin,BOTELLA HENRI PIERRE,27/03/2014,REPAS,€42,,
ASTELLAS PHARMA,Médecin,BOTELLA HENRI PIERRE,27/03/2014,REPAS,€47,,
ASTELLAS PHARMA,Médecin,BOTELLA HENRI PIERRE,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,BOTELLA HENRI PIERRE,04/04/2013,REPAS,€47,,
ASTELLAS PHARMA,Médecin,BOTELLA HENRI PIERRE,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,BOURGOGNE ERIC,27/03/2014,REPAS,€42,,
ASTELLAS PHARMA,Médecin,BOURGOGNE ERIC,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,BOURGOGNE ERIC,20/06/2013,REPAS,€47,,
ASTELLAS PHARMA,Médecin,BOURGOGNE ERIC,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,BOURGOGNE ERIC,27/03/2014,REPAS,€47,,
ASTELLAS PHARMA,Médecin,DESBIEZ PHILIPPE,27/03/2014,REPAS,€42,,
ASTELLAS PHARMA,Médecin,DESBIEZ PHILIPPE,27/03/2014,REPAS,€47,,
ASTELLAS PHARMA,Médecin,DESBIEZ PHILIPPE,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,DESBIEZ PHILIPPE,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,DESBIEZ PHILIPPE,04/04/2013,REPAS,€47,,
ASTELLAS PHARMA,Médecin,PALAMARCZUK JEAN CLAUDE,27/03/2014,REPAS,€47,,
ASTELLAS PHARMA,Médecin,PALAMARCZUK JEAN CLAUDE,20/06/2013,REPAS,€47,,
ASTELLAS PHARMA,Médecin,PALAMARCZUK JEAN CLAUDE,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,PALAMARCZUK JEAN CLAUDE,27/03/2014,REPAS,€42,,
ASTELLAS PHARMA,Médecin,PALAMARCZUK JEAN CLAUDE,12/06/2014,REPAS,€41,,
ASTELLAS PHARMA,Médecin,PLUMEY ERIC,30/05/2013,REPAS,€48,,
ASTELLAS PHARMA,Médecin,PLUMEY ERIC,20/03/2014,REPAS,€39,,
ASTELLAS PHARMA,Médecin,TURBERGUE HENRI,10/06/2014,REPAS,€45,,
ASTELLAS PHARMA,Médecin,TURBERGUE HENRI,22/05/2014,REPAS,€32,,
ASTRAZENECA,Médecin,BOURGOGNE ERIC,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOURGOGNE ERIC,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DAHMANI NASROUDIN,15/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,DAHMANI NASROUDIN,20/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,DESBIEZ PHILIPPE,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DESBIEZ PHILIPPE,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PLUMEY ERIC,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,PLUMEY ERIC,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PLUMEY ERIC,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,PLUMEY ERIC,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,PLUMEY ERIC,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROLLAND BROZZETTI BEATRICE,13/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,29/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,TURBERGUE HENRI,15/04/2014,Repas,€57,,
Bayer HealthCare SAS,Infirmier,DIMAIO LARESCHE CATHERINE,21/11/2013,Hospitalité,€58,,
Bayer HealthCare SAS,Médecin,BOTELLA HENRI PIERRE,17/10/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,BOTELLA HENRI PIERRE,12/09/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,BOURGOGNE ERIC,17/10/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,BOURGOGNE ERIC,12/09/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,DESBIEZ PHILIPPE,17/10/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,PALAMARCZUK JEAN CLAUDE,17/10/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,PALAMARCZUK JEAN CLAUDE,17/10/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,VIDONNE ANNE MARIE,14/03/2014,Hospitalité,€34,,
