ARROW GENERIQUES SAS,Pharmacien,ANGE MARIE CLAUDE,24/04/2014,REPAS,€10,,
ASTRAZENECA,Médecin,WINGER JEAN MARC,05/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,WINGER JEAN MARC,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,WINGER JEAN MARC,03/12/2013,Repas,€57,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE ANGE,08/01/2014,CADEAUX,€12,,
LUNDBECK SAS,Médecin,WINGER JEAN MARC,20/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€13,,
LUNDBECK SAS,Médecin,WINGER JEAN MARC,12/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€12,,
MSD France,Médecin,WINGER JEAN MARC,03/04/2014,REPAS,€37,,
NOVARTIS PHARMA SAS,Médecin,WINGER JEAN MARC,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,WINGER JEAN MARC,17/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,WINGER JEAN MARC,26/05/2014,Repas,€12,,
NOVARTIS PHARMA SAS,Médecin,WINGER JEAN MARC,06/01/2014,Repas,€12,,
