ASPEN FRANCE,Médecin,CONVERSAT Céline,23/05/2014,Repas,€20,,
ASTELLAS PHARMA,Médecin,BONNOT PHILIPPE,15/04/2014,REPAS,€24,,
ASTELLAS PHARMA,Médecin,CABOURDIN PHILIPPE,15/04/2014,REPAS,€24,,
ASTELLAS PHARMA,Médecin,MANTELET HERVE,15/04/2014,REPAS,€24,,
ASTELLAS PHARMA,Médecin,MULLER JEAN MICHEL,15/04/2014,REPAS,€24,,
ASTELLAS PHARMA,Médecin,POUCHARD LAURENT,15/04/2014,REPAS,€24,,
ASTELLAS PHARMA,Médecin,SOMMER VALERIE,15/04/2014,REPAS,€24,,
ASTELLAS PHARMA,Médecin,TUCKI ARDOUIN VERONIQUE,15/04/2014,REPAS,€24,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LUCET ALAIN,17/05/2014,Transport,€194,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,LUCET ALAIN,17/05/2014,Hotel / Hébergement,€150,,
ASTRAZENECA,Médecin,BONNOT PHILIPPE,11/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BONNOT PHILIPPE,26/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BONNOT PHILIPPE,16/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,BONNOT PHILIPPE,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CABOURDIN PHILIPPE,16/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,CABOURDIN PHILIPPE,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MANTELET HERVE,17/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MANTELET HERVE,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MULLER JEAN MICHEL,17/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MULLER JEAN MICHEL,16/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,MULLER JEAN MICHEL,16/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,POUCHARD LAURENT,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,POUCHARD LAURENT,16/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,SOMMER VALERIE,16/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,SOMMER VALERIE,11/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,SOMMER VALERIE,26/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TUCKI ARDOUIN VERONIQUE,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,TUCKI ARDOUIN VERONIQUE,17/12/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,BONNOT PHILIPPE,12/12/2013,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,CABOURDIN PHILIPPE,12/12/2013,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,NORDEY BERARD MARIE,12/12/2013,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,SOMMER VALERIE,12/12/2013,Hospitalité,€26,,
Bayer HealthCare SAS,Pharmacien,BARRIERE CHARLES,05/06/2014,Hospitalité,€33,,
Bayer HealthCare SAS,Pharmacien,DECRESSAL MURIEL,05/06/2014,Hospitalité,€33,,
BIOCODEX,Médecin,SOMMER VALERIE,05/11/2013,REPAS,€55,,
BIOCODEX,Médecin,SOMMER VALERIE,18/03/2014,REPAS,€59,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BONNOT PHILIPPE,07/11/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BONNOT PHILIPPE,17/04/2014,HOSPITALITE,€25,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CABOURDIN PHILIPPE,07/11/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CABOURDIN PHILIPPE,17/04/2014,HOSPITALITE,€25,,
BOEHRINGER INGELHEIM FRANCE,Médecin,NORDEY BERARD MARIE,07/11/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,POUCHARD LAURENT,17/04/2014,HOSPITALITE,€25,,
BOEHRINGER INGELHEIM FRANCE,Médecin,POUCHARD LAURENT,07/11/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SOMMER VALERIE,17/04/2014,HOSPITALITE,€25,,
BRISTOL-MYERS SQUIBB,Médecin,BONNOT PHILIPPE,03/10/2013,Repas,€28,,
BRISTOL-MYERS SQUIBB,Médecin,BONNOT PHILIPPE,20/02/2014,Repas,€38,,
