CONGRES COLLOQUES CONVENTIONS,Médecin,MANIERE BERNARD,30/11/2013,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,PAILHOUS JEAN LOUIS,06/11/2013,Repas,€54,,
DAIICHI SANKYO FRANCE SAS,Médecin,PAILHOUS MEILHON SYLVIE,06/11/2013,Repas,€54,,
ICOMED,Médecin,FOULON PATRICE,17/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,FOULON PATRICE,27/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MANIERE BERNARD,07/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,MANIERE BERNARD,21/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PAILHOUS JEAN LOUIS,19/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PAILHOUS JEAN LOUIS,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,PAILHOUS MEILHON SYLVIE,17/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,PAILHOUS MEILHON SYLVIE,23/01/2013,Autre: [Enquête],€32,,
MEDEXACT,Médecin,PAILHOUS MEILHON SYLVIE,21/05/2013,Autre: [Enquête],€19,,
MENARINI FRANCE,Médecin,PAILHOUS JEAN LOUIS,05/12/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,PAILHOUS MEILHON SYLVIE,05/12/2013,AUTRE : RNT,€58,,
