3M France,Pharmacien,RAVENEAU EDDY,26/03/2014,REPAS,€36,,
ABBOTT FRANCE,Médecin,KERN CHRISTIAN,12/02/2014,REPAS,€26,,
ABBOTT FRANCE,Pharmacien,GOFFART MARC,12/02/2014,REPAS,€26,,
ABBOTT FRANCE,Pharmacien,MERINO DELPHINE,12/02/2014,REPAS,€26,,
ABBOTT PRODUCTS SAS,Médecin,ASSAF William,11/10/2013,REPAS,€65,,
ABBOTT PRODUCTS SAS,Médecin,ASSAF William,11/12/2013,TRANSPORT,€44,,
ABBOTT PRODUCTS SAS,Médecin,ASSAF William,11/12/2013,TRANSPORT,€243,,
ABBOTT PRODUCTS SAS,Médecin,ASSAF William,12/10/2013,REPAS,€67,,
ABBOTT PRODUCTS SAS,Médecin,ASSAF William,11/12/2013,HEBERGEMENT,€146,,
ABBOTT PRODUCTS SAS,Médecin,FORTUNE GERARD,22/01/2014,REPAS,€56,,
ABBOTT PRODUCTS SAS,Médecin,GADENNE GERARD,22/01/2014,REPAS,€56,,
ABBOTT PRODUCTS SAS,Médecin,KOHLER HERVE,22/01/2014,REPAS,€56,,
ABBOTT PRODUCTS SAS,Médecin,MERY JEAN DOMINIQUE,22/01/2014,REPAS,€56,,
ABBOTT PRODUCTS SAS,Médecin,REBEYROL SERGE,22/01/2014,REPAS,€56,,
ABBOTT PRODUCTS SAS,Médecin,ROYER BERNARD,22/01/2014,REPAS,€56,,
ABBOTT PRODUCTS SAS,Médecin,XAVIER PATRICK,22/01/2014,REPAS,€56,,
AbbVie,Médecin,ANGALA NGAPORO RENE CESAR,13/03/2014,REPAS,€59,,
AbbVie,Médecin,BOURZAT SANDRINE,06/11/2013,Repas,€37,,
AbbVie,Médecin,BOURZAT SANDRINE,26/02/2014,REPAS,€39,,
AbbVie,Médecin,BOURZAT SANDRINE,13/03/2014,REPAS,€59,,
AbbVie,Médecin,CHEVRIER CATHERINE,27/11/2013,Repas,€55,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,REPAS,€54,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,AUTRE: [INSCRIPTION],€700,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,HÉBERGEMENT,€180,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,HÉBERGEMENT,€180,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,Transport,€271,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,HÉBERGEMENT,€180,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,REPAS,€54,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,REPAS,€54,,
AbbVie,Médecin,DUBOIS BRONNIMANN ANNE,12/06/2013,Transport,€51,,
AbbVie,Médecin,ESPINASSOUZE FRANCOIS,27/11/2013,Repas,€55,,
AbbVie,Médecin,LAMBER DE CURSAY GRÉGOIRE,23/01/2014,REPAS,€33,,
AbbVie,Médecin,LAOKPESSI AKLESSO,15/11/2013,TRANSPORT,€200,,
AbbVie,Médecin,LAOKPESSI AKLESSO,15/11/2013,HÉBERGEMENT,€195,,
AbbVie,Médecin,LAOKPESSI AKLESSO,13/11/2013,HÉBERGEMENT,€195,,
AbbVie,Médecin,LAOKPESSI AKLESSO,15/11/2013,AUTRE: [PARKING],€40,,
AbbVie,Médecin,LAOKPESSI AKLESSO,15/11/2013,AUTRE: [PARKING],€39,,
AbbVie,Médecin,LAOKPESSI AKLESSO,14/11/2013,AUTRE: [PARKING],€40,,
AbbVie,Médecin,LAOKPESSI AKLESSO,14/11/2013,HÉBERGEMENT,€195,,
AbbVie,Médecin,LAOKPESSI AKLESSO,14/11/2013,REPAS,€45,,
AbbVie,Médecin,LAPLANE BERTRAND,24/01/2014,TRANSPORT,€169,,
AbbVie,Médecin,LAPLANE BERTRAND,24/01/2014,INSCRIPTION,€165,,
AbbVie,Médecin,LAPLANE BERTRAND,21/10/2013,Repas,€17,,
AbbVie,Médecin,LAPUYADE GERARD,18/01/2014,REPAS,€60,,
AbbVie,Médecin,LAPUYADE GERARD,17/01/2014,HEBERGEMENT,€140,,
AbbVie,Médecin,LAPUYADE GERARD,17/01/2014,REPAS,€51,,
AbbVie,Médecin,LAPUYADE GERARD,17/01/2014,TRANSPORT,€150,,
AbbVie,Médecin,MAGHIA REMI,27/11/2013,Repas,€55,,
AbbVie,Médecin,MISSONNIER GILLES,13/03/2014,REPAS,€59,,
AbbVie,Médecin,POPA LUCIANA,17/01/2014,HEBERGEMENT,€140,,
AbbVie,Médecin,POPA LUCIANA,18/01/2014,REPAS,€60,,
AbbVie,Médecin,POPA LUCIANA,17/01/2014,REPAS,€51,,
AbbVie,Médecin,POPA LUCIANA,15/04/2014,REPAS,€11,,
ALAIR & AVD,Etablissement de santé,Centre Hospitalier  Brive,13/12/2013,CADEAUX,€28,,
ALAIR & AVD,Etablissement de santé,Centre Hospitalier  Brive,13/12/2013,CADEAUX,€28,,
ALAIR & AVD,Etablissement de santé,Relai Santé,13/12/2013,CADEAUX,€14,,
Alexion Pharma France,Médecin,BEAUCHAMP CHRISTINE,28/11/2013,TRANSPORT,€572,,
Alexion Pharma France,Médecin,BEAUCHAMP CHRISTINE,28/11/2013,REPAS,€67,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,21/01/2014,Autre : [Restauration],€15,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,09/06/2014,Autre : [Restauration],€26,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,23/06/2013,Autre : [Restauration],€25,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/06/2013,Transport,€616,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,21/01/2014,Autre : [Restauration],€15,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,13/06/2014,Autre : [Restauration],€19,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,17/04/2013,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,24/02/2013,AUTRE : [RESTAURATION],€15,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/02/2013,AUTRE : [INSCRIPTION],€616,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/02/2013,HEBERGEMENT,€996,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,17/04/2013,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,09/06/2014,Autre : [Restauration],€26,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,10/02/2014,Autre : [Restauration],€15,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,01/03/2013,AUTRE : [RESTAURATION],€19,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,22/02/2013,AUTRE : [RESTAURATION],€260,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,13/05/2014,Autre : [Restauration],€13,,
ALK-Abelló,Médecin,BENSLIMANE SAMIR,12/03/2013,AUTRE : [RESTAURATION],€28,,
