GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VERDAN MONIQUE,05/11/2013,Repas,€56,,
ICOMED,Médecin,LETORD ARMAND,08/04/2013,Autre: [Enquête],€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEJEAN CATHERINE,04/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEJEAN CATHERINE,13/03/2014,REPAS,€52,,
NOVARTIS PHARMA SAS,Médecin,DEJEAN CATHERINE,28/03/2014,Repas,€28,,
PFIZER SAS,Médecin,LETORD ARMAND,06/06/2013,Repas,€60,,
PFIZER SAS,Médecin,LETORD ARMAND,10/10/2013,Repas,€60,,
PIERRE FABRE MEDICAMENT,Médecin,DEJEAN CATHERINE,04/04/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,DEJEAN CATHERINE,19/06/2014,RESTAURATION,€41,,
PIERRE FABRE MEDICAMENT,Médecin,DEJEAN CATHERINE,11/04/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,LETORD ARMAND,25/04/2012,Restauration,€60,,
SANOFI AVENTIS FRANCE,Médecin,LETORD ARMAND,23/01/2014,Repas,€19,,
