Adept Field Solutions,Médecin,Gauliez Antoine,02/04/2014,INDEMNITE,€140,,
ALLERGAN FRANCE,Médecin,DUFOUR DORIDOT AGNES,15/10/2013,REPAS,€30,,
ANTHOGYR,Médecin,HASBROUCQ François,01/09/2012,Repas ou Hébèrgement,€24,,
ASTELLAS PHARMA,Médecin,COOREN GEOFFROY,19/06/2014,REPAS,€35,,
ASTELLAS PHARMA,Médecin,GHEYSENS PASCAL,16/07/2013,REPAS,€43,,
ASTELLAS PHARMA,Médecin,GHEYSENS PASCAL,22/04/2014,REPAS,€39,,
ASTELLAS PHARMA,Médecin,MARGUETTAZ PATRICE,29/03/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,MARGUETTAZ PATRICE,22/04/2014,REPAS,€39,,
ASTELLAS PHARMA,Médecin,MARGUETTAZ PATRICE,16/07/2013,REPAS,€43,,
ASTRAZENECA,Médecin,COOREN J CLAUDE,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GHEYSENS PASCAL,15/11/2013,Transport,€176,,
ASTRAZENECA,Médecin,GHEYSENS PASCAL,15/11/2013,Hébergement,€189,,
ASTRAZENECA,Médecin,GHEYSENS PASCAL,15/11/2013,Repas,€10,,
ASTRAZENECA,Médecin,GHEYSENS PASCAL,04/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,GHEYSENS PASCAL,03/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,GHEYSENS PASCAL,15/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,GHEYSENS PASCAL,16/11/2013,Autre,€98,,
ASTRAZENECA,Médecin,VELUT XAVIER,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,VELUT XAVIER,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,VELUT XAVIER,30/01/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,COOREN GEOFFROY,23/01/2014,Hospitalité,€58,,
Bayer HealthCare SAS,Médecin,COOREN GEOFFROY,27/03/2014,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,GHEYSENS PASCAL,19/11/2013,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,KACIAF CHANTAL,25/03/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,MARGUETTAZ PATRICE,14/03/2014,REPAS,€35,,
Bayer HealthCare SAS,Médecin,MARGUETTAZ PATRICE,19/11/2013,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,VELUT XAVIER,09/04/2014,Hospitalité,€60,,
