ABBOTT PRODUCTS SAS,Médecin,CLARIOND Yves,22/10/2013,REPAS,€40,,
CHIESI SA,Médecin,CLARIOND YVES,20/03/2014,Repas,€53,,
colgate palmolive,Chirurgien-dentiste,MEJEAN BRUNO,04/02/2014,Dons de materiel,€16,,
DAIICHI SANKYO FRANCE SAS,Médecin,BESSIERE DELEGLISE LAURE,05/11/2013,Repas,€39,,
DAIICHI SANKYO FRANCE SAS,Médecin,BESSIERE DELEGLISE LAURE,29/04/2014,Repas,€35,,
DAIICHI SANKYO FRANCE SAS,Médecin,BESSIERE DELEGLISE LAURE,06/06/2014,Repas,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,CLARIOND YVES,05/11/2013,Repas,€39,,
DAIICHI SANKYO FRANCE SAS,Médecin,DEVILLIERS CAROLE,05/11/2013,Repas,€39,,
DAIICHI SANKYO FRANCE SAS,Médecin,DEVILLIERS CAROLE,29/04/2014,Repas,€35,,
DAIICHI SANKYO FRANCE SAS,Médecin,LEVEQUE PIERRE,29/04/2014,Repas,€35,,
ETHICON,Pharmacien,ALIX STEPHANIE,15/11/2013,REPAS,€21,,
ICOMED,Chirurgien-dentiste,MEJEAN BRUNO,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,CLARIOND YVES,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CORBEAU ALAIN,18/12/2013,Autre: [Enquête],€30,,
LEO Pharma,Médecin,CLARIOND YVES,03/04/2014,REPAS,€60,,
LES LABORATOIRES SERVIER,Médecin,BESSIERE DELEGLISE LAURE,28/01/2014,Repas,€30,,
MENARINI FRANCE,Médecin,BESSIERRE LAURE,05/11/2013,REPAS,€35,,
MSD France,Médecin,CASTAGNINI ANDRE,13/04/2012,REPAS,€16,,
NOVARTIS PHARMA SAS,Médecin,BESSIERE DELEGLISE LAURE,09/08/2013,Repas,€24,,
NOVARTIS PHARMA SAS,Médecin,CASTAGNINI ANDRE,09/08/2013,Repas,€24,,
NOVARTIS PHARMA SAS,Médecin,DEVILLIERS CAROLE,09/08/2013,Repas,€24,,
PIERRE FABRE MEDICAMENT,Médecin,BESSIERE DELEGLISE LAURE,19/06/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,CASTAGNINI ANDRE,17/03/2014,RESTAURATION,€15,,
PIERRE FABRE MEDICAMENT,Médecin,CASTAGNINI ANDRE,12/04/2013,Restauration,€18,,
PIERRE FABRE MEDICAMENT,Médecin,CLARIOND YVES,20/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,CLARIOND YVES,23/05/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,CLARIOND YVES,16/05/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,DEVILLIERS CAROLE,19/06/2012,Restauration,€42,,
ROTTAPHARM SAS,Médecin,LAMY PATRICK,14/06/2013,SOIREE,€57,,
SANOFI AVENTIS FRANCE,Médecin,BESSIERE DELEGLISE LAURE,27/09/2013,Restauration,€11,,
SANOFI AVENTIS FRANCE,Médecin,CASTAGNINI ANDRE,27/09/2013,Restauration,€11,,
SANOFI AVENTIS FRANCE,Médecin,DEVILLIERS CAROLE,27/09/2013,Restauration,€11,,
SANOFI AVENTIS FRANCE,Médecin,DEVILLIERS CAROLE,12/02/2014,Repas,€19,,
