ABBOTT PRODUCTS SAS,Médecin,STEFFANN Laurent,05/12/2013,REPAS,€60,,
ASTRAZENECA,Médecin,STEFFANN LAURENT,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,STEFFANN LAURENT,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,STEFFANN LAURENT,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,STEFFANN LAURENT,11/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,STEFFANN LAURENT,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,STEFFANN LAURENT,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,STEFFANN LAURENT,13/02/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,STEFFANN LAURENT,28/02/2014,Hospitalité,€33,,
Bayer HealthCare SAS,Médecin,VERGIER NICOLAS,28/02/2014,Hospitalité,€33,,
CHIESI SA,Médecin,STEFFANN LAURENT,18/10/2013,Repas,€16,,
CHIESI SA,Médecin,VERGIER NICOLAS,18/10/2013,Repas,€16,,
DAIICHI SANKYO FRANCE SAS,Médecin,STEFFANN LAURENT,15/11/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,STEFFANN LAURENT,20/09/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,VERGIER NICOLAS,15/11/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,VERGIER NICOLAS,20/09/2013,Repas,€25,,
Essilor,Opticien-lunetier,MR Denis STAHL Denis,23/05/2013,Invitation a dejeuner ou diner,€31,,
Essilor,Opticien-lunetier,STAHL Denis,23/05/2013,Invitation a dejeuner ou diner,€31,,
Essilor,Opticien-lunetier,STAHL Mireille,23/05/2013,Invitation a dejeuner ou diner,€31,,
ICOMED,Médecin,STEFFANN LAURENT,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,STEFFANN LAURENT,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VERGIER NICOLAS,13/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VERGIER NICOLAS,21/03/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STEFFANN LAURENT,29/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STEFFANN LAURENT,21/02/2014,REPAS,€13,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STEFFANN LAURENT,28/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERGIER NICOLAS,21/02/2014,REPAS,€13,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE CASSAGNOU,18/12/2013,CADEAUX,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,STEFFANN LAURENT,29/08/2013,Repas,€56,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,STEFFANN LAURENT,06/09/2013,Repas,€20,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,VERGIER NICOLAS,06/09/2013,Repas,€20,,
LABORATOIRES CONVATEC,Infirmier,BICHEBOIS BRIGITTE,10/10/2013,DINER,€35,,
LABORATOIRES CONVATEC,Infirmier,GAMBELLIN CARMELA,10/10/2013,DINER,€35,,
LABORATOIRES CONVATEC,Infirmier,MATHIEU FRANCOISE,10/10/2013,DINER,€35,,
LABORATOIRES CONVATEC,Infirmier,SCHNEIDER ANNETTE,10/10/2013,DINER,€35,,
LES LABORATOIRES SERVIER,Médecin,STEFFANN LAURENT,13/03/2014,Repas,€60,,
MENARINI FRANCE,Médecin,STEFFANN LAURENT,08/11/2013,AUTRE : RNT,€21,,
MENARINI FRANCE,Médecin,STEFFANN LAURENT,20/02/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,STEFFANN LAURENT,10/10/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,VERGIER NICOLAS,08/11/2013,AUTRE : RNT,€21,,
MSD France,Médecin,STEFFANN LAURENT,14/06/2013,HOSPITALITÉ,€14,,
MSD France,Médecin,STEFFANN LAURENT,09/01/2014,REPAS,€55,,
MSD France,Médecin,STEFFANN LAURENT,28/03/2014,REPAS,€13,,
MSD France,Médecin,STEFFANN LAURENT,29/11/2013,REPAS,€15,,
MSD France,Médecin,STEFFANN LAURENT,04/10/2013,REPAS,€18,,
MSD France,Médecin,VERGIER NICOLAS,14/06/2013,HOSPITALITÉ,€14,,
MSD France,Médecin,VERGIER NICOLAS,29/11/2013,REPAS,€15,,
MSD France,Médecin,VERGIER NICOLAS,28/03/2014,REPAS,€13,,
MSD France,Médecin,VERGIER NICOLAS,04/10/2013,REPAS,€18,,
MUNDIPHARMA,Médecin,STEFFANN LAURENT,25/04/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
MUNDIPHARMA,Médecin,STEFFANN LAURENT,19/12/2013,HOSPITALITE,€55,,
MUNDIPHARMA,Médecin,STEFFANN LAURENT,18/04/2014,REPAS,€40,,
MUNDIPHARMA,Médecin,STEFFANN LAURENT,27/09/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,VERGIER NICOLAS,27/09/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,VERGIER NICOLAS,18/04/2014,REPAS,€40,,
NOVARTIS PHARMA SAS,Médecin,STEFFANN LAURENT,04/07/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,STEFFANN LAURENT,25/04/2014,Repas,€24,,
NOVARTIS PHARMA SAS,Médecin,STEFFANN LAURENT,12/07/2013,Repas,€22,,
NOVARTIS PHARMA SAS,Médecin,VERGIER NICOLAS,12/07/2013,Repas,€22,,
NOVARTIS PHARMA SAS,Médecin,VERGIER NICOLAS,25/04/2014,Repas,€24,,
NOVO NORDISK,Médecin,STEFFANN LAURENT,24/01/2014,REPAS,€18,,
NOVO NORDISK,Médecin,VERGIER NICOLAS,24/01/2014,REPAS,€18,,
PFIZER SAS,Médecin,STEFFANN LAURENT,04/04/2014,REPAS,€34,,
PFIZER SAS,Médecin,VERGIER NICOLAS,04/04/2014,REPAS,€34,,
PIERRE FABRE MEDICAMENT,Médecin,STEFFANN LAURENT,17/04/2014,RESTAURATION,€58,,
PIERRE FABRE MEDICAMENT,Médecin,VERGIER NICOLAS,17/04/2014,RESTAURATION,€58,,
SANOFI AVENTIS FRANCE,Médecin,JEANPIERRE EMMANUEL,15/04/2014,Repas,€22,,
SANOFI AVENTIS FRANCE,Médecin,JEANPIERRE EMMANUEL,20/05/2014,Repas,€27,,
SANOFI AVENTIS FRANCE,Médecin,JEANPIERRE EMMANUEL,18/03/2014,Repas,€31,,
SANOFI AVENTIS FRANCE,Médecin,JEANPIERRE EMMANUEL,17/06/2014,Repas,€21,,
SANOFI AVENTIS FRANCE,Médecin,JEANPIERRE EMMANUEL,19/11/2013,Restauration,€28,,
SANOFI PASTEUR MSD SNC,Médecin,STEFFANN LAURENT,17/01/2014,Repas,€28,,
SANOFI PASTEUR MSD SNC,Médecin,VERGIER NICOLAS,17/01/2014,Repas,€28,,
Straumann France,Chirurgien-dentiste,TRITARELLI STEPHANIE,24/09/2013,Repas,€25,,
TEVA SANTE SAS,Médecin,STEFFANN LAURENT,27/06/2014,REPAS,€21,,
TEVA SANTE SAS,Médecin,STEFFANN LAURENT,07/02/2014,REPAS,€16,,
TEVA SANTE SAS,Médecin,STEFFANN LAURENT,03/10/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,VERGIER NICOLAS,07/02/2014,REPAS,€16,,
TEVA SANTE SAS,Médecin,VERGIER NICOLAS,27/06/2014,REPAS,€21,,
TEVA SANTE SAS,Pharmacien,CASSAGNOU BENEDICTE,04/12/2013,REPAS,€16,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SIMON DELPHINE,04/12/2013,REPAS,€16,,
Weleda S.A.,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOFFY Sophie,15/05/2014,Repas,€25,,
