ABBOTT PRODUCTS SAS,Médecin,TRAN Jean philippe,19/11/2013,REPAS,€60,,
AbbVie,Médecin,KERNEVEZ PATRICK,10/04/2014,REPAS,€60,,
AbbVie,Médecin,KERNEVEZ PATRICK,16/05/2014,REPAS,€15,,
AbbVie,Médecin,LE MEUNIER JEAN MICHEL,10/04/2014,REPAS,€60,,
AbbVie,Médecin,VERDURON ALAIN,16/05/2014,REPAS,€15,,
ALK-Abelló,Médecin,DERHI GATY,06/06/2013,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,KOSTER VIDAL MONIQUE,24/03/2014,Autre : [Restauration],€56,,
ALK-Abelló,Médecin,KOSTER VIDAL MONIQUE,22/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,KOSTER VIDAL MONIQUE,25/07/2013,AUTRE : [RESTAURATION],€30,,
ALK-Abelló,Médecin,PINARD DOMINIQUE,16/10/2013,AUTRE : [RESTAURATION],€60,,
ALLERGAN FRANCE,Médecin,BENZACKEN LAURENT,03/04/2014,REPAS,€19,,
Amplifon Groupe France,Médecin,BEAL LEFEVRE CATHERINE,16/05/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€1,088",,
Amplifon Groupe France,Médecin,BEAL LEFEVRE CATHERINE,19/05/2014,REPAS,€16,,
Amplifon Groupe France,Médecin,PINARD DOMINIQUE,05/04/2014,REPAS,€60,,
Amplifon Groupe France,Médecin,PINARD DOMINIQUE,27/06/2014,REPAS,€60,,
Amplifon Groupe France,Médecin,PINARD DOMINIQUE,28/05/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€2,772",,
Amplifon Groupe France,Médecin,PINARD DOMINIQUE,24/05/2014,REPAS,€60,,
Amplifon Groupe France,Médecin,PINARD Dominique,16/11/2013,Repas,€60,,
Amplifon Groupe France,Médecin,PINARD DOMINIQUE,21/06/2014,REPAS,€60,,
Amplifon Groupe France,Médecin,VAUDOUR BRESSON Francoise,14/09/2013,Repas,€60,,
Amplifon Groupe France,Médecin,VAUDOUR BRESSON Francoise,14/09/2013,Repas,€60,,
APTALIS PHARMA SAS,Médecin,BURCKLE NOEL,07/04/2014,FRAIS D'HOSPITALIT,€18,,
APTALIS PHARMA SAS,Médecin,LE MEUNIER JEAN MICHEL,26/11/2013,FRAIS D'HOSPITALITÉ,€14,,
ARCHIMEDES PHARMA France,Médecin,MANSOUR JEAN PIERRE,16/07/2013,Repas,€18,,
