ALLERGAN FRANCE,Médecin,LOTIRON PHILIPPE,24/06/2014,REPAS,€32,,
DAIICHI SANKYO FRANCE SAS,Médecin,TERDIMAN FRANK,10/04/2014,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,TERDIMAN FRANK,14/05/2014,Repas,€40,,
ICOMED,Chirurgien-dentiste,DUBOURG JEAN FRANCOIS,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BAUD JEAN PIERRE,08/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GARDON MOLLARD CHRISTIAN,25/06/2014,Autre: [Enquête],€13,,
ICOMED,Médecin,VIGIER MARIA,06/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,VIGIER MARIA,12/03/2013,Autre: [Enquête],€26,,
Laboratoires Grünenthal SAS,Médecin,JUVEN PATRICK,20/03/2014,REPAS,€50,,
LION / SENECA FRANCE AUDIO,Médecin,LEVENEZ JEAN FRANCOIS,01/12/2013,CADEAUX,€17,,
MSD France,Médecin,VIGIER MARIA,13/06/2013,REPAS,€29,,
NOVARTIS PHARMA SAS,Médecin,JUVEN PATRICK,15/05/2014,Autre : [Participation Evenement Scientifique],€50,,
SANOFI AVENTIS FRANCE,Etudiant,TOUZE AMELIE,24/06/2014,Repas,€16,,
SANOFI AVENTIS FRANCE,Etudiant,TOUZE AMELIE,19/06/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,BARJAUD MARCEL,05/06/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,BARJAUD MARCEL,05/12/2013,Restauration,€51,,
SANOFI AVENTIS FRANCE,Médecin,BARJAUD MARCEL,16/05/2014,Repas,€10,,
SANOFI AVENTIS FRANCE,Médecin,JUVEN PATRICK,06/03/2014,Repas,€45,,
SANOFI AVENTIS FRANCE,Médecin,JUVEN PATRICK,05/06/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,VIGIER MARIA,05/12/2013,Restauration,€51,,
SANOFI AVENTIS FRANCE,Pharmacien,SALAT MATTHIEU,04/03/2014,Repas,€44,,
