ARROW GENERIQUES SAS,Pharmacien,VOILQUE ANNE,24/04/2014,REPAS,€10,,
ASTRAZENECA,Médecin,CART PHILIPPE,21/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CART PHILIPPE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CART PHILIPPE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,CART PHILIPPE,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,CART PHILIPPE,20/02/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,SEBBAK RICHARD,08/10/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,THIRION ALINE,08/10/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,LODOVICHETTI PASCALE,03/04/2014,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,LODOVICHETTI THIERRY,03/04/2014,Hospitalité,€21,,
DAIICHI SANKYO FRANCE SAS,Médecin,CART PHILIPPE,04/07/2013,Repas,€58,,
ICOMED,Médecin,CART PHILIPPE,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TRAN PHAT MAURICE,29/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TRAN PHAT MAURICE,17/01/2013,Autre: [Enquête],€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CART PHILIPPE,03/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CART PHILIPPE,24/10/2013,REPAS,€28,,
Laboratoires Grünenthal SAS,Médecin,CART PHILIPPE,28/02/2014,REPAS,€32,,
MSD France,Médecin,CART PHILIPPE,10/10/2013,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,CART PHILIPPE,17/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
SANOFI AVENTIS FRANCE,Médecin,CART PHILIPPE,05/06/2014,Repas,€23,,
