DAIICHI SANKYO FRANCE SAS,Médecin,VINCENSINI PHILIPPE,21/11/2013,Repas,€25,,
ICOMED,Médecin,VINCENSINI PHILIPPE,19/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VINCENSINI PHILIPPE,07/02/2013,Autre: [Enquête],€29,,
MSD France,Médecin,BOUQUET DES CHAUX ALIX,05/11/2013,REPAS,€60,,
MSD France,Médecin,VINCENSINI PHILIPPE,12/04/2014,REPAS,€60,,
MSD France,Médecin,VINCENSINI PHILIPPE,11/04/2014,TRANSPORT,€401,,
MSD France,Médecin,VINCENSINI PHILIPPE,20/02/2014,REPAS,€50,,
MSD France,Médecin,VINCENSINI PHILIPPE,17/04/2014,REPAS,€66,,
MSD France,Médecin,VINCENSINI PHILIPPE,11/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,VINCENSINI PHILIPPE,12/04/2014,REPAS,€40,,
MSD France,Médecin,VINCENSINI PHILIPPE,11/04/2014,REPAS,€40,,
