ASTRAZENECA,Médecin,LAMAZOU JEAN PIERRE,01/04/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,MEYSSIREL FREDERIC,13/05/2014,Repas,€34,,
BRISTOL-MYERS SQUIBB,Médecin,MEYSSIREL FREDERIC,06/11/2013,Repas,€35,,
ICOMED,Chirurgien-dentiste,WALTER ANTHONY JOHN,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,DE MARIA GEORGES,27/11/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,LEONCINI ALAIN,11/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,MEYSSIREL FREDERIC,06/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,MEYSSIREL FREDERIC,25/04/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,DARTIGUES DUVIN CHRISTINE,30/08/2013,Autre: [Enquête],€11,,
ICOMED,Pharmacien,DULUCQ FANNY,03/06/2014,Autre: [Enquête],€25,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DARTIGUES ET DUVIN,13/12/2013,CADEAUX,€12,,
LABORATOIRES COLOPLAST,Infirmier,CARRERE MARIE CLAUDE,26/02/2014,Repas,€14,,
LABORATOIRES COLOPLAST,Infirmier,CAZANAVE PIN CAROLE,30/09/2013,Repas,€26,,
LABORATOIRES COLOPLAST,Infirmier,DANTIN CATHY,30/09/2013,Repas,€26,,
LABORATOIRES COLOPLAST,Infirmier,DE BRITO NATHALIE,30/09/2013,Repas,€26,,
LABORATOIRES COLOPLAST,Infirmier,GALBARDY PRISCILIA,30/09/2013,Repas,€26,,
LABORATOIRES COLOPLAST,Infirmier,PANAFIEU SANDRINE,26/02/2014,Repas,€14,,
LES LABORATOIRES SERVIER,Médecin,MEYSSIREL FREDERIC,12/09/2013,Repas,€30,,
Lilly France SAS,Médecin,HERES IVAN,11/07/2013,REPAS,€60,,
MEDEXACT,Médecin,DE MARIA GEORGES,17/06/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,HERES IVAN,07/11/2013,REPAS,€56,,
MENARINI FRANCE,Médecin,SENDRANE ANDRÉ,29/10/2013,AUTRE : RNT,€17,,
MSD France,Médecin,DE MARIA GEORGES,28/01/2014,REPAS,€34,,
MSD France,Médecin,HERES IVAN,13/02/2014,REPAS,€60,,
MSD France,Médecin,HERES IVAN,03/06/2014,REPAS,€59,,
MSD France,Médecin,HERES IVAN,16/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,HERES IVAN,06/06/2013,HOSPITALITÉ,€58,,
MSD France,Médecin,HERES IVAN,15/05/2012,HOSPITALITE,€63,,
MSD France,Médecin,HERES IVAN,19/12/2013,REPAS,€60,,
MSD France,Médecin,HERES IVAN,26/09/2013,REPAS,€58,,
MSD France,Médecin,HERES IVAN,15/10/2013,REPAS,€55,,
MSD France,Médecin,HERES IVAN,21/11/2013,REPAS,€60,,
OCP REPARTITION,Pharmacien,DULUCQ FANNY,21/11/2013,REPAS,€51,,
OCP REPARTITION,Pharmacien,DUVIN BRUNO,21/11/2013,REPAS,€51,,
OCP REPARTITION,Pharmacien,DUVIN CHRISTINE,21/11/2013,REPAS,€51,,
PFIZER SAS,Médecin,DE MARIA GEORGES,27/03/2014,REPAS,€44,,
PFIZER SAS,Médecin,DE MARIA GEORGES,27/03/2014,REPAS,€44,,
PFIZER SAS,Médecin,MEYSSIREL FREDERIC,04/06/2014,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,HERES IVAN,21/02/2013,Restauration,€61,,
PIERRE FABRE MEDICAMENT,Médecin,HERES IVAN,26/06/2014,RESTAURATION,€60,,
PRECIPHAR,Médecin,SENDRANE ANDRE,31/01/2012,REPAS,€17,,
SANOFI AVENTIS FRANCE,Pédicure-podologue,BARREJOT NATHALIE,10/04/2014,Repas,€23,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN BRUNO,26/03/2014,Hébergement,€131,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN BRUNO,26/03/2014,Repas,€55,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN BRUNO,26/03/2014,Transport,€379,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN BRUNO,27/03/2014,Transport,€313,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN BRUNO,27/03/2014,Repas,€29,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN BRUNO,27/03/2014,Repas,€20,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN Jéröme,14/10/2013,TRANSPORT,€690,,
SANOFI PASTEUR MSD SNC,Pharmacien,DUVIN Jéröme,14/10/2013,REPAS,€15,,
