ASTELLAS PHARMA,Médecin,MAINDET DOMINICI CAROLINE,25/01/2013,TRANSPORT,€40,,
ASTRAZENECA,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,02/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,REPELLIN DOMINIQUE,23/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,REPELLIN DOMINIQUE,02/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,VIDIL HUBERT,02/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,VIDIL HUBERT,11/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,VIDIL HUBERT,23/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,VIDIL HUBERT,06/11/2013,Repas,€57,,
ICOMED,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,07/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,REPELLIN DOMINIQUE,31/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,REPELLIN DOMINIQUE,20/12/2013,Autre: [Enquête],€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,18/09/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,19/06/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,15/01/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,21/11/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REPELLIN DOMINIQUE,15/01/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REPELLIN DOMINIQUE,21/11/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REPELLIN DOMINIQUE,19/06/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REPELLIN DOMINIQUE,18/09/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDIL HUBERT,21/11/2012,Hospitalité,€30,,
LES LABORATOIRES SERVIER,Médecin,REPELLIN DOMINIQUE,18/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,VIDIL HUBERT,09/10/2013,Repas,€55,,
NOVARTIS PHARMA SAS,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,04/06/2014,Repas,€16,,
NOVARTIS PHARMA SAS,Médecin,REPELLIN DOMINIQUE,19/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,REPELLIN DOMINIQUE,04/06/2014,Repas,€16,,
NOVARTIS PHARMA SAS,Médecin,REPELLIN DOMINIQUE,12/02/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,VIDIL HUBERT,25/09/2013,Autre : [Hospitalité Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,VIDIL HUBERT,19/03/2014,Autre : [Participation Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,CHASSANDE BAROZ CLOITRE MARTINE,02/05/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,REPELLIN DOMINIQUE,20/05/2014,RESTAURATION,€20,,
PIERRE FABRE MEDICAMENT,Médecin,VIDIL HUBERT,02/05/2012,Restauration,€20,,
