ARROW GENERIQUES SAS,Pharmacien,PILON FABRICE,19/06/2014,CADEAUX,€39,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,28/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,25/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,15/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,13/12/2013,Repas,€57,,
BOEHRINGER INGELHEIM FRANCE,Médecin,AVELINE DENIS,08/11/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,AVELINE DENIS,31/01/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOURDIN FRANCOIS,17/04/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOURDIN FRANCOIS,31/01/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOURDIN FRANCOIS,08/11/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEROIDE MARC,31/01/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEROIDE MARC,17/04/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEROIDE MARC,08/11/2013,HOSPITALITE,€23,,
ICOMED,Médecin,GROHANDO PHILIPPE,27/11/2013,Autre: [Enquête],€32,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,AVELINE DENIS,24/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEROIDE MARC,24/09/2013,Repas,€45,,
Laboratoires Grünenthal SAS,Médecin,AVELINE DENIS,15/04/2014,REPAS,€20,,
Laboratoires Grünenthal SAS,Médecin,AVELINE DENIS,29/11/2013,REPAS,€14,,
Laboratoires Grünenthal SAS,Médecin,BOURDIN FRANCOIS,29/11/2013,REPAS,€14,,
Laboratoires Grünenthal SAS,Médecin,BOURDIN FRANCOIS,15/04/2014,REPAS,€20,,
Laboratoires Grünenthal SAS,Médecin,DEROIDE MARC,15/04/2014,REPAS,€20,,
Laboratoires Grünenthal SAS,Médecin,DEROIDE MARC,29/11/2013,REPAS,€14,,
Laboratoires Leurquin Mediolanum,Médecin,GROHANDO PHILIPPE,11/10/2013,AUTRE,€15,,
LUNDBECK SAS,Médecin,GROHANDO PHILIPPE,12/10/2013,AUTRE : FRAIS D HOSPITALITE / RP,€300,,
MSD France,Médecin,GROHANDO PHILIPPE,06/09/2013,REPAS,€60,,
MSD France,Médecin,GROHANDO PHILIPPE,06/01/2012,HOSPITALITE,€60,,
MSD France,Médecin,GROHANDO PHILIPPE,10/01/2014,REPAS,€60,,
MSD France,Médecin,GROHANDO PHILIPPE,13/02/2014,REPAS,€60,,
